Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,CopulaGAN,1.6666666666666667,6.333333333333333,0.0013738995831361622,True
ForestDiffusion,TabDDPM,1.6666666666666667,6.222222222222222,0.0020370819272206298,True
ForestDiffusion,CTGAN,1.6666666666666667,5.777777777777778,0.008860192636935715,True
WGAN-GP,CopulaGAN,3.0,6.333333333333333,0.07522808279555193,False
WGAN-GP,TabDDPM,3.0,6.222222222222222,0.09727402758875536,False
ForestDiffusion,CTABGAN,1.6666666666666667,4.777777777777778,0.12416849024311871,False
WGAN-GP,CTGAN,3.0,5.777777777777778,0.2383846658559018,False
ForestDiffusion,GaussianCopula,1.6666666666666667,4.333333333333333,0.28822774909592197,False
TVAE,CopulaGAN,3.888888888888889,6.333333333333333,0.40376084457362615,False
TVAE,TabDDPM,3.888888888888889,6.222222222222222,0.46764987264841784,False
ForestDiffusion,TVAE,1.6666666666666667,3.888888888888889,0.5338373074420204,False
GaussianCopula,CopulaGAN,4.333333333333333,6.333333333333333,0.6661463221588548,False
GaussianCopula,TabDDPM,4.333333333333333,6.222222222222222,0.7285069115747339,False
TVAE,CTGAN,3.888888888888889,5.777777777777778,0.7285069115747342,False
WGAN-GP,CTABGAN,3.0,4.777777777777778,0.785948700844209,False
CTABGAN,CopulaGAN,4.777777777777778,6.333333333333333,0.8806785654552002,False
GaussianCopula,CTGAN,4.333333333333333,5.777777777777778,0.9164563040689869,False
CTABGAN,TabDDPM,4.777777777777778,6.222222222222222,0.9164563040689869,False
ForestDiffusion,WGAN-GP,1.6666666666666667,3.0,0.9444128391714841,False
WGAN-GP,GaussianCopula,3.0,4.333333333333333,0.9444128391714841,False
CTABGAN,CTGAN,4.777777777777778,5.777777777777778,0.9889701192635673,False
WGAN-GP,TVAE,3.0,3.888888888888889,0.9946029241564981,False
TVAE,CTABGAN,3.888888888888889,4.777777777777778,0.9946029241564981,False
CTGAN,CopulaGAN,5.777777777777778,6.333333333333333,0.9997402346156786,False
TVAE,GaussianCopula,3.888888888888889,4.333333333333333,0.9999421542682614,False
GaussianCopula,CTABGAN,4.333333333333333,4.777777777777778,0.9999421542682614,False
CTGAN,TabDDPM,5.777777777777778,6.222222222222222,0.9999421542682614,False
TabDDPM,CopulaGAN,6.222222222222222,6.333333333333333,0.9999999960951349,False
