Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,WGAN-GP,1.3333333333333333,3.888888888888889,0.109375,False
ForestDiffusion,TabDDPM,1.3333333333333333,6.888888888888889,0.109375,False
ForestDiffusion,CTGAN,1.3333333333333333,6.222222222222222,0.109375,False
ForestDiffusion,GaussianCopula,1.3333333333333333,5.111111111111111,0.109375,False
TVAE,CTGAN,3.4444444444444446,6.222222222222222,0.109375,False
TVAE,TabDDPM,3.4444444444444446,6.888888888888889,0.1796875,False
ForestDiffusion,CTABGAN,1.3333333333333333,4.222222222222222,0.4296875,False
CTABGAN,TabDDPM,4.222222222222222,6.888888888888889,0.4296875,False
CTABGAN,CTGAN,4.222222222222222,6.222222222222222,0.4296875,False
ForestDiffusion,CopulaGAN,1.3333333333333333,4.888888888888889,0.51953125,False
ForestDiffusion,TVAE,1.3333333333333333,3.4444444444444446,0.703125,False
GaussianCopula,TabDDPM,5.111111111111111,6.888888888888889,0.703125,False
WGAN-GP,TabDDPM,3.888888888888889,6.888888888888889,0.875,False
TVAE,WGAN-GP,3.4444444444444446,3.888888888888889,1.0,False
TVAE,CopulaGAN,3.4444444444444446,4.888888888888889,1.0,False
TVAE,CTABGAN,3.4444444444444446,4.222222222222222,1.0,False
WGAN-GP,GaussianCopula,3.888888888888889,5.111111111111111,1.0,False
WGAN-GP,CopulaGAN,3.888888888888889,4.888888888888889,1.0,False
WGAN-GP,CTABGAN,3.888888888888889,4.222222222222222,1.0,False
TVAE,GaussianCopula,3.4444444444444446,5.111111111111111,1.0,False
CTABGAN,GaussianCopula,4.222222222222222,5.111111111111111,1.0,False
CTABGAN,CopulaGAN,4.222222222222222,4.888888888888889,1.0,False
CopulaGAN,GaussianCopula,4.888888888888889,5.111111111111111,1.0,False
WGAN-GP,CTGAN,3.888888888888889,6.222222222222222,1.0,False
CopulaGAN,CTGAN,4.888888888888889,6.222222222222222,1.0,False
CopulaGAN,TabDDPM,4.888888888888889,6.888888888888889,1.0,False
GaussianCopula,CTGAN,5.111111111111111,6.222222222222222,1.0,False
CTGAN,TabDDPM,6.222222222222222,6.888888888888889,1.0,False
