Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,TabDDPM,1.3333333333333333,6.888888888888889,4.104257745418671e-05,True
ForestDiffusion,CTGAN,1.3333333333333333,6.222222222222222,0.0006060957281330825,True
ForestDiffusion,GaussianCopula,1.3333333333333333,5.111111111111111,0.023776690079980733,True
ForestDiffusion,CopulaGAN,1.3333333333333333,4.888888888888889,0.043330960700129206,True
TVAE,TabDDPM,3.4444444444444446,6.888888888888889,0.05744817211848097,False
WGAN-GP,TabDDPM,3.888888888888889,6.888888888888889,0.15642518383877357,False
ForestDiffusion,CTABGAN,1.3333333333333333,4.222222222222222,0.194431480348923,False
TVAE,CTGAN,3.4444444444444446,6.222222222222222,0.2383846658559018,False
CTABGAN,TabDDPM,4.222222222222222,6.888888888888889,0.28822774909592186,False
ForestDiffusion,WGAN-GP,1.3333333333333333,3.888888888888889,0.3435927278177242,False
WGAN-GP,CTGAN,3.888888888888889,6.222222222222222,0.46764987264841784,False
ForestDiffusion,TVAE,1.3333333333333333,3.4444444444444446,0.600625110233503,False
CTABGAN,CTGAN,4.222222222222222,6.222222222222222,0.6661463221588553,False
CopulaGAN,TabDDPM,4.888888888888889,6.888888888888889,0.6661463221588554,False
GaussianCopula,TabDDPM,5.111111111111111,6.888888888888889,0.785948700844209,False
TVAE,GaussianCopula,3.4444444444444446,5.111111111111111,0.8370127106198056,False
TVAE,CopulaGAN,3.4444444444444446,4.888888888888889,0.9164563040689869,False
CopulaGAN,CTGAN,4.888888888888889,6.222222222222222,0.9444128391714841,False
WGAN-GP,GaussianCopula,3.888888888888889,5.111111111111111,0.9651259809718015,False
GaussianCopula,CTGAN,5.111111111111111,6.222222222222222,0.9795725028178317,False
WGAN-GP,CopulaGAN,3.888888888888889,4.888888888888889,0.9889701192635673,False
CTABGAN,GaussianCopula,4.222222222222222,5.111111111111111,0.9946029241564981,False
TVAE,CTABGAN,3.4444444444444446,4.222222222222222,0.9976628390369632,False
CTABGAN,CopulaGAN,4.222222222222222,4.888888888888889,0.9991346443675294,False
CTGAN,TabDDPM,6.222222222222222,6.888888888888889,0.9991346443675294,False
TVAE,WGAN-GP,3.4444444444444446,3.888888888888889,0.9999421542682614,False
WGAN-GP,CTABGAN,3.888888888888889,4.222222222222222,0.9999919077551657,False
CopulaGAN,GaussianCopula,4.888888888888889,5.111111111111111,0.9999995101840434,False
