Dataset,DatasetShort,Generator,UtilityGap,Rank
1. Cancer,Cancer,ForestDiffusion,0.0002867068,1.0
1. Cancer,Cancer,WGAN-GP,0.0346133132,2.0
1. Cancer,Cancer,TVAE,0.0433445649,3.0
1. Cancer,Cancer,CTABGAN,0.1148567576,4.0
1. Cancer,Cancer,GaussianCopula,0.1535866237,5.0
1. Cancer,Cancer,CTGAN,0.2507556489,6.0
1. Cancer,Cancer,CopulaGAN,0.5328189355,7.0
1. Cancer,Cancer,TabDDPM,0.663683727,8.0
2. Alzhimers,Alzheimer's,ForestDiffusion,-0.0116882635,1.0
2. Alzhimers,Alzheimer's,TVAE,0.0608644747,2.0
2. Alzhimers,Alzheimer's,WGAN-GP,0.0809920465,3.0
2. Alzhimers,Alzheimer's,CTABGAN,0.1023290302,4.0
2. Alzhimers,Alzheimer's,GaussianCopula,0.1094287977,5.0
2. Alzhimers,Alzheimer's,CTGAN,0.3553197143,6.0
2. Alzhimers,Alzheimer's,CopulaGAN,0.4946172489,7.0
2. Alzhimers,Alzheimer's,TabDDPM,0.564316853,8.0
3. Adult,Adult,ForestDiffusion,0.070768711,1.0
3. Adult,Adult,TVAE,0.1534676764,2.0
3. Adult,Adult,CTGAN,0.1680863509,3.0
3. Adult,Adult,CopulaGAN,0.1733386803,4.0
3. Adult,Adult,GaussianCopula,0.1843461872,5.0
3. Adult,Adult,CTABGAN,0.2383125094,6.0
3. Adult,Adult,TabDDPM,0.3715135722,7.0
3. Adult,Adult,WGAN-GP,0.5004025122,8.0
4. Forest cover dataset,Forest Cover,ForestDiffusion,-0.0616913272,1.0
4. Forest cover dataset,Forest Cover,GaussianCopula,0.1870013885,2.0
4. Forest cover dataset,Forest Cover,WGAN-GP,0.2336867939,3.0
4. Forest cover dataset,Forest Cover,TabDDPM,0.2487419442,4.0
4. Forest cover dataset,Forest Cover,TVAE,0.2557809254,5.0
4. Forest cover dataset,Forest Cover,CTABGAN,0.2895507893,6.0
4. Forest cover dataset,Forest Cover,CTGAN,0.4468849493,7.0
4. Forest cover dataset,Forest Cover,CopulaGAN,0.4963703928,8.0
5. Bank Markting,Bank Marketing,ForestDiffusion,-0.0050246647,1.0
5. Bank Markting,Bank Marketing,CopulaGAN,0.0087410672,2.0
5. Bank Markting,Bank Marketing,CTABGAN,0.0219338453,3.0
5. Bank Markting,Bank Marketing,TVAE,0.0281020922,4.0
5. Bank Markting,Bank Marketing,CTGAN,0.0322262241,5.0
5. Bank Markting,Bank Marketing,WGAN-GP,0.0341273941,6.0
5. Bank Markting,Bank Marketing,GaussianCopula,0.034591539,7.0
5. Bank Markting,Bank Marketing,TabDDPM,0.0387162178,8.0
6. Wine dataset,Wine Quality,ForestDiffusion,-0.0915028307,1.0
6. Wine dataset,Wine Quality,TVAE,0.0363421037,2.0
6. Wine dataset,Wine Quality,WGAN-GP,0.0541266134,3.0
6. Wine dataset,Wine Quality,GaussianCopula,0.1333370841,4.0
6. Wine dataset,Wine Quality,CTABGAN,0.1338878672,5.0
6. Wine dataset,Wine Quality,TabDDPM,0.1419558557,6.0
6. Wine dataset,Wine Quality,CopulaGAN,0.1717712905,7.0
6. Wine dataset,Wine Quality,CTGAN,0.2195677419,8.0
7. CDC diabetes dataset,CDC Diabetes,CopulaGAN,-0.0768028364,1.0
7. CDC diabetes dataset,CDC Diabetes,TVAE,-0.0623113621,2.0
7. CDC diabetes dataset,CDC Diabetes,CTABGAN,-0.0614478005,3.0
7. CDC diabetes dataset,CDC Diabetes,ForestDiffusion,0.0171589094,4.0
7. CDC diabetes dataset,CDC Diabetes,TabDDPM,0.0438472919,5.0
7. CDC diabetes dataset,CDC Diabetes,WGAN-GP,0.0477643099,6.0
7. CDC diabetes dataset,CDC Diabetes,CTGAN,0.1100257967,7.0
7. CDC diabetes dataset,CDC Diabetes,GaussianCopula,0.183897334,8.0
8. Mushroom dataset,Mushroom,ForestDiffusion,0.0849400725,1.0
8. Mushroom dataset,Mushroom,WGAN-GP,0.1308425921,2.0
8. Mushroom dataset,Mushroom,CopulaGAN,0.1682264301,3.0
8. Mushroom dataset,Mushroom,CTABGAN,0.1812783297,4.0
8. Mushroom dataset,Mushroom,TVAE,0.1999140755,5.0
8. Mushroom dataset,Mushroom,GaussianCopula,0.2066698448,6.0
8. Mushroom dataset,Mushroom,CTGAN,0.2715652055,7.0
8. Mushroom dataset,Mushroom,TabDDPM,0.3840214666,8.0
9. MAGIC Gamma Telescope,MAGIC Gamma,ForestDiffusion,0.0159894694,1.0
9. MAGIC Gamma Telescope,MAGIC Gamma,WGAN-GP,0.0292643556,2.0
9. MAGIC Gamma Telescope,MAGIC Gamma,CTABGAN,0.0317329955,3.0
9. MAGIC Gamma Telescope,MAGIC Gamma,GaussianCopula,0.0636876333,4.0
9. MAGIC Gamma Telescope,MAGIC Gamma,CopulaGAN,0.0775803344,5.0
9. MAGIC Gamma Telescope,MAGIC Gamma,TVAE,0.0780877872,6.0
9. MAGIC Gamma Telescope,MAGIC Gamma,CTGAN,0.0928708188,7.0
9. MAGIC Gamma Telescope,MAGIC Gamma,TabDDPM,0.1611382114,8.0
