Generator_A,Generator_B,AvgRank_A,AvgRank_B,Nemenyi_p,Significant_alpha_0.05
ForestDiffusion,TabDDPM,1.5556,7.0,6.586052825241495e-05,True
ForestDiffusion,CTGAN,1.5556,5.7778,0.00623501691790973,True
ForestDiffusion,CopulaGAN,1.5556,5.6667,0.008860192636935715,True
ForestDiffusion,GaussianCopula,1.5556,5.4444,0.017305581809114567,True
TVAE,TabDDPM,3.2222,7.0,0.023776690079980733,True
CTABGAN,TabDDPM,3.3333,7.0,0.032289048144192756,True
WGAN-GP,TabDDPM,4.0,7.0,0.15642518383877346,False
TVAE,CTGAN,3.2222,5.7778,0.34359272781772476,False
ForestDiffusion,WGAN-GP,1.5556,4.0,0.4037608445736258,False
CTABGAN,CTGAN,3.3333,5.7778,0.4037608445736258,False
TVAE,CopulaGAN,3.2222,5.6667,0.40376084457362615,False
CTABGAN,CopulaGAN,3.3333,5.6667,0.4676498726484175,False
TVAE,GaussianCopula,3.2222,5.4444,0.5338373074420204,False
CTABGAN,GaussianCopula,3.3333,5.4444,0.600625110233503,False
WGAN-GP,CTGAN,4.0,5.7778,0.785948700844209,False
ForestDiffusion,CTABGAN,1.5556,3.3333,0.785948700844209,False
ForestDiffusion,TVAE,1.5556,3.2222,0.8370127106198055,False
WGAN-GP,CopulaGAN,4.0,5.6667,0.8370127106198056,False
GaussianCopula,TabDDPM,5.4444,7.0,0.8806785654552003,False
WGAN-GP,GaussianCopula,4.0,5.4444,0.9164563040689869,False
CopulaGAN,TabDDPM,5.6667,7.0,0.944412839171484,False
CTGAN,TabDDPM,5.7778,7.0,0.9651259809718014,False
TVAE,WGAN-GP,3.2222,4.0,0.9976628390369632,False
CTABGAN,WGAN-GP,3.3333,4.0,0.9991346443675294,False
GaussianCopula,CTGAN,5.4444,5.7778,0.9999919077551657,False
GaussianCopula,CopulaGAN,5.4444,5.6667,0.9999995101840434,False
TVAE,CTABGAN,3.2222,3.3333,0.9999999960951349,False
CopulaGAN,CTGAN,5.6667,5.7778,0.9999999960951349,False
