Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,CTGAN,1.3333333333333333,5.111111111111111,0.109375,False
ForestDiffusion,CTABGAN,1.3333333333333333,4.333333333333333,0.109375,False
ForestDiffusion,CopulaGAN,1.3333333333333333,6.0,0.109375,False
ForestDiffusion,GaussianCopula,1.3333333333333333,5.555555555555555,0.109375,False
ForestDiffusion,TabDDPM,1.3333333333333333,7.222222222222222,0.109375,False
WGAN-GP,TabDDPM,2.888888888888889,7.222222222222222,0.109375,False
CTABGAN,TabDDPM,4.333333333333333,7.222222222222222,0.109375,False
ForestDiffusion,TVAE,1.3333333333333333,3.5555555555555554,0.1640625,False
TVAE,CopulaGAN,3.5555555555555554,6.0,0.1640625,False
TVAE,TabDDPM,3.5555555555555554,7.222222222222222,0.1640625,False
WGAN-GP,CopulaGAN,2.888888888888889,6.0,0.2109375,False
WGAN-GP,GaussianCopula,2.888888888888889,5.555555555555555,0.33203125,False
CTABGAN,CopulaGAN,4.333333333333333,6.0,0.33203125,False
WGAN-GP,CTABGAN,2.888888888888889,4.333333333333333,0.33203125,False
ForestDiffusion,WGAN-GP,1.3333333333333333,2.888888888888889,0.3828125,False
CTGAN,TabDDPM,5.111111111111111,7.222222222222222,0.5078125,False
WGAN-GP,CTGAN,2.888888888888889,5.111111111111111,0.65625,False
TVAE,GaussianCopula,3.5555555555555554,5.555555555555555,0.65625,False
TVAE,CTGAN,3.5555555555555554,5.111111111111111,0.9765625,False
WGAN-GP,TVAE,2.888888888888889,3.5555555555555554,1.0,False
TVAE,CTABGAN,3.5555555555555554,4.333333333333333,1.0,False
CTABGAN,GaussianCopula,4.333333333333333,5.555555555555555,1.0,False
CTGAN,GaussianCopula,5.111111111111111,5.555555555555555,1.0,False
CTABGAN,CTGAN,4.333333333333333,5.111111111111111,1.0,False
CTGAN,CopulaGAN,5.111111111111111,6.0,1.0,False
GaussianCopula,CopulaGAN,5.555555555555555,6.0,1.0,False
GaussianCopula,TabDDPM,5.555555555555555,7.222222222222222,1.0,False
CopulaGAN,TabDDPM,6.0,7.222222222222222,1.0,False
