Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,TabDDPM,1.3333333333333333,7.222222222222222,9.38403742611893e-06,True
ForestDiffusion,CopulaGAN,1.3333333333333333,6.0,0.0013738995831361622,True
WGAN-GP,TabDDPM,2.888888888888889,7.222222222222222,0.004340257284988547,True
ForestDiffusion,GaussianCopula,1.3333333333333333,5.555555555555555,0.00623501691790973,True
ForestDiffusion,CTGAN,1.3333333333333333,5.111111111111111,0.023776690079980733,True
TVAE,TabDDPM,3.5555555555555554,7.222222222222222,0.032289048144192756,True
WGAN-GP,CopulaGAN,2.888888888888889,6.0,0.12416849024311871,False
ForestDiffusion,CTABGAN,1.3333333333333333,4.333333333333333,0.15642518383877346,False
CTABGAN,TabDDPM,4.333333333333333,7.222222222222222,0.194431480348923,False
WGAN-GP,GaussianCopula,2.888888888888889,5.555555555555555,0.28822774909592197,False
TVAE,CopulaGAN,3.5555555555555554,6.0,0.4037608445736258,False
ForestDiffusion,TVAE,1.3333333333333333,3.5555555555555554,0.5338373074420204,False
WGAN-GP,CTGAN,2.888888888888889,5.111111111111111,0.5338373074420206,False
CTGAN,TabDDPM,5.111111111111111,7.222222222222222,0.6006251102335034,False
TVAE,GaussianCopula,3.5555555555555554,5.555555555555555,0.6661463221588553,False
GaussianCopula,TabDDPM,5.555555555555555,7.222222222222222,0.8370127106198055,False
CTABGAN,CopulaGAN,4.333333333333333,6.0,0.8370127106198055,False
ForestDiffusion,WGAN-GP,1.3333333333333333,2.888888888888889,0.8806785654552001,False
TVAE,CTGAN,3.5555555555555554,5.111111111111111,0.8806785654552002,False
WGAN-GP,CTABGAN,2.888888888888889,4.333333333333333,0.9164563040689873,False
CTABGAN,GaussianCopula,4.333333333333333,5.555555555555555,0.9651259809718014,False
CopulaGAN,TabDDPM,6.0,7.222222222222222,0.9651259809718014,False
CTGAN,CopulaGAN,5.111111111111111,6.0,0.9946029241564981,False
TVAE,CTABGAN,3.5555555555555554,4.333333333333333,0.9976628390369632,False
CTABGAN,CTGAN,4.333333333333333,5.111111111111111,0.9976628390369632,False
WGAN-GP,TVAE,2.888888888888889,3.5555555555555554,0.9991346443675294,False
CTGAN,GaussianCopula,5.111111111111111,5.555555555555555,0.9999421542682614,False
GaussianCopula,CopulaGAN,5.555555555555555,6.0,0.9999421542682614,False
