Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,WGAN-GP,2.111111111111111,4.444444444444445,0.109375,False
ForestDiffusion,CTGAN,2.111111111111111,6.111111111111111,0.109375,False
ForestDiffusion,TabDDPM,2.111111111111111,5.777777777777778,0.203125,False
ForestDiffusion,GaussianCopula,2.111111111111111,4.444444444444445,0.203125,False
TVAE,CTGAN,3.888888888888889,6.111111111111111,0.46875,False
CTABGAN,TabDDPM,4.111111111111111,5.777777777777778,0.8984375,False
CTABGAN,CTGAN,4.111111111111111,6.111111111111111,0.8984375,False
ForestDiffusion,TVAE,2.111111111111111,3.888888888888889,1.0,False
TVAE,CTABGAN,3.888888888888889,4.111111111111111,1.0,False
TVAE,GaussianCopula,3.888888888888889,4.444444444444445,1.0,False
TVAE,CopulaGAN,3.888888888888889,5.111111111111111,1.0,False
TVAE,WGAN-GP,3.888888888888889,4.444444444444445,1.0,False
TVAE,TabDDPM,3.888888888888889,5.777777777777778,1.0,False
CTABGAN,GaussianCopula,4.111111111111111,4.444444444444445,1.0,False
ForestDiffusion,CopulaGAN,2.111111111111111,5.111111111111111,1.0,False
ForestDiffusion,CTABGAN,2.111111111111111,4.111111111111111,1.0,False
CTABGAN,CopulaGAN,4.111111111111111,5.111111111111111,1.0,False
CTABGAN,WGAN-GP,4.111111111111111,4.444444444444445,1.0,False
GaussianCopula,WGAN-GP,4.444444444444445,4.444444444444445,1.0,False
GaussianCopula,CopulaGAN,4.444444444444445,5.111111111111111,1.0,False
GaussianCopula,TabDDPM,4.444444444444445,5.777777777777778,1.0,False
GaussianCopula,CTGAN,4.444444444444445,6.111111111111111,1.0,False
WGAN-GP,CopulaGAN,4.444444444444445,5.111111111111111,1.0,False
WGAN-GP,TabDDPM,4.444444444444445,5.777777777777778,1.0,False
WGAN-GP,CTGAN,4.444444444444445,6.111111111111111,1.0,False
CopulaGAN,TabDDPM,5.111111111111111,5.777777777777778,1.0,False
CopulaGAN,CTGAN,5.111111111111111,6.111111111111111,1.0,False
TabDDPM,CTGAN,5.777777777777778,6.111111111111111,1.0,False
