Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,CTGAN,2.111111111111111,6.111111111111111,0.012452422542421071,True
ForestDiffusion,TabDDPM,2.111111111111111,5.777777777777778,0.032289048144192756,True
ForestDiffusion,CopulaGAN,2.111111111111111,5.111111111111111,0.15642518383877335,False
ForestDiffusion,WGAN-GP,2.111111111111111,4.444444444444445,0.4676498726484174,False
ForestDiffusion,GaussianCopula,2.111111111111111,4.444444444444445,0.4676498726484174,False
TVAE,CTGAN,3.888888888888889,6.111111111111111,0.5338373074420206,False
CTABGAN,CTGAN,4.111111111111111,6.111111111111111,0.6661463221588548,False
ForestDiffusion,CTABGAN,2.111111111111111,4.111111111111111,0.6661463221588553,False
TVAE,TabDDPM,3.888888888888889,5.777777777777778,0.7285069115747342,False
ForestDiffusion,TVAE,2.111111111111111,3.888888888888889,0.7859487008442086,False
CTABGAN,TabDDPM,4.111111111111111,5.777777777777778,0.8370127106198055,False
GaussianCopula,CTGAN,4.444444444444445,6.111111111111111,0.8370127106198056,False
WGAN-GP,CTGAN,4.444444444444445,6.111111111111111,0.8370127106198056,False
WGAN-GP,TabDDPM,4.444444444444445,5.777777777777778,0.9444128391714841,False
GaussianCopula,TabDDPM,4.444444444444445,5.777777777777778,0.9444128391714841,False
TVAE,CopulaGAN,3.888888888888889,5.111111111111111,0.9651259809718015,False
CopulaGAN,CTGAN,5.111111111111111,6.111111111111111,0.9889701192635673,False
CTABGAN,CopulaGAN,4.111111111111111,5.111111111111111,0.9889701192635673,False
CopulaGAN,TabDDPM,5.111111111111111,5.777777777777778,0.9991346443675294,False
GaussianCopula,CopulaGAN,4.444444444444445,5.111111111111111,0.9991346443675294,False
WGAN-GP,CopulaGAN,4.444444444444445,5.111111111111111,0.9991346443675294,False
TVAE,GaussianCopula,3.888888888888889,4.444444444444445,0.9997402346156786,False
TVAE,WGAN-GP,3.888888888888889,4.444444444444445,0.9997402346156786,False
CTABGAN,GaussianCopula,4.111111111111111,4.444444444444445,0.9999919077551657,False
TabDDPM,CTGAN,5.777777777777778,6.111111111111111,0.9999919077551657,False
CTABGAN,WGAN-GP,4.111111111111111,4.444444444444445,0.9999919077551657,False
TVAE,CTABGAN,3.888888888888889,4.111111111111111,0.9999995101840434,False
GaussianCopula,WGAN-GP,4.444444444444445,4.444444444444445,1.0,False
