Dataset,DatasetShort,Generator,UtilityGap,Rank
1. Cancer,Cancer,TVAE,0.000952381,1.0
1. Cancer,Cancer,ForestDiffusion,0.0064285714,2.0
1. Cancer,Cancer,CTGAN,0.0664285714,3.0
1. Cancer,Cancer,WGAN-GP,0.0695238095,4.0
1. Cancer,Cancer,CTABGAN,0.1469047619,5.0
1. Cancer,Cancer,GaussianCopula,0.2135714286,6.0
1. Cancer,Cancer,CopulaGAN,0.3088095238,7.0
1. Cancer,Cancer,TabDDPM,0.5354761905,8.0
2. Alzhimers,Alzheimer's,TVAE,-0.0094594595,1.0
2. Alzhimers,Alzheimer's,ForestDiffusion,-0.0062162162,2.0
2. Alzhimers,Alzheimer's,GaussianCopula,0.0489189189,3.0
2. Alzhimers,Alzheimer's,CTABGAN,0.0910810811,4.0
2. Alzhimers,Alzheimer's,WGAN-GP,0.1581081081,5.0
2. Alzhimers,Alzheimer's,CTGAN,0.2867567568,6.0
2. Alzhimers,Alzheimer's,CopulaGAN,0.5443243243,7.0
2. Alzhimers,Alzheimer's,TabDDPM,0.6083783784,8.0
3. Adult,Adult,ForestDiffusion,0.1004,1.0
3. Adult,Adult,CTGAN,0.1359,2.0
3. Adult,Adult,TVAE,0.15035,3.0
3. Adult,Adult,GaussianCopula,0.1561,4.0
3. Adult,Adult,CopulaGAN,0.1572,5.0
3. Adult,Adult,CTABGAN,0.2341,6.0
3. Adult,Adult,TabDDPM,0.35535,7.0
3. Adult,Adult,WGAN-GP,0.47025,8.0
4. Forest cover dataset,Forest Cover,ForestDiffusion,-0.05545,1.0
4. Forest cover dataset,Forest Cover,GaussianCopula,0.16185,2.0
4. Forest cover dataset,Forest Cover,TabDDPM,0.218,3.0
4. Forest cover dataset,Forest Cover,WGAN-GP,0.2218,4.0
4. Forest cover dataset,Forest Cover,TVAE,0.2464,5.0
4. Forest cover dataset,Forest Cover,CTABGAN,0.30745,6.0
4. Forest cover dataset,Forest Cover,CTGAN,0.49545,7.0
4. Forest cover dataset,Forest Cover,CopulaGAN,0.5376,8.0
5. Bank Markting,Bank Marketing,ForestDiffusion,-0.002295,1.0
5. Bank Markting,Bank Marketing,WGAN-GP,0.01101,2.0
5. Bank Markting,Bank Marketing,TabDDPM,0.01753,3.0
5. Bank Markting,Bank Marketing,CopulaGAN,0.018595,4.0
5. Bank Markting,Bank Marketing,GaussianCopula,0.02101,5.0
5. Bank Markting,Bank Marketing,CTABGAN,0.02519,6.0
5. Bank Markting,Bank Marketing,TVAE,0.02794,7.0
5. Bank Markting,Bank Marketing,CTGAN,0.043595,8.0
6. Wine dataset,Wine Quality,ForestDiffusion,-0.0786666667,1.0
6. Wine dataset,Wine Quality,TVAE,0.00115,2.0
6. Wine dataset,Wine Quality,WGAN-GP,0.06805,3.0
6. Wine dataset,Wine Quality,CTABGAN,0.08305,4.0
6. Wine dataset,Wine Quality,GaussianCopula,0.0894,5.0
6. Wine dataset,Wine Quality,TabDDPM,0.1015555556,6.0
6. Wine dataset,Wine Quality,CopulaGAN,0.1996,7.0
6. Wine dataset,Wine Quality,CTGAN,0.2384,8.0
7. CDC diabetes dataset,CDC Diabetes,CopulaGAN,-0.1275173981,1.0
7. CDC diabetes dataset,CDC Diabetes,TVAE,-0.0932182929,2.0
7. CDC diabetes dataset,CDC Diabetes,CTABGAN,-0.0867334185,3.0
7. CDC diabetes dataset,CDC Diabetes,TabDDPM,0.02165,4.0
7. CDC diabetes dataset,CDC Diabetes,ForestDiffusion,0.0254,5.0
7. CDC diabetes dataset,CDC Diabetes,WGAN-GP,0.0261709984,6.0
7. CDC diabetes dataset,CDC Diabetes,CTGAN,0.0861539554,7.0
7. CDC diabetes dataset,CDC Diabetes,GaussianCopula,0.139769919,8.0
8. Mushroom dataset,Mushroom,CopulaGAN,-0.0024433778,1.0
8. Mushroom dataset,Mushroom,CTABGAN,0.0308084596,2.0
8. Mushroom dataset,Mushroom,ForestDiffusion,0.0840319627,3.0
8. Mushroom dataset,Mushroom,WGAN-GP,0.0849872506,4.0
8. Mushroom dataset,Mushroom,GaussianCopula,0.1646872656,5.0
8. Mushroom dataset,Mushroom,TVAE,0.1929173541,6.0
8. Mushroom dataset,Mushroom,CTGAN,0.2847037648,7.0
8. Mushroom dataset,Mushroom,TabDDPM,0.3587739304,8.0
9. MAGIC Gamma Telescope,MAGIC Gamma,CTABGAN,0.012080292,1.0
9. MAGIC Gamma Telescope,MAGIC Gamma,GaussianCopula,0.0155879968,2.0
9. MAGIC Gamma Telescope,MAGIC Gamma,ForestDiffusion,0.0237793998,3.0
9. MAGIC Gamma Telescope,MAGIC Gamma,WGAN-GP,0.0431670722,4.0
9. MAGIC Gamma Telescope,MAGIC Gamma,TabDDPM,0.0948621249,5.0
9. MAGIC Gamma Telescope,MAGIC Gamma,CopulaGAN,0.0983941606,6.0
9. MAGIC Gamma Telescope,MAGIC Gamma,CTGAN,0.148081914,7.0
9. MAGIC Gamma Telescope,MAGIC Gamma,TVAE,0.1496715328,8.0
