Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,TVAE,1.3333333333333333,4.166666666666667,0.875,False
ForestDiffusion,CTABGAN,1.3333333333333333,5.0,0.875,False
ForestDiffusion,CTGAN,1.3333333333333333,6.0,0.875,False
ForestDiffusion,TabDDPM,1.3333333333333333,5.333333333333333,0.875,False
ForestDiffusion,CopulaGAN,1.3333333333333333,6.166666666666667,0.875,False
ForestDiffusion,GaussianCopula,1.3333333333333333,3.0,1.0,False
ForestDiffusion,WGAN-GP,1.3333333333333333,5.0,1.0,False
GaussianCopula,TVAE,3.0,4.166666666666667,1.0,False
GaussianCopula,CTABGAN,3.0,5.0,1.0,False
GaussianCopula,WGAN-GP,3.0,5.0,1.0,False
GaussianCopula,TabDDPM,3.0,5.333333333333333,1.0,False
GaussianCopula,CTGAN,3.0,6.0,1.0,False
GaussianCopula,CopulaGAN,3.0,6.166666666666667,1.0,False
TVAE,CTABGAN,4.166666666666667,5.0,1.0,False
TVAE,WGAN-GP,4.166666666666667,5.0,1.0,False
TVAE,TabDDPM,4.166666666666667,5.333333333333333,1.0,False
TVAE,CTGAN,4.166666666666667,6.0,1.0,False
TVAE,CopulaGAN,4.166666666666667,6.166666666666667,1.0,False
CTABGAN,WGAN-GP,5.0,5.0,1.0,False
CTABGAN,TabDDPM,5.0,5.333333333333333,1.0,False
CTABGAN,CTGAN,5.0,6.0,1.0,False
CTABGAN,CopulaGAN,5.0,6.166666666666667,1.0,False
WGAN-GP,TabDDPM,5.0,5.333333333333333,1.0,False
WGAN-GP,CTGAN,5.0,6.0,1.0,False
WGAN-GP,CopulaGAN,5.0,6.166666666666667,1.0,False
TabDDPM,CTGAN,5.333333333333333,6.0,1.0,False
TabDDPM,CopulaGAN,5.333333333333333,6.166666666666667,1.0,False
CTGAN,CopulaGAN,6.0,6.166666666666667,1.0,False
