Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,CopulaGAN,1.3333333333333333,6.166666666666667,0.014615666537838856,True
ForestDiffusion,CTGAN,1.3333333333333333,6.0,0.021690381197534858,True
ForestDiffusion,TabDDPM,1.3333333333333333,5.333333333333333,0.08804321135466286,False
ForestDiffusion,WGAN-GP,1.3333333333333333,5.0,0.15838503922801195,False
ForestDiffusion,CTABGAN,1.3333333333333333,5.0,0.15838503922801195,False
GaussianCopula,CopulaGAN,3.0,6.166666666666667,0.3281256421975719,False
GaussianCopula,CTGAN,3.0,6.0,0.4009386127813581,False
ForestDiffusion,TVAE,1.3333333333333333,4.166666666666667,0.47939660245351423,False
GaussianCopula,TabDDPM,3.0,5.333333333333333,0.7196435315769298,False
GaussianCopula,WGAN-GP,3.0,5.0,0.8510607755299454,False
GaussianCopula,CTABGAN,3.0,5.0,0.8510607755299454,False
TVAE,CopulaGAN,4.166666666666667,6.166666666666667,0.8510607755299455,False
TVAE,CTGAN,4.166666666666667,6.0,0.9005538197224444,False
ForestDiffusion,GaussianCopula,1.3333333333333333,3.0,0.9381996495324063,False
GaussianCopula,TVAE,3.0,4.166666666666667,0.9917616474044786,False
TVAE,TabDDPM,4.166666666666667,5.333333333333333,0.9917616474044787,False
CTABGAN,CopulaGAN,5.0,6.166666666666667,0.9917616474044787,False
WGAN-GP,CopulaGAN,5.0,6.166666666666667,0.9917616474044787,False
WGAN-GP,CTGAN,5.0,6.0,0.9968218216066275,False
CTABGAN,CTGAN,5.0,6.0,0.9968218216066275,False
TVAE,WGAN-GP,4.166666666666667,5.0,0.9990115713037246,False
TVAE,CTABGAN,4.166666666666667,5.0,0.9990115713037246,False
TabDDPM,CopulaGAN,5.333333333333333,6.166666666666667,0.9990115713037246,False
TabDDPM,CTGAN,5.333333333333333,6.0,0.999773316956035,False
CTABGAN,TabDDPM,5.0,5.333333333333333,0.9999980024121542,False
WGAN-GP,TabDDPM,5.0,5.333333333333333,0.9999980024121542,False
CTGAN,CopulaGAN,6.0,6.166666666666667,0.9999999839135403,False
CTABGAN,WGAN-GP,5.0,5.0,1.0,False
