Generator,Metro Interstate,Online Shopping,Air Quality,Concrete,Energy Efficiency,Real Estate
ForestDiffusion,15.644918,3.013572,0.096937,0.833224,-0.009157,-0.389285
CTABGAN,28.046103,8.075695,0.416004,6.76,10.387984,2.102906
CopulaGAN,57.651259,10.239107,0.424818,10.385845,7.935073,6.834445
GaussianCopula,98.6881,5.47356,0.024458,2.433312,3.394269,1.106586
CTGAN,79.100474,9.206509,0.469447,8.753399,6.684907,10.423761
TVAE,213.84993,10.217182,0.115084,3.207297,1.579931,1.307881
TabDDPM,292.091472,15.77524,200.49861,1.749116,2.31617,1.679113
WGAN-GP,1003.830612,44.290981,0.07022,3.251137,1.355369,1.696712
Mean,223.612858,13.286481,25.264447,4.671666,4.205568,3.095265
Median,88.894287,9.711845,0.265544,3.229217,2.855219,1.687912
