DatasetShort,Generator,MAE_UtilityGap
Air Quality,CTABGAN,0.4160038377
Air Quality,CTGAN,0.4694465392
Air Quality,CopulaGAN,0.4248179294
Air Quality,ForestDiffusion,0.09693747
Air Quality,GaussianCopula,0.0244577172
Air Quality,TVAE,0.1150836379
Air Quality,TabDDPM,200.4986096405
Air Quality,WGAN-GP,0.0702195148
Concrete,CTABGAN,6.7599997148
Concrete,CTGAN,8.7533986601
Concrete,CopulaGAN,10.3858451947
Concrete,ForestDiffusion,0.8332244619
Concrete,GaussianCopula,2.4333122102
Concrete,TVAE,3.2072970345
Concrete,TabDDPM,1.7491163378
Concrete,WGAN-GP,3.2511371624
Energy Efficiency,CTABGAN,10.387984088
Energy Efficiency,CTGAN,6.6849073874
Energy Efficiency,CopulaGAN,7.9350732943
Energy Efficiency,ForestDiffusion,-0.0091572975
Energy Efficiency,GaussianCopula,3.3942689055
Energy Efficiency,TVAE,1.5799306858
Energy Efficiency,TabDDPM,2.3161699227
Energy Efficiency,WGAN-GP,1.3553687053
Metro Interstate,CTABGAN,28.0461034148
Metro Interstate,CTGAN,79.1004737321
Metro Interstate,CopulaGAN,57.6512587393
Metro Interstate,ForestDiffusion,15.6449179367
Metro Interstate,GaussianCopula,98.6880998888
Metro Interstate,TVAE,213.8499301318
Metro Interstate,TabDDPM,292.0914715509
Metro Interstate,WGAN-GP,1003.8306118245
Online Shopping,CTABGAN,8.0756948652
Online Shopping,CTGAN,9.2065086676
Online Shopping,CopulaGAN,10.2391073951
Online Shopping,ForestDiffusion,3.0135721102
Online Shopping,GaussianCopula,5.473560345
Online Shopping,TVAE,10.2171820206
Online Shopping,TabDDPM,15.7752399069
Online Shopping,WGAN-GP,44.2909806956
Real Estate,CTABGAN,2.1029057212
Real Estate,CTGAN,10.423761444
Real Estate,CopulaGAN,6.8344445376
Real Estate,ForestDiffusion,-0.3892846871
Real Estate,GaussianCopula,1.1065861023
Real Estate,TVAE,1.307880776
Real Estate,TabDDPM,1.6791126955
Real Estate,WGAN-GP,1.6967121983
