Generator_A,Generator_B,AvgRank_A,AvgRank_B,Nemenyi_p,Significant_alpha_0.05
TVAE,CopulaGAN,3.0,6.3333,0.4009386127813581,False
ForestDiffusion,CopulaGAN,3.1667,6.3333,0.4793966024535148,False
TVAE,CTGAN,3.0,5.8333,0.5608555753547232,False
TVAE,WGAN-GP,3.0,5.6667,0.6420956568367515,False
ForestDiffusion,CTGAN,3.1667,5.8333,0.6420956568367517,False
ForestDiffusion,WGAN-GP,3.1667,5.6667,0.7196435315769298,False
GaussianCopula,CopulaGAN,3.8333,6.3333,0.79019432889009,False
GaussianCopula,CTGAN,3.8333,5.8333,0.9005538197224443,False
GaussianCopula,WGAN-GP,3.8333,5.6667,0.9381996495324063,False
CTABGAN,CopulaGAN,4.5,6.3333,0.9381996495324063,False
TabDDPM,CopulaGAN,4.5,6.3333,0.9647295117904234,False
TVAE,TabDDPM,3.0,4.5,0.9647295117904234,False
ForestDiffusion,TabDDPM,3.1667,4.5,0.9818365844076133,False
TVAE,CTABGAN,3.0,4.5,0.9818365844076133,False
CTABGAN,CTGAN,4.5,5.8333,0.9818365844076133,False
CTABGAN,WGAN-GP,4.5,5.6667,0.9917616474044786,False
TabDDPM,CTGAN,4.5,5.8333,0.9917616474044787,False
ForestDiffusion,CTABGAN,3.1667,4.5,0.9917616474044787,False
TabDDPM,WGAN-GP,4.5,5.6667,0.9968218216066275,False
TVAE,GaussianCopula,3.0,3.8333,0.9990115713037246,False
ForestDiffusion,GaussianCopula,3.1667,3.8333,0.999773316956035,False
GaussianCopula,TabDDPM,3.8333,4.5,0.999773316956035,False
WGAN-GP,CopulaGAN,5.6667,6.3333,0.999967544812433,False
GaussianCopula,CTABGAN,3.8333,4.5,0.999967544812433,False
CTGAN,CopulaGAN,5.8333,6.3333,0.9999980024121542,False
TVAE,ForestDiffusion,3.0,3.1667,0.9999999839135403,False
CTABGAN,TabDDPM,4.5,4.5,0.9999999839135403,False
WGAN-GP,CTGAN,5.6667,5.8333,0.9999999839135403,False
