Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,CopulaGAN,1.1666666666666667,6.166666666666667,0.00968253248154638,True
ForestDiffusion,CTGAN,1.1666666666666667,6.0,0.014615666537839078,True
ForestDiffusion,TabDDPM,1.1666666666666667,5.333333333333333,0.06376421977258251,False
ForestDiffusion,WGAN-GP,1.1666666666666667,5.0,0.1192558246661326,False
ForestDiffusion,CTABGAN,1.1666666666666667,4.833333333333333,0.1583850392280124,False
ForestDiffusion,TVAE,1.1666666666666667,4.333333333333333,0.328125642197572,False
GaussianCopula,CopulaGAN,3.1666666666666665,6.166666666666667,0.40093861278135845,False
GaussianCopula,CTGAN,3.1666666666666665,6.0,0.4793966024535148,False
GaussianCopula,TabDDPM,3.1666666666666665,5.333333333333333,0.7901943288900902,False
ForestDiffusion,GaussianCopula,1.1666666666666667,3.1666666666666665,0.8510607755299454,False
TVAE,CopulaGAN,4.333333333333333,6.166666666666667,0.9005538197224443,False
GaussianCopula,WGAN-GP,3.1666666666666665,5.0,0.9005538197224444,False
TVAE,CTGAN,4.333333333333333,6.0,0.9381996495324063,False
GaussianCopula,CTABGAN,3.1666666666666665,4.833333333333333,0.9381996495324064,False
CTABGAN,CopulaGAN,4.833333333333333,6.166666666666667,0.9818365844076133,False
CTABGAN,CTGAN,4.833333333333333,6.0,0.9917616474044786,False
WGAN-GP,CopulaGAN,5.0,6.166666666666667,0.9917616474044787,False
GaussianCopula,TVAE,3.1666666666666665,4.333333333333333,0.9917616474044787,False
TVAE,TabDDPM,4.333333333333333,5.333333333333333,0.9968218216066275,False
WGAN-GP,CTGAN,5.0,6.0,0.9968218216066275,False
TabDDPM,CopulaGAN,5.333333333333333,6.166666666666667,0.9990115713037246,False
TVAE,WGAN-GP,4.333333333333333,5.0,0.999773316956035,False
TabDDPM,CTGAN,5.333333333333333,6.0,0.999773316956035,False
TVAE,CTABGAN,4.333333333333333,4.833333333333333,0.999967544812433,False
CTABGAN,TabDDPM,4.833333333333333,5.333333333333333,0.999967544812433,False
WGAN-GP,TabDDPM,5.0,5.333333333333333,0.9999980024121542,False
CTABGAN,WGAN-GP,4.833333333333333,5.0,0.9999999839135403,False
CTGAN,CopulaGAN,6.0,6.166666666666667,0.9999999839135403,False
