Generator,Metro Interstate,Online Shopping,Air Quality,Concrete,Energy Efficiency,Real Estate
ForestDiffusion,-0.063193,0.174642,-0.005597,0.017829,-0.005265,-0.082454
GaussianCopula,0.135213,0.455725,0.091699,0.19348,0.319212,0.055658
TVAE,0.492376,1.253429,0.674256,0.301847,0.16315,0.078634
CTABGAN,-0.078686,0.834964,0.691095,0.763002,2.106684,0.21974
TabDDPM,0.471294,2.82723,2.110838,0.085539,0.269074,0.209839
CopulaGAN,0.016041,1.354257,0.839034,1.512751,1.325008,0.982789
CTGAN,0.054363,1.035233,0.884279,1.235679,1.060605,1.814857
WGAN-GP,1.837718,73.07822,0.108271,0.331507,0.109722,0.090541
Mean,0.358141,10.126713,0.674234,0.555204,0.668524,0.421201
Median,0.094788,1.144331,0.682676,0.316677,0.294143,0.15019
