DatasetShort,Generator,R2_UtilityGap
Air Quality,CTABGAN,0.6910952889
Air Quality,CTGAN,0.8842786665
Air Quality,CopulaGAN,0.8390339294
Air Quality,ForestDiffusion,-0.0055967668
Air Quality,GaussianCopula,0.091699383
Air Quality,TVAE,0.6742564526
Air Quality,TabDDPM,2.1108377117
Air Quality,WGAN-GP,0.1082711336
Concrete,CTABGAN,0.7630018015
Concrete,CTGAN,1.2356791268
Concrete,CopulaGAN,1.5127509837
Concrete,ForestDiffusion,0.0178288267
Concrete,GaussianCopula,0.1934800603
Concrete,TVAE,0.3018465913
Concrete,TabDDPM,0.0855394632
Concrete,WGAN-GP,0.3315072389
Energy Efficiency,CTABGAN,2.1066835397
Energy Efficiency,CTGAN,1.0606049192
Energy Efficiency,CopulaGAN,1.3250077865
Energy Efficiency,ForestDiffusion,-0.0052647699
Energy Efficiency,GaussianCopula,0.3192124749
Energy Efficiency,TVAE,0.1631499517
Energy Efficiency,TabDDPM,0.2690743305
Energy Efficiency,WGAN-GP,0.1097215357
Metro Interstate,CTABGAN,-0.0786861896
Metro Interstate,CTGAN,0.0543627202
Metro Interstate,CopulaGAN,0.0160410637
Metro Interstate,ForestDiffusion,-0.0631925116
Metro Interstate,GaussianCopula,0.1352128056
Metro Interstate,TVAE,0.4923763427
Metro Interstate,TabDDPM,0.4712938992
Metro Interstate,WGAN-GP,1.8377176259
Online Shopping,CTABGAN,0.8349643994
Online Shopping,CTGAN,1.0352329475
Online Shopping,CopulaGAN,1.3542567555
Online Shopping,ForestDiffusion,0.1746422738
Online Shopping,GaussianCopula,0.4557253143
Online Shopping,TVAE,1.2534293678
Online Shopping,TabDDPM,2.8272295908
Online Shopping,WGAN-GP,73.0782203759
Real Estate,CTABGAN,0.2197403331
Real Estate,CTGAN,1.8148565218
Real Estate,CopulaGAN,0.9827894899
Real Estate,ForestDiffusion,-0.0824540664
Real Estate,GaussianCopula,0.0556576007
Real Estate,TVAE,0.0786341486
Real Estate,TabDDPM,0.2098391559
Real Estate,WGAN-GP,0.0905408367
