Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,TVAE,1.5,4.333333333333333,0.875,False
ForestDiffusion,CopulaGAN,1.5,6.166666666666667,0.875,False
ForestDiffusion,CTGAN,1.5,6.0,0.875,False
ForestDiffusion,TabDDPM,1.5,5.5,0.875,False
ForestDiffusion,WGAN-GP,1.5,4.833333333333333,1.0,False
ForestDiffusion,CTABGAN,1.5,4.666666666666667,1.0,False
ForestDiffusion,GaussianCopula,1.5,3.0,1.0,False
GaussianCopula,TVAE,3.0,4.333333333333333,1.0,False
GaussianCopula,CTABGAN,3.0,4.666666666666667,1.0,False
GaussianCopula,WGAN-GP,3.0,4.833333333333333,1.0,False
GaussianCopula,TabDDPM,3.0,5.5,1.0,False
GaussianCopula,CTGAN,3.0,6.0,1.0,False
GaussianCopula,CopulaGAN,3.0,6.166666666666667,1.0,False
TVAE,CTABGAN,4.333333333333333,4.666666666666667,1.0,False
TVAE,WGAN-GP,4.333333333333333,4.833333333333333,1.0,False
TVAE,TabDDPM,4.333333333333333,5.5,1.0,False
TVAE,CTGAN,4.333333333333333,6.0,1.0,False
TVAE,CopulaGAN,4.333333333333333,6.166666666666667,1.0,False
CTABGAN,WGAN-GP,4.666666666666667,4.833333333333333,1.0,False
CTABGAN,TabDDPM,4.666666666666667,5.5,1.0,False
CTABGAN,CTGAN,4.666666666666667,6.0,1.0,False
CTABGAN,CopulaGAN,4.666666666666667,6.166666666666667,1.0,False
WGAN-GP,TabDDPM,4.833333333333333,5.5,1.0,False
WGAN-GP,CTGAN,4.833333333333333,6.0,1.0,False
WGAN-GP,CopulaGAN,4.833333333333333,6.166666666666667,1.0,False
TabDDPM,CTGAN,5.5,6.0,1.0,False
TabDDPM,CopulaGAN,5.5,6.166666666666667,1.0,False
CTGAN,CopulaGAN,6.0,6.166666666666667,1.0,False
