Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,CopulaGAN,1.5,6.166666666666667,0.021690381197534858,True
ForestDiffusion,CTGAN,1.5,6.0,0.03163483621607743,True
ForestDiffusion,TabDDPM,1.5,5.5,0.08804321135466286,False
ForestDiffusion,WGAN-GP,1.5,4.833333333333333,0.26283958799486773,False
ForestDiffusion,CTABGAN,1.5,4.666666666666667,0.32812564219757157,False
GaussianCopula,CopulaGAN,3.0,6.166666666666667,0.3281256421975719,False
GaussianCopula,CTGAN,3.0,6.0,0.4009386127813581,False
ForestDiffusion,TVAE,1.5,4.333333333333333,0.4793966024535148,False
GaussianCopula,TabDDPM,3.0,5.5,0.6420956568367515,False
TVAE,CopulaGAN,4.333333333333333,6.166666666666667,0.9005538197224443,False
GaussianCopula,WGAN-GP,3.0,4.833333333333333,0.9005538197224444,False
GaussianCopula,CTABGAN,3.0,4.666666666666667,0.9381996495324063,False
TVAE,CTGAN,4.333333333333333,6.0,0.9381996495324063,False
ForestDiffusion,GaussianCopula,1.5,3.0,0.9647295117904234,False
CTABGAN,CopulaGAN,4.666666666666667,6.166666666666667,0.9647295117904235,False
GaussianCopula,TVAE,3.0,4.333333333333333,0.9818365844076133,False
WGAN-GP,CopulaGAN,4.833333333333333,6.166666666666667,0.9818365844076133,False
CTABGAN,CTGAN,4.666666666666667,6.0,0.9818365844076133,False
TVAE,TabDDPM,4.333333333333333,5.5,0.9917616474044786,False
WGAN-GP,CTGAN,4.833333333333333,6.0,0.9917616474044786,False
CTABGAN,TabDDPM,4.666666666666667,5.5,0.9990115713037246,False
WGAN-GP,TabDDPM,4.833333333333333,5.5,0.999773316956035,False
TabDDPM,CopulaGAN,5.5,6.166666666666667,0.999773316956035,False
TVAE,WGAN-GP,4.333333333333333,4.833333333333333,0.999967544812433,False
TabDDPM,CTGAN,5.5,6.0,0.999967544812433,False
TVAE,CTABGAN,4.333333333333333,4.666666666666667,0.9999980024121542,False
CTABGAN,WGAN-GP,4.666666666666667,4.833333333333333,0.9999999839135403,False
CTGAN,CopulaGAN,6.0,6.166666666666667,0.9999999839135403,False
