Generator,Metro Interstate,Online Shopping,Air Quality,Concrete,Energy Efficiency,Real Estate
ForestDiffusion,-34.597499,3.257335,0.201322,1.032088,-0.01187,-0.743373
CTABGAN,-58.269762,9.074635,0.493122,7.566612,11.555038,1.425348
CopulaGAN,11.04042,11.799224,0.597442,12.528827,8.673721,6.447162
CTGAN,47.17176,10.2073,0.647412,10.297431,7.797706,10.776679
GaussianCopula,114.931281,6.128955,0.009094,2.546678,3.631019,0.016527
TVAE,425.014597,11.50665,0.276521,3.706137,2.287644,0.251983
TabDDPM,413.356325,18.052099,233.448978,2.059714,3.082895,1.792642
WGAN-GP,1345.203516,53.421874,0.039619,3.967915,1.761013,0.420089
Mean,282.98133,15.431009,29.464189,5.463175,4.847146,2.548382
Median,81.051521,10.856975,0.384821,3.837026,3.356957,0.922718
