Generator_A,Generator_B,AvgRank_A,AvgRank_B,p_value,Significant_alpha_0.05
ForestDiffusion,CopulaGAN,1.6666666666666667,6.333333333333333,0.109375,False
ForestDiffusion,TVAE,1.6666666666666667,3.888888888888889,0.2109375,False
ForestDiffusion,CTABGAN,1.6666666666666667,4.777777777777778,0.2109375,False
ForestDiffusion,GaussianCopula,1.6666666666666667,4.333333333333333,0.2109375,False
ForestDiffusion,TabDDPM,1.6666666666666667,6.222222222222222,0.2109375,False
ForestDiffusion,CTGAN,1.6666666666666667,5.777777777777778,0.2109375,False
GaussianCopula,TabDDPM,4.333333333333333,6.222222222222222,0.2109375,False
TVAE,CopulaGAN,3.888888888888889,6.333333333333333,0.24609375,False
ForestDiffusion,WGAN-GP,1.6666666666666667,3.0,0.390625,False
GaussianCopula,CTGAN,4.333333333333333,5.777777777777778,0.51953125,False
TVAE,CTGAN,3.888888888888889,5.777777777777778,0.51953125,False
TVAE,TabDDPM,3.888888888888889,6.222222222222222,0.6640625,False
GaussianCopula,CopulaGAN,4.333333333333333,6.333333333333333,0.6640625,False
WGAN-GP,CopulaGAN,3.0,6.333333333333333,0.8203125,False
WGAN-GP,TabDDPM,3.0,6.222222222222222,0.8203125,False
TVAE,CTABGAN,3.888888888888889,4.777777777777778,0.96484375,False
CTABGAN,TabDDPM,4.777777777777778,6.222222222222222,0.96484375,False
CTABGAN,CTGAN,4.777777777777778,5.777777777777778,0.96484375,False
CTABGAN,CopulaGAN,4.777777777777778,6.333333333333333,0.9765625,False
TVAE,GaussianCopula,3.888888888888889,4.333333333333333,1.0,False
WGAN-GP,TVAE,3.0,3.888888888888889,1.0,False
WGAN-GP,GaussianCopula,3.0,4.333333333333333,1.0,False
WGAN-GP,CTABGAN,3.0,4.777777777777778,1.0,False
WGAN-GP,CTGAN,3.0,5.777777777777778,1.0,False
GaussianCopula,CTABGAN,4.333333333333333,4.777777777777778,1.0,False
CTGAN,TabDDPM,5.777777777777778,6.222222222222222,1.0,False
CTGAN,CopulaGAN,5.777777777777778,6.333333333333333,1.0,False
TabDDPM,CopulaGAN,6.222222222222222,6.333333333333333,1.0,False
