Dataset,DatasetShort,Generator,UtilityGap,Rank
1. Cancer,Cancer,ForestDiffusion,-0.0002631579,1.0
1. Cancer,Cancer,WGAN-GP,0.0221929825,2.0
1. Cancer,Cancer,TVAE,0.0351754386,3.0
1. Cancer,Cancer,CTABGAN,0.0788596491,4.0
1. Cancer,Cancer,GaussianCopula,0.1011403509,5.0
1. Cancer,Cancer,CTGAN,0.2421929825,6.0
1. Cancer,Cancer,TabDDPM,0.4518421053,7.0
1. Cancer,Cancer,CopulaGAN,0.6022807018,8.0
2. Alzhimers,Alzheimer's,ForestDiffusion,-0.0117333333,1.0
2. Alzhimers,Alzheimer's,WGAN-GP,0.0624,2.0
2. Alzhimers,Alzheimer's,TVAE,0.0704,3.0
2. Alzhimers,Alzheimer's,CTABGAN,0.1017333333,4.0
2. Alzhimers,Alzheimer's,GaussianCopula,0.118,5.0
2. Alzhimers,Alzheimer's,CTGAN,0.3825333333,6.0
2. Alzhimers,Alzheimer's,CopulaGAN,0.3996,7.0
2. Alzhimers,Alzheimer's,TabDDPM,0.4105333333,8.0
3. Adult,Adult,ForestDiffusion,0.1004,1.0
3. Adult,Adult,CTGAN,0.1359,2.0
3. Adult,Adult,TVAE,0.15035,3.0
3. Adult,Adult,GaussianCopula,0.1561,4.0
3. Adult,Adult,CopulaGAN,0.1572,5.0
3. Adult,Adult,CTABGAN,0.2341,6.0
3. Adult,Adult,TabDDPM,0.35535,7.0
3. Adult,Adult,WGAN-GP,0.47025,8.0
4. Forest cover dataset,Forest Cover,ForestDiffusion,-0.05545,1.0
4. Forest cover dataset,Forest Cover,GaussianCopula,0.16185,2.0
4. Forest cover dataset,Forest Cover,TabDDPM,0.218,3.0
4. Forest cover dataset,Forest Cover,WGAN-GP,0.2218,4.0
4. Forest cover dataset,Forest Cover,TVAE,0.2464,5.0
4. Forest cover dataset,Forest Cover,CTABGAN,0.30745,6.0
4. Forest cover dataset,Forest Cover,CTGAN,0.49545,7.0
4. Forest cover dataset,Forest Cover,CopulaGAN,0.5376,8.0
5. Bank Markting,Bank Marketing,ForestDiffusion,-0.002295,1.0
5. Bank Markting,Bank Marketing,WGAN-GP,0.01101,2.0
5. Bank Markting,Bank Marketing,TabDDPM,0.01753,3.0
5. Bank Markting,Bank Marketing,CopulaGAN,0.018595,4.0
5. Bank Markting,Bank Marketing,GaussianCopula,0.02101,5.0
5. Bank Markting,Bank Marketing,CTABGAN,0.02519,6.0
5. Bank Markting,Bank Marketing,TVAE,0.02794,7.0
5. Bank Markting,Bank Marketing,CTGAN,0.043595,8.0
6. Wine dataset,Wine Quality,ForestDiffusion,-0.0786666667,1.0
6. Wine dataset,Wine Quality,TVAE,0.00115,2.0
6. Wine dataset,Wine Quality,WGAN-GP,0.06805,3.0
6. Wine dataset,Wine Quality,CTABGAN,0.08305,4.0
6. Wine dataset,Wine Quality,GaussianCopula,0.0894,5.0
6. Wine dataset,Wine Quality,TabDDPM,0.1015555556,6.0
6. Wine dataset,Wine Quality,CopulaGAN,0.1996,7.0
6. Wine dataset,Wine Quality,CTGAN,0.2384,8.0
7. CDC diabetes dataset,CDC Diabetes,CTGAN,0.003268561,1.0
7. CDC diabetes dataset,CDC Diabetes,WGAN-GP,0.0065881748,2.0
7. CDC diabetes dataset,CDC Diabetes,GaussianCopula,0.0104594744,3.0
7. CDC diabetes dataset,CDC Diabetes,CTABGAN,0.0210396549,4.0
7. CDC diabetes dataset,CDC Diabetes,TVAE,0.0214320484,5.0
7. CDC diabetes dataset,CDC Diabetes,TabDDPM,0.02165,6.0
7. CDC diabetes dataset,CDC Diabetes,ForestDiffusion,0.0254,7.0
7. CDC diabetes dataset,CDC Diabetes,CopulaGAN,0.0330006332,8.0
8. Mushroom dataset,Mushroom,ForestDiffusion,0.0840319627,1.0
8. Mushroom dataset,Mushroom,WGAN-GP,0.1689520559,2.0
8. Mushroom dataset,Mushroom,TVAE,0.2294006992,3.0
8. Mushroom dataset,Mushroom,GaussianCopula,0.2591867821,4.0
8. Mushroom dataset,Mushroom,CopulaGAN,0.2806209422,5.0
8. Mushroom dataset,Mushroom,CTABGAN,0.2815764941,6.0
8. Mushroom dataset,Mushroom,CTGAN,0.2900058265,7.0
8. Mushroom dataset,Mushroom,TabDDPM,0.3587739304,8.0
9. MAGIC Gamma Telescope,MAGIC Gamma,ForestDiffusion,0.0199500526,1.0
9. MAGIC Gamma Telescope,MAGIC Gamma,WGAN-GP,0.0359989485,2.0
9. MAGIC Gamma Telescope,MAGIC Gamma,CTABGAN,0.0471661409,3.0
9. MAGIC Gamma Telescope,MAGIC Gamma,TVAE,0.082137224,4.0
9. MAGIC Gamma Telescope,MAGIC Gamma,CopulaGAN,0.0983044164,5.0
9. MAGIC Gamma Telescope,MAGIC Gamma,GaussianCopula,0.0995820189,6.0
9. MAGIC Gamma Telescope,MAGIC Gamma,CTGAN,0.1067770768,7.0
9. MAGIC Gamma Telescope,MAGIC Gamma,TabDDPM,0.2198790747,8.0
