Classifier,Cancer,Alzheimer's,Adult,Forest Cover,Bank Marketing,Wine Quality,CDC Diabetes,Mushroom,MAGIC Gamma,Average
Logistic Regression,0.1848,0.168,0.1982,0.2806,0.0133,0.0752,0.0128,0.0734,0.0329,0.1155
Random Forest,0.1678,0.1947,0.2349,0.3071,0.0094,0.0944,0.0063,0.3965,0.1095,0.1689
Naive Bayes,0.151,0.154,0.1908,0.2302,0.0474,0.0559,0.0208,0.041,0.0373,0.1032
KNN,0.2457,0.1838,0.227,0.2236,0.0145,0.0934,0.0047,0.4059,0.1005,0.1666
MLP,0.2205,0.2168,0.235,0.1603,0.0282,0.1111,0.0242,0.396,0.1275,0.1689
SVM-RBF,0.1934,0.1867,0.2077,0.2588,0.0073,0.0874,0.0105,0.0734,0.0799,0.1228
Extra Trees,0.1941,0.1742,0.205,0.3037,0.0022,0.0882,0.0036,0.3826,0.1037,0.1619
AdaBoost,0.1731,0.1705,0.1556,0.2871,0.0077,0.068,0.0122,0.0719,0.0647,0.1123
Gradient Boosting,0.1877,0.2168,0.2607,0.3387,0.0161,0.1172,0.0158,0.2243,0.1064,0.1649
Decision Tree,0.1987,0.2513,0.2846,0.2763,0.057,0.1014,0.0676,0.3757,0.1248,0.1931
Average,0.1917,0.1917,0.22,0.2666,0.0203,0.0892,0.0179,0.2441,0.0887,0.1478
