Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Cover_Type
1855,121,27,224,44,1544,260,217,66,-964,0,0,0,1,5
2962,70,4,506,16,1864,253,252,121,1914,0,0,1,0,2
2451,190,35,215,69,903,190,178,90,831,0,0,0,1,2
2405,-35,33,-15,17,473,248,168,3,1744,0,0,0,1,4
2798,30,-11,-15,-60,1954,205,255,177,3396,1,0,0,0,4
3106,92,25,481,69,2774,242,210,81,1132,1,0,0,0,3
3227,-34,-7,543,11,2422,219,237,136,3657,1,0,0,0,1
3052,129,6,371,23,3573,237,246,132,3573,1,0,0,0,2
2723,-44,0,142,33,220,241,234,134,1473,0,0,1,0,7
2284,48,14,-89,7,510,233,236,132,400,0,0,1,1,5
2857,29,1,148,-55,1343,222,239,142,3882,1,0,0,0,1
2279,253,25,257,88,1276,189,207,149,615,0,0,0,1,5
2487,179,11,406,102,1001,216,227,124,1808,0,0,0,1,4
2954,43,-3,306,35,2393,221,243,153,4217,1,0,0,0,1
2761,201,6,514,88,1349,191,222,165,1831,0,0,0,0,5
3201,271,12,591,58,5350,191,232,163,805,1,0,0,0,2
2357,139,7,-34,4,214,177,235,178,1710,0,0,1,0,5
3112,157,13,56,-24,3919,221,255,167,3149,1,0,0,0,3
2797,-50,23,177,27,624,246,196,61,978,0,0,0,0,5
2373,168,27,82,79,1197,175,199,160,489,0,0,0,1,5
2520,173,12,212,22,1732,222,241,146,1141,0,0,0,1,6
2522,61,17,30,5,1030,214,198,115,390,0,0,0,1,7
3346,212,22,653,121,3797,149,184,167,2515,0,0,1,0,7
3080,142,40,349,77,2582,224,181,82,-163,0,0,1,0,7
2533,135,11,-77,-39,1970,230,237,131,1064,1,0,0,0,6
2286,102,26,45,-6,1269,236,185,61,-145,0,0,0,1,6
3025,46,6,111,-39,3077,233,253,150,4263,1,0,0,0,1
