holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,year,month,day,hour,dayofweek
,289.49,0.0,0.0,1,Fog,fog,6364,2017,7,28,7,4
,279.35,0.0,0.0,1,Clear,sky is clear,2030,2012,10,8,21,0
,291.39,0.0,0.0,36,Clouds,scattered clouds,708,2016,6,22,0,2
,294.02,0.0,0.0,90,Thunderstorm,thunderstorm,2029,2017,7,19,22,2
,268.69,0.0,0.0,64,Mist,mist,3734,2013,12,27,9,4
,302.27,0.0,0.0,75,Clouds,broken clouds,4337,2014,7,20,15,6
,277.55,0.0,0.0,75,Clouds,broken clouds,5821,2013,4,10,15,2
,267.61,0.0,0.0,1,Clear,sky is clear,5710,2017,2,10,8,4
,266.96,0.0,0.0,1,Clear,sky is clear,5017,2017,2,3,18,4
,301.91,0.0,0.0,1,Clear,sky is clear,3247,2014,7,5,17,5
,291.15,0.0,0.0,90,Rain,light rain,873,2018,7,20,4,4
,300.36,0.0,0.0,90,Clouds,overcast clouds,6593,2017,7,25,16,1
,279.57,0.0,0.0,90,Drizzle,light intensity drizzle,3994,2013,4,7,17,6
,281.21,0.0,0.0,20,Clouds,few clouds,3515,2014,4,6,10,6
,293.5,0.3,0.0,1,Rain,light rain,255,2015,9,7,3,0
,291.11,0.0,0.0,1,Thunderstorm,proximity thunderstorm,3340,2016,4,23,20,5
,296.65,0.0,0.0,1,Clear,sky is clear,5869,2018,5,4,14,4
,276.22,0.0,0.0,1,Clear,sky is clear,356,2018,4,13,3,4
,255.98,0.0,0.0,20,Clouds,few clouds,4775,2014,2,6,12,3
,266.9,0.0,0.0,1,Snow,heavy snow,4529,2013,3,20,18,2
,279.28,0.0,0.0,90,Clouds,overcast clouds,3082,2018,4,12,20,3
,274.72,0.0,0.0,90,Snow,snow,1864,2017,4,10,21,0
,287.95,0.0,0.0,1,Clear,sky is clear,4623,2017,5,8,11,0
,285.75,0.0,0.0,1,Clear,sky is clear,2865,2015,10,18,20,6
,261.4,0.0,0.0,90,Snow,light snow,4716,2016,12,16,11,4
,283.95,0.0,0.0,75,Clouds,broken clouds,5770,2017,10,10,15,1
,279.29,0.0,0.0,5,Clear,sky is clear,4495,2017,11,11,15,5
,266.11,0.0,0.0,90,Snow,light snow,4911,2015,12,18,10,4
,282.78,0.0,0.0,1,Clear,sky is clear,342,2016,9,14,3,2
,284.97,0.0,0.0,20,Clouds,few clouds,845,2013,8,5,4,0
,261.62,0.0,0.0,90,Mist,mist,1906,2016,12,16,19,4
,275.01,0.0,0.0,75,Mist,mist,254,2017,11,2,2,3
,273.21,0.0,0.0,90,Mist,mist,2713,2016,3,23,19,2
,279.15,0.0,0.0,90,Rain,light rain,2418,2018,4,11,21,2
,274.09,0.0,0.0,90,Clouds,overcast clouds,6807,2018,2,15,16,3
,279.15,0.0,0.0,20,Clouds,few clouds,3451,2018,4,19,21,3
,263.41,0.0,0.0,64,Clouds,broken clouds,765,2013,12,22,1,6
,259.01,0.0,0.0,1,Clear,sky is clear,2277,2012,12,30,20,6
,289.35,0.0,0.0,90,Mist,mist,5014,2015,8,19,13,2
,287.36,0.0,0.0,90,Clouds,overcast clouds,4778,2017,8,4,9,4
,298.78,0.0,0.0,40,Clouds,scattered clouds,6113,2014,7,17,15,3
,303.6,0.0,0.0,36,Clouds,scattered clouds,5407,2013,7,19,11,4
,285.82,2.4,0.0,90,Mist,mist,4884,2016,4,21,11,3
,300.61,0.0,0.0,75,Clouds,broken clouds,6400,2018,5,18,15,4
,271.74,0.0,0.0,90,Mist,mist,5268,2013,1,17,14,3
,262.6,0.0,0.0,90,Snow,heavy snow,3126,2013,2,19,19,1
,275.68,0.0,0.0,90,Mist,mist,5732,2017,2,22,8,2
,274.08,0.0,0.0,90,Rain,light rain,4872,2016,11,18,15,4
,293.88,0.0,0.0,1,Clear,sky is clear,697,2018,7,19,0,3
,300.7,1.78,0.0,5,Rain,moderate rain,3165,2018,8,26,19,6
,286.53,0.0,0.0,90,Mist,mist,1656,2013,5,28,22,1
,279.5,0.0,0.0,90,Clouds,overcast clouds,1367,2012,11,15,23,3
,276.36,0.0,0.0,90,Clouds,overcast clouds,4434,2017,12,18,18,0
,282.02,0.0,0.0,100,Mist,mist,3815,2012,10,20,10,5
,296.43,0.51,0.0,90,Rain,moderate rain,3109,2016,7,7,19,3
,274.48,0.0,0.0,90,Snow,light snow,710,2016,3,5,1,5
,273.28,0.0,0.0,1,Clear,sky is clear,2133,2017,11,25,8,5
,252.75,0.0,0.0,1,Clear,sky is clear,521,2018,2,2,1,4
,297.86,0.43,0.0,75,Thunderstorm,proximity thunderstorm with rain,1570,2015,9,16,22,2
,301.44,0.0,0.0,75,Clouds,broken clouds,3535,2018,7,15,19,6
,292.58,0.0,0.0,75,Clouds,broken clouds,5806,2016,8,30,8,1
,305.17,0.0,0.0,40,Clouds,scattered clouds,5907,2013,9,6,17,4
,302.12,0.0,0.0,40,Clouds,scattered clouds,5953,2018,9,14,15,4
,292.94,0.0,0.0,1,Mist,mist,868,2018,8,12,1,6
,274.94,0.0,0.0,90,Drizzle,drizzle,1150,2017,3,26,7,6
,284.95,0.0,0.0,20,Clouds,few clouds,4946,2018,4,27,10,4
,294.67,0.0,0.0,80,Clouds,broken clouds,2536,2013,9,4,21,2
