CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2.0,1165.0,150.0,7.3,870.0,298.0,671.0,148.0,1181.0,1482.0,9.7,60.0,0.7238
0.7,908.0,150.0,2.7,632.0,35.0,1095.0,46.0,1494.0,500.0,27.0,47.4,1.6661
1.6,1017.0,150.0,5.8,805.0,287.0,807.0,174.0,958.0,1032.0,6.3,45.8,0.4408
2.3,1283.0,150.0,12.0,1048.0,313.0,550.0,161.0,1336.0,1226.0,24.7,25.5,0.7785
1.8,930.0,150.0,3.9,708.0,180.0,924.0,109.0,1440.0,1012.0,25.2,41.5,1.3106
1.8,875.0,150.0,4.8,754.0,180.0,961.0,109.0,1296.0,591.0,15.9,61.0,1.0911
0.3,871.0,150.0,2.8,638.0,219.0,1022.0,143.0,860.0,583.0,4.3,49.4,0.4136
0.7,970.0,150.0,2.5,618.0,112.0,888.0,84.0,1095.0,611.0,13.3,62.4,0.946
7.7,1834.0,150.0,37.7,1723.0,947.0,400.0,167.0,2204.0,2190.0,15.1,67.0,1.1394
2.6,1293.0,150.0,13.9,1114.0,326.0,584.0,88.0,1702.0,1704.0,25.1,56.0,1.7565
0.9,831.0,150.0,1.3,530.0,75.0,1169.0,62.0,893.0,472.0,8.5,51.9,0.5766
4.7,1290.0,150.0,23.6,1393.0,341.0,655.0,180.0,2146.0,1511.0,30.9,28.2,1.2388
1.6,990.0,150.0,8.3,912.0,65.0,777.0,86.0,1648.0,689.0,32.2,37.4,1.7655
1.0,892.0,66.0,3.2,665.0,55.0,1348.0,58.0,1150.0,394.0,21.0,23.6,0.5788
3.9,1383.0,150.0,21.3,1332.0,572.0,495.0,96.0,1855.0,1415.0,19.1,72.0,1.5732
0.6,996.0,150.0,4.2,724.0,216.0,861.0,134.0,938.0,1067.0,1.3,63.1,0.4322
1.8,1612.0,150.0,38.8,1745.0,180.0,398.0,109.0,2357.0,1834.0,19.3,59.0,1.3077
2.6,1177.0,150.0,13.2,1090.0,298.0,612.0,86.0,1632.0,1209.0,26.3,43.6,1.4663
2.4,925.0,150.0,8.6,923.0,442.0,841.0,162.0,1115.0,944.0,11.1,38.1,0.5023
1.1,1012.0,94.0,4.8,752.0,66.0,1053.0,74.0,1393.0,649.0,15.7,47.0,0.8325
3.4,1303.0,150.0,17.6,1226.0,538.0,521.0,173.0,1554.0,1457.0,14.6,54.0,0.8946
1.4,979.0,150.0,4.1,718.0,207.0,883.0,157.0,903.0,807.0,6.1,46.3,0.4394
1.0,922.0,150.0,4.0,712.0,52.0,924.0,57.0,1494.0,609.0,35.0,29.0,1.6017
1.5,953.0,150.0,5.2,771.0,248.0,905.0,145.0,936.0,895.0,6.6,42.6,0.4179
1.6,994.0,143.0,6.9,851.0,95.0,1018.0,75.0,1436.0,640.0,20.2,30.7,0.7176
2.6,1226.0,150.0,14.6,1138.0,307.0,862.0,146.0,1481.0,1419.0,25.1,32.3,1.0131
2.5,1181.0,150.0,10.2,985.0,433.0,629.0,120.0,1312.0,1240.0,8.5,76.9,0.8557
1.8,998.0,150.0,10.1,981.0,116.0,786.0,117.0,1480.0,797.0,35.3,16.7,0.9402
1.6,1017.0,150.0,8.7,929.0,67.0,772.0,86.0,1702.0,709.0,32.1,38.7,1.819
1.8,704.0,150.0,0.5,444.0,180.0,1558.0,109.0,1050.0,394.0,14.4,57.6,0.9416
1.8,999.0,150.0,9.3,953.0,143.0,780.0,109.0,1600.0,879.0,29.3,31.0,1.2445
1.8,1105.0,150.0,8.2,908.0,180.0,900.0,109.0,1566.0,923.0,16.5,52.8,0.986
1.8,1387.0,150.0,22.4,1361.0,180.0,701.0,109.0,1932.0,1505.0,22.0,34.8,0.908
0.9,926.0,150.0,4.3,725.0,195.0,933.0,142.0,847.0,694.0,7.2,35.0,0.3567
1.8,1069.0,150.0,7.2,865.0,180.0,825.0,109.0,1394.0,816.0,14.1,83.8,1.346
3.0,1409.0,415.0,15.6,1169.0,188.0,685.0,105.0,1874.0,1459.0,20.0,45.0,1.039
0.7,896.0,150.0,3.6,687.0,33.0,1006.0,46.0,1438.0,493.0,36.9,27.1,1.6683
1.1,806.0,150.0,1.6,554.0,106.0,1206.0,77.0,807.0,783.0,4.0,50.4,0.4154
1.5,1056.0,150.0,7.0,857.0,309.0,735.0,169.0,1028.0,1117.0,15.0,28.5,0.4821
1.2,1008.0,150.0,7.2,866.0,58.0,937.0,68.0,1573.0,695.0,36.0,20.5,1.1995
3.1,1101.0,150.0,14.5,1134.0,427.0,683.0,168.0,1283.0,1281.0,13.6,34.0,0.5251
0.4,746.0,150.0,1.7,565.0,180.0,1369.0,109.0,1423.0,608.0,20.9,52.5,1.2852
0.4,903.0,150.0,2.9,648.0,19.0,975.0,21.0,1559.0,603.0,24.1,63.1,1.8619
2.3,1162.0,150.0,14.0,1117.0,118.0,700.0,139.0,1857.0,1044.0,36.9,26.9,1.6477
2.2,908.0,150.0,7.7,886.0,353.0,922.0,142.0,947.0,835.0,8.9,34.5,0.3946
1.8,777.0,150.0,0.9,493.0,180.0,1247.0,109.0,828.0,438.0,8.8,45.2,0.5134
1.8,995.0,150.0,5.5,789.0,180.0,828.0,109.0,1432.0,874.0,19.8,66.9,1.5277
1.8,1436.0,150.0,17.5,1224.0,180.0,609.0,109.0,1886.0,1426.0,24.6,60.3,1.8363
1.2,1045.0,55.0,4.9,756.0,70.0,1137.0,85.0,1411.0,902.0,11.1,62.2,0.8199
4.1,1543.0,710.0,19.8,1290.0,194.0,631.0,132.0,2011.0,1353.0,19.7,45.4,1.0312
1.8,855.0,150.0,2.7,631.0,180.0,1033.0,109.0,932.0,626.0,10.2,45.4,0.5632
0.5,913.0,150.0,2.5,619.0,123.0,1018.0,94.0,834.0,586.0,6.0,41.5,0.3896
1.1,952.0,150.0,3.2,665.0,146.0,907.0,119.0,1007.0,703.0,4.0,79.3,0.6517
1.8,804.0,150.0,2.0,585.0,180.0,1301.0,109.0,1319.0,717.0,11.3,67.6,0.9038
1.8,1053.0,150.0,8.3,911.0,180.0,916.0,109.0,1528.0,889.0,11.3,70.5,0.9389
0.8,939.0,150.0,1.8,568.0,101.0,1037.0,72.0,1054.0,656.0,12.4,62.6,0.8994
3.4,1286.0,150.0,19.6,1286.0,409.0,593.0,179.0,1728.0,1449.0,27.2,30.4,1.081
0.7,838.0,45.0,2.2,601.0,33.0,1361.0,43.0,1220.0,434.0,14.2,45.5,0.7333
1.0,1049.0,150.0,3.6,686.0,156.0,793.0,96.0,1159.0,795.0,11.9,65.6,0.9129
1.8,967.0,150.0,5.4,785.0,180.0,879.0,109.0,1326.0,766.0,14.5,81.3,1.3399
0.8,780.0,150.0,1.8,568.0,100.0,1190.0,57.0,997.0,453.0,11.9,55.5,0.7711
1.4,1024.0,79.0,4.8,753.0,79.0,1131.0,91.0,1357.0,793.0,9.7,61.6,0.7425
2.1,1145.0,150.0,9.2,946.0,366.0,699.0,182.0,1015.0,1409.0,6.6,37.5,0.3664
0.9,941.0,150.0,4.8,753.0,45.0,1173.0,56.0,1311.0,468.0,30.6,19.4,0.8348
2.3,1255.0,150.0,20.1,1301.0,784.0,571.0,224.0,1355.0,1750.0,7.3,50.6,0.5184
0.6,846.0,150.0,3.9,703.0,35.0,1034.0,54.0,1380.0,514.0,29.0,28.3,1.1116
0.7,981.0,150.0,5.8,804.0,191.0,829.0,127.0,997.0,783.0,10.7,37.2,0.4788
1.9,1238.0,150.0,10.2,985.0,229.0,592.0,114.0,1271.0,1252.0,18.0,33.1,0.6779
1.8,819.0,150.0,1.7,565.0,180.0,1295.0,109.0,1316.0,694.0,13.3,62.6,0.9498
1.5,895.0,150.0,3.1,660.0,238.0,975.0,155.0,826.0,596.0,4.6,46.8,0.4001
0.8,855.0,150.0,6.0,812.0,53.0,982.0,71.0,1416.0,508.0,32.4,20.5,0.9806
2.0,1338.0,215.0,11.0,1016.0,98.0,798.0,95.0,1766.0,1194.0,24.3,41.8,1.2561
1.3,1063.0,150.0,8.2,909.0,193.0,806.0,117.0,1463.0,963.0,17.8,49.6,0.9954
2.5,1131.0,150.0,13.1,1087.0,164.0,705.0,131.0,1738.0,1240.0,24.0,37.8,1.1125
