age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
48,2,131309,12,14,2,9,0,4,1,0,0,45,25,2
56,2,265086,11,9,2,2,0,4,1,0,0,50,25,2
51,2,189551,11,9,0,2,3,2,1,0,0,40,25,0
40,2,75615,11,9,2,11,0,2,1,0,0,43,25,1
20,2,403118,14,10,4,7,3,4,0,0,0,11,25,1
37,5,62428,14,10,4,9,4,2,0,0,0,15,25,1
48,2,238567,4,3,2,5,0,4,1,0,0,40,17,1
19,2,93518,14,10,4,11,3,4,0,0,0,20,25,0
32,2,235124,14,10,2,10,0,4,1,0,0,46,4,0
35,0,226916,9,13,6,0,1,4,1,0,0,40,25,2
58,2,282023,9,13,2,3,0,4,1,0,0,50,25,3
22,2,136230,11,9,4,0,3,4,1,0,0,40,25,1
27,2,341672,14,10,4,0,2,1,1,0,0,40,13,0
40,2,21755,14,10,4,2,2,0,1,0,0,30,25,1
28,2,263728,9,13,2,2,0,4,1,0,0,40,25,0
35,2,175232,14,10,4,0,1,4,1,0,0,40,25,1
21,2,410439,14,10,4,11,3,4,1,0,0,24,25,0
57,2,89392,12,14,3,9,1,4,0,0,0,40,25,0
25,2,97789,9,13,4,11,3,4,1,0,0,50,25,0
23,2,390348,14,10,4,7,3,4,1,0,0,44,16,1
55,2,160662,10,16,2,3,0,4,1,0,0,80,25,2
46,2,155659,9,13,2,6,0,4,1,0,0,40,8,2
42,0,178470,11,9,0,0,1,4,0,0,0,40,25,0
28,2,209109,9,13,2,7,0,4,1,0,0,50,25,0
56,2,208431,14,10,6,3,1,2,0,0,0,32,25,0
36,2,195385,11,9,2,13,0,0,1,0,0,40,25,0
21,2,163870,14,10,4,5,3,4,1,0,0,30,25,0
23,2,217961,11,9,4,2,4,4,1,0,0,45,18,0
34,2,184833,9,13,4,3,1,4,0,4650,0,50,25,1
44,1,277533,14,10,2,10,0,4,1,0,0,40,25,3
58,4,105592,5,4,2,13,0,4,1,0,0,40,25,2
36,4,240191,11,9,2,3,0,1,1,41310,0,90,23,1
54,2,35459,11,9,4,11,1,4,1,0,0,40,25,0
35,2,282753,8,11,2,2,0,4,1,0,0,40,25,3
47,2,251508,11,9,0,12,1,4,0,0,0,36,25,0
35,2,30529,11,9,2,5,0,4,1,0,0,40,25,0
36,2,181065,7,12,2,12,0,4,1,0,0,40,25,2
67,2,35015,12,14,4,9,1,4,1,0,0,99,25,0
30,2,131415,9,13,4,8,1,4,0,0,0,60,25,1
42,2,220776,11,9,5,5,4,4,1,0,0,40,21,0
36,2,173804,1,7,0,7,1,4,0,0,0,40,25,0
46,3,123075,11,9,2,10,0,4,1,0,0,70,25,0
33,2,203488,9,13,2,9,0,4,1,15024,0,50,25,3
28,2,67386,11,9,4,7,4,4,0,0,0,40,25,0
37,1,160910,9,13,2,0,0,4,1,7298,0,40,25,2
59,4,81107,14,10,2,11,5,4,0,0,0,80,25,2
56,2,105281,11,9,6,11,1,4,0,0,1974,40,25,0
27,2,408623,9,13,2,2,2,4,1,0,0,50,25,0
30,2,166671,11,9,2,7,2,4,0,0,0,40,25,1
46,2,214955,4,3,0,2,1,4,0,0,2339,45,25,0
64,2,207188,9,13,0,3,1,4,0,0,0,40,25,1
55,2,160631,11,9,2,11,0,4,1,0,0,56,25,3
40,2,121466,11,9,0,0,1,4,1,0,0,40,25,1
31,2,174201,9,13,2,3,0,4,1,0,0,40,25,3
63,5,89451,13,15,2,9,0,4,1,0,0,40,25,3
25,2,150804,11,9,4,13,1,1,1,0,0,40,26,1
20,2,159297,14,10,4,0,3,1,0,0,0,15,25,0
57,4,75785,11,9,2,6,0,4,1,0,0,70,25,1
35,4,61343,11,9,0,6,4,4,1,0,0,40,25,1
48,1,85341,9,13,2,9,0,4,1,0,0,45,25,0
51,2,169719,14,10,2,0,0,4,1,0,0,38,25,1
60,4,95490,11,9,2,11,0,4,1,0,0,45,25,0
21,2,203924,14,10,4,0,1,4,1,2597,0,45,25,0
34,2,97933,6,5,5,0,4,4,0,0,0,38,25,1
34,2,196253,14,10,0,0,4,4,0,0,0,40,25,1
42,2,120837,11,9,0,4,1,4,1,0,0,50,25,1
36,2,184659,14,10,2,0,0,4,1,0,0,52,25,0
50,2,165050,0,6,2,2,0,4,1,0,0,40,25,2
18,2,132986,2,8,4,7,3,4,1,0,0,10,25,0
30,0,423064,11,9,5,0,2,2,1,0,0,35,25,0
40,2,111779,1,7,0,7,4,2,0,0,0,36,25,1
24,2,194096,11,9,4,9,3,4,0,0,0,45,25,0
53,2,94081,9,13,2,3,0,4,1,0,0,44,25,2
45,2,185385,11,9,2,6,0,4,1,0,0,40,25,0
39,2,206888,14,10,0,0,1,4,0,0,0,40,25,1
37,4,76855,14,10,0,3,4,4,0,0,0,40,25,0
70,2,77219,11,9,2,2,0,4,1,0,0,37,25,0
24,0,228724,14,10,4,1,1,4,1,0,0,40,25,1
71,2,37435,9,13,0,0,1,4,0,0,0,3,25,1
46,2,147519,14,10,0,11,1,4,0,0,0,80,25,1
51,1,387250,9,13,2,0,0,4,1,0,0,50,25,2
25,2,178326,14,10,4,11,1,4,0,0,0,40,25,0
44,3,103643,11,9,2,3,0,4,1,5013,0,60,9,0
53,2,192386,11,9,5,13,4,4,1,0,0,45,25,0
56,2,70720,2,8,2,9,0,4,1,0,0,40,25,2
29,2,236436,7,12,4,9,1,4,0,8614,0,40,25,2
52,2,181677,0,6,2,13,0,4,1,0,0,30,25,2
61,2,95929,6,5,0,7,1,4,1,0,0,40,25,0
28,2,161607,14,10,2,13,0,4,1,0,0,45,25,0
20,2,329530,6,5,4,8,3,4,1,0,0,40,17,0
69,2,228921,9,13,6,9,1,4,1,0,2282,40,25,2
36,2,191335,14,10,2,2,0,4,1,0,0,56,25,0
28,2,292120,14,10,4,0,3,4,0,0,0,42,25,1
31,2,182896,11,9,4,2,1,4,0,0,0,40,25,0
26,2,216819,11,9,2,2,0,4,1,0,0,40,25,1
25,2,259505,11,9,4,12,1,4,1,0,0,40,25,0
26,2,133766,11,9,2,4,0,4,1,0,0,70,25,0
31,2,136398,10,16,2,9,0,1,1,0,0,50,24,2
82,4,181912,11,9,0,3,1,4,1,0,0,12,25,1
37,1,184474,11,9,0,7,4,4,0,2977,0,55,25,1
30,1,311913,11,9,2,0,5,4,0,0,0,40,25,2
43,2,183342,9,13,2,0,0,4,1,0,0,40,25,3
40,2,209833,11,9,4,2,1,4,1,0,0,40,25,0
33,2,34572,11,9,2,11,0,4,1,0,0,40,25,1
23,2,211601,14,10,2,3,5,2,0,0,0,40,25,0
35,0,403489,11,9,4,0,3,4,1,0,0,40,25,1
52,2,173987,11,9,2,0,0,4,1,0,0,40,25,3
61,2,129246,0,6,2,2,0,4,1,0,0,48,25,0
60,2,120067,6,5,2,4,0,4,1,0,0,45,25,0
27,2,147839,14,10,4,5,1,4,1,0,0,38,25,1
28,2,108574,14,10,2,0,5,4,0,0,0,15,25,0
53,0,147629,7,12,2,9,0,4,1,0,0,80,25,3
24,2,208882,11,9,4,2,1,2,1,0,0,40,25,0
23,2,370057,11,9,0,0,1,4,0,0,0,40,25,1
24,2,259351,14,10,4,2,4,0,1,0,0,40,17,0
34,4,214288,11,9,2,13,0,4,1,3411,0,80,25,1
25,2,257910,9,13,4,9,1,4,1,0,0,45,25,1
57,2,236944,11,9,2,6,0,2,1,0,0,40,25,2
51,2,25031,14,10,2,3,5,4,0,0,0,10,25,2
73,2,88594,11,9,0,3,1,4,0,0,0,35,25,1
19,2,197377,14,10,4,0,3,2,1,0,0,20,25,1
36,5,183735,12,14,2,9,0,4,1,0,0,40,25,2
36,2,320811,14,10,2,2,0,4,1,0,0,40,25,2
22,2,464103,3,2,4,2,1,4,1,0,0,40,10,0
36,0,153066,12,14,2,9,0,4,1,0,0,40,25,2
