age,job,marital,education,default,balance,housing,loan,contact,campaign,pdays,previous,poutcome,y
35,6,2,2,0,538,1,1,0,1,195,9,0,0
33,0,2,2,0,867,1,0,0,1,-1,0,0,0
34,5,1,0,0,4499,0,0,0,1,-1,0,0,1
53,1,1,0,0,53,1,0,0,1,-1,0,0,0
27,1,1,1,0,4333,0,0,0,1,-1,0,0,1
42,4,0,2,0,0,0,0,0,2,-1,0,0,0
51,7,0,1,0,12,1,0,0,1,-1,0,0,0
30,4,1,2,0,1185,1,0,0,2,120,4,0,0
35,4,2,2,0,681,0,0,0,1,561,2,2,1
49,7,1,1,0,1114,0,0,0,1,-1,0,0,0
28,7,2,1,0,113,1,1,0,1,-1,0,0,0
33,0,1,1,0,48,1,0,0,5,294,3,0,0
54,1,1,0,0,551,1,0,0,1,263,2,0,0
31,7,1,1,0,407,1,0,0,3,-1,0,0,0
32,4,1,2,0,1388,0,0,0,6,-1,0,0,0
45,3,0,0,0,413,1,0,0,1,-1,0,0,0
24,1,2,1,0,27,1,0,0,1,338,2,0,0
35,9,1,1,0,-288,1,1,0,3,-1,0,0,0
48,9,1,1,0,547,0,0,0,1,176,2,0,0
59,9,0,1,0,797,1,0,0,2,165,2,0,0
37,0,0,1,0,0,1,1,0,1,-1,0,0,0
50,1,1,1,0,51,0,0,1,3,-1,0,0,0
66,5,1,1,0,203,0,0,0,1,195,1,2,1
47,3,1,0,0,823,0,0,0,3,-1,0,0,0
35,0,1,1,0,2374,1,0,0,1,14,7,2,0
31,4,2,2,0,-446,0,0,0,4,-1,0,0,0
34,4,2,2,0,1228,0,0,0,2,84,8,2,1
43,4,1,2,0,68,1,0,0,2,-1,0,0,0
49,4,0,2,0,1115,0,0,0,9,-1,0,0,0
35,4,0,2,0,321,1,0,0,1,-1,0,0,0
39,1,1,0,0,118,0,0,0,1,-1,0,0,1
58,4,1,2,0,1227,0,0,0,2,95,1,2,1
33,4,1,2,0,2744,1,0,1,1,-1,0,0,0
58,9,1,1,0,1191,0,0,0,2,-1,0,0,0
32,0,2,1,0,8626,0,0,0,1,196,2,0,0
53,1,1,0,0,10,1,0,0,1,-1,0,0,0
