Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Cover_Type
2373,225,9,335,193,1731,248,238,98,1029,0,0,0,1,3
3098,69,15,137,1,485,249,182,57,1385,1,0,0,0,5
2748,3,14,174,-1,1075,246,223,118,1256,0,0,1,0,7
2253,94,33,254,48,83,240,229,114,300,1,0,0,1,4
2774,68,23,191,62,1125,234,234,156,3756,0,0,1,0,5
2139,26,30,26,27,1443,205,220,182,749,1,0,0,1,4
2359,64,23,16,-5,850,252,208,169,2581,1,0,0,1,6
2996,80,15,157,34,4102,240,206,116,4039,1,0,1,0,7
2852,115,9,25,-4,393,233,222,134,3166,1,0,1,0,1
2381,56,18,184,0,946,246,218,103,4153,1,1,0,1,4
2118,20,13,11,-1,1102,246,224,97,297,0,0,0,1,4
2908,30,6,722,6,4585,197,209,203,2522,1,0,1,0,2
3335,23,11,366,1,2968,202,219,165,746,0,0,1,0,2
1960,33,20,63,2,147,241,202,127,2259,0,0,0,0,6
2873,43,16,66,-10,1382,245,210,139,1490,1,0,1,0,5
2534,327,15,46,-4,1707,234,215,189,1221,0,0,0,0,6
2507,272,11,80,10,130,191,216,73,1995,1,0,0,1,6
2148,107,17,418,22,229,229,224,12,1940,0,0,0,1,5
2639,33,12,537,69,366,250,214,91,2396,1,0,0,0,2
2810,48,10,252,11,1090,249,199,110,2200,1,0,1,0,7
3260,215,23,668,77,2184,185,228,139,2629,0,0,1,0,2
2883,61,14,147,2,3040,227,214,127,3157,0,0,1,0,2
2089,228,13,481,246,1091,224,165,46,1218,0,0,0,1,3
2710,73,11,128,-16,1388,215,209,162,1523,0,0,0,0,5
2211,48,15,410,-2,887,244,220,139,2207,0,0,0,1,4
2364,48,13,39,2,815,244,206,183,2476,0,0,0,1,2
2276,150,14,259,140,117,250,177,170,406,0,0,0,1,4
2652,19,12,90,-34,927,252,215,98,1819,1,0,0,1,5
2162,267,13,13,-5,740,172,213,89,717,1,0,0,1,6
2577,44,38,46,60,752,207,150,99,777,0,1,0,1,6
2095,109,32,71,77,356,202,195,73,572,0,0,0,1,3
2914,70,8,44,5,3981,242,135,100,1166,1,0,1,0,2
2142,113,19,136,65,804,250,221,84,1286,0,0,0,1,4
2577,38,2,197,67,2117,198,246,123,1504,1,0,1,0,2
2707,14,29,22,4,277,246,153,80,1766,1,0,0,1,4
2709,85,14,257,9,190,246,158,99,1068,1,0,0,1,4
2764,8,8,205,4,1921,241,215,111,2708,0,0,1,0,1
2019,241,42,48,43,694,224,241,119,717,1,0,0,1,3
3035,43,11,47,2,1659,253,216,35,3115,0,0,0,1,4
