Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3,Wilderness_Area4,Cover_Type
3163,210,4,277,17,4371,217,243,163,934,1,0,0,0,1
3345,219,13,150,19,3150,205,252,182,1793,0,0,1,0,1
2908,67,12,0,0,1381,232,217,116,2496,0,0,1,0,1
3221,350,13,30,7,1380,196,218,160,573,0,0,1,0,1
3092,0,7,30,2,2121,210,227,155,1872,1,0,0,0,1
3220,95,9,60,0,1813,234,227,124,1883,0,0,1,0,1
3316,275,16,408,98,4115,176,242,205,1790,0,0,1,0,1
3026,336,26,360,23,3329,152,194,175,1423,0,0,1,0,1
3116,132,20,543,-32,5934,248,225,96,1426,1,0,0,0,1
3037,44,18,900,-22,1465,221,199,106,2052,0,0,1,0,1
3142,216,8,42,5,1814,212,248,172,2044,0,0,1,0,1
3147,63,11,150,40,2486,230,218,121,1814,1,0,0,0,1
3019,359,24,571,-6,721,178,189,143,1243,0,0,1,0,1
2984,10,7,309,19,4924,213,226,151,2605,1,0,0,0,1
3197,346,13,457,95,3238,195,219,162,2634,0,0,1,0,1
3278,150,19,467,106,1738,241,236,117,1276,0,1,0,0,1
3110,22,23,108,73,2400,199,184,113,1033,0,0,1,0,1
2744,339,8,0,0,658,203,228,164,2184,1,0,0,0,1
3352,135,7,497,67,1712,231,237,139,1987,1,0,0,0,1
3098,80,18,212,61,2554,241,205,88,1136,0,0,1,0,1
3218,201,23,150,61,2282,204,253,173,1317,0,0,1,0,1
3259,208,17,537,165,3294,206,254,178,722,0,0,1,0,1
2664,23,10,268,20,3275,214,219,140,3007,0,0,1,0,1
3144,79,10,300,63,1361,233,223,121,3293,0,0,1,0,1
3233,169,5,212,19,4859,224,242,153,534,1,0,0,0,1
3190,28,8,0,0,1249,217,223,141,1517,1,0,0,0,1
2921,356,7,67,1,1273,209,227,157,3131,1,0,0,0,1
3001,54,30,153,74,2174,222,163,55,2737,0,0,1,0,1
3041,286,15,671,50,5866,177,238,201,5222,1,0,0,0,1
3131,18,18,85,8,4725,203,199,129,3093,1,0,0,0,1
3008,69,12,0,0,1505,233,215,113,1106,0,0,1,0,1
2773,55,10,120,39,1387,226,220,127,1682,1,0,0,0,1
2851,153,18,124,31,2239,239,238,121,924,0,0,1,0,1
3232,335,4,404,48,242,211,234,162,1170,0,0,1,0,1
3404,264,13,488,112,2732,188,246,197,1293,0,0,1,0,1
3135,40,8,216,2,660,221,222,136,2377,0,1,0,0,1
3024,176,15,67,0,3352,226,247,149,5850,1,0,0,0,1
3157,112,7,30,-1,1889,232,233,133,4358,0,1,0,0,1
3185,213,20,170,38,1364,198,254,186,4452,0,1,0,0,1
3066,76,17,124,26,3054,238,207,93,5557,1,0,0,0,1
2985,66,9,85,10,3054,229,221,124,6525,1,0,0,0,1
3029,54,11,120,2,1624,226,216,122,1138,0,0,1,0,1
3097,257,16,365,-10,2551,180,248,205,834,0,0,1,0,1
3253,201,18,67,12,3415,209,253,172,633,0,0,1,0,1
3149,315,9,234,54,4294,196,233,176,1187,1,0,0,0,1
3116,40,8,67,0,2443,221,222,135,1290,1,0,0,0,1
3371,293,16,834,186,983,174,235,201,497,0,1,0,0,1
3046,31,10,0,0,2144,218,219,136,1410,1,0,0,0,1
2711,353,15,90,23,1712,194,214,157,1248,1,0,0,0,1
3358,273,10,859,122,960,192,243,190,2242,0,0,1,0,1
3143,280,18,124,12,3936,168,239,209,1725,1,0,0,0,1
3217,276,20,268,63,4683,163,240,214,3455,1,0,0,0,1
3026,72,3,30,0,3532,223,233,146,180,1,0,0,0,1
3316,320,19,67,34,2407,169,219,189,2753,1,0,0,0,1
2831,14,28,256,86,1142,181,170,113,1142,0,0,1,0,1
2816,318,23,42,18,4510,154,212,195,335,1,0,0,0,1
2934,2,12,150,21,713,204,217,151,1909,0,0,1,0,1
3065,16,12,30,6,1421,209,214,140,541,1,0,0,0,1
3041,265,8,812,42,5780,199,244,184,3532,1,0,0,0,1
2779,130,4,30,-4,2182,226,237,146,3249,1,0,0,0,1
3125,163,6,150,7,4067,226,242,149,1443,1,0,0,0,1
3079,314,26,120,0,2989,143,211,203,2521,1,0,0,0,1
3279,264,15,272,4,2723,182,246,202,607,0,0,1,0,1
3399,269,25,134,53,5051,147,240,227,997,1,0,0,0,1
3243,28,14,60,2,2866,214,209,128,2638,1,0,0,0,1
2982,42,13,95,14,1967,222,211,122,3324,0,0,1,0,1
3134,288,2,268,48,5242,213,239,164,474,1,0,0,0,1
3130,118,27,95,41,983,254,204,59,1072,1,0,0,0,1
3221,90,12,270,37,175,239,220,0,1664,0,1,0,0,1
3120,313,18,30,7,2568,170,224,193,592,0,0,1,0,1
2686,337,17,60,3,1390,181,215,171,1617,0,0,1,0,1
2705,337,19,30,16,1114,174,210,173,1935,0,0,1,0,1
3277,108,5,339,18,6090,229,234,138,443,1,0,0,0,1
2939,0,6,0,0,2183,212,229,155,2081,1,0,0,0,1
2949,314,25,384,180,552,146,212,202,1214,0,0,1,0,1
3197,138,15,323,-10,999,241,234,118,2539,1,0,0,0,1
3138,340,14,499,-8,2789,190,219,167,404,0,0,1,0,1
2757,26,13,60,14,1395,213,211,132,1055,0,0,1,0,1
3223,338,8,283,32,1443,204,229,165,2295,1,0,0,0,1
3045,78,18,90,-18,924,240,204,88,1290,0,0,1,0,1
3089,7,12,153,21,2509,205,215,147,745,0,0,1,0,1
3223,140,4,30,2,4596,226,238,147,1919,1,0,0,0,1
2957,120,20,458,37,362,250,219,88,582,0,0,1,0,1
2951,353,13,85,5,4764,197,217,157,4090,1,0,0,0,1
2642,336,13,30,0,1674,190,222,170,1256,0,0,1,0,1
3171,294,21,0,0,2348,156,229,211,2947,1,0,0,0,1
3145,30,23,661,-41,1867,206,184,104,2014,0,0,1,0,1
3179,301,15,604,128,2971,176,232,196,212,0,0,1,0,1
3028,99,8,108,10,1797,233,229,128,1689,1,0,0,0,1
2955,58,9,42,-3,1167,227,222,129,2230,0,0,1,0,1
3033,80,25,524,-12,3021,244,187,59,216,1,0,0,0,1
3169,68,8,0,0,2148,228,225,130,743,1,0,0,0,1
3144,107,9,67,6,765,235,230,126,2312,0,1,0,0,1
3025,158,20,331,44,1860,237,239,122,1461,1,0,0,0,1
3155,156,13,295,32,3197,234,241,135,3107,1,0,0,0,1
2854,116,15,234,33,1231,245,224,104,1890,1,0,0,0,1
3041,297,8,240,54,2520,196,238,181,993,1,0,0,0,1
3319,179,18,408,70,4601,224,248,149,2576,0,0,1,0,1
3297,50,17,313,63,1648,226,201,103,2282,1,0,0,0,1
3195,37,10,60,5,1248,220,218,132,1465,1,0,0,0,1
3015,317,11,85,19,2708,190,230,180,805,1,0,0,0,1
3257,275,3,711,147,1783,212,240,166,2355,0,0,1,0,1
3364,341,18,510,146,4887,179,210,168,2946,0,0,1,0,1
3221,264,9,180,-2,5966,199,244,185,1293,1,0,0,0,1
3068,268,28,108,26,2867,138,238,232,1630,0,0,1,0,1
3078,315,8,240,11,1304,199,234,174,1149,1,0,0,0,1
3369,308,8,457,-6,3118,197,235,178,1847,1,0,0,0,1
2998,77,10,153,23,2872,233,221,119,6540,1,0,0,0,1
3295,267,28,469,74,1974,137,238,233,3245,1,0,0,0,1
2717,115,15,67,-9,1643,245,224,103,1557,1,0,0,0,1
3223,241,15,240,90,2696,190,251,198,1282,0,0,1,0,1
3056,186,6,30,-3,2341,221,245,158,3738,1,0,0,0,1
3120,340,9,90,15,2230,201,227,165,1973,1,0,0,0,1
3136,197,6,120,16,1296,218,246,163,700,0,0,1,0,1
3253,211,4,450,19,362,216,244,164,722,0,0,1,0,1
2988,348,13,170,15,2448,194,217,161,2093,0,0,1,0,1
3059,22,3,162,10,3223,218,233,153,451,1,0,0,0,1
2991,21,18,180,30,1261,205,198,125,1020,0,0,1,0,1
3397,153,9,30,4,1809,231,241,141,3237,0,1,0,0,1
3458,196,17,872,65,3390,213,252,167,391,0,0,1,0,1
2994,75,13,408,9,4802,236,214,107,2605,1,0,0,0,1
3236,325,4,95,8,592,210,235,163,1230,0,1,0,0,1
3250,350,16,1020,233,2060,189,211,159,2210,0,0,1,0,1
2823,223,9,108,8,2100,209,249,176,2652,1,0,0,0,1
3310,336,11,228,68,3042,194,225,169,2402,0,0,1,0,1
2865,85,20,30,-10,210,244,201,78,484,1,0,0,0,1
3214,53,2,30,-1,3049,221,234,150,1602,1,0,0,0,1
3062,97,9,417,-1,1328,236,227,122,1429,1,0,0,0,1
3211,273,15,731,87,3421,180,243,202,1114,0,0,1,0,1
3236,218,8,400,69,2610,211,248,173,912,0,0,1,0,1
3080,49,16,85,26,2981,225,203,108,5815,1,0,0,0,1
3001,20,22,120,25,1945,199,187,117,3864,1,0,0,0,1
2899,354,9,0,0,1301,206,225,158,2460,0,0,1,0,1
3106,146,7,371,-42,6168,230,239,142,1304,1,0,0,0,1
3271,182,5,1024,140,2177,222,244,157,2257,0,0,1,0,1
3323,28,18,443,120,5018,209,197,118,300,1,0,0,0,1
3175,109,16,42,-10,2641,246,220,98,2603,1,0,0,0,1
3313,211,21,391,107,1922,198,254,184,1419,0,0,1,0,1
3020,71,10,60,4,2008,231,221,121,3475,0,0,1,0,1
3190,293,15,268,66,2272,176,235,199,874,0,0,1,0,1
3213,93,12,459,122,5353,239,222,111,1451,1,0,0,0,1
2826,131,5,684,38,780,228,237,143,1451,0,0,1,0,1
3042,61,28,30,0,660,230,171,55,752,1,0,0,0,1
3443,22,7,671,48,2502,216,225,146,1592,0,0,1,0,1
3322,255,11,30,7,2003,194,247,191,1897,0,0,1,0,1
3055,45,7,153,10,3241,222,225,138,1434,1,0,0,0,1
3254,141,24,642,31,2888,247,225,92,2824,0,0,1,0,1
3008,140,7,201,46,997,231,238,139,1142,0,0,1,0,1
3218,296,9,525,71,2501,194,238,183,339,0,0,1,0,1
2946,123,5,127,9,3967,228,236,142,2073,1,0,0,0,1
3157,135,7,277,41,510,232,237,137,2324,1,0,0,0,1
3064,11,15,309,-2,3945,202,208,140,3645,1,0,0,0,1
3588,60,19,953,176,2613,231,196,89,1423,1,0,0,0,1
3252,96,5,573,143,4829,228,233,139,2914,1,0,0,0,1
3238,23,12,268,143,4884,212,214,136,1650,1,0,0,0,1
3186,315,10,30,3,870,194,232,178,875,0,1,0,0,1
2752,115,16,120,11,1952,245,223,102,404,0,0,1,0,1
3221,188,5,696,49,4147,220,244,159,1980,1,0,0,0,1
3310,89,15,127,31,1699,241,215,100,1908,1,0,0,0,1
3195,309,7,532,20,3857,202,236,173,4185,1,0,0,0,1
3078,302,17,108,34,180,169,229,200,2033,0,1,0,0,1
3075,139,10,180,20,721,236,237,131,1466,0,0,1,0,1
3216,58,9,335,33,5635,227,222,129,2174,1,0,0,0,1
3052,202,3,607,106,2907,218,241,160,1041,0,0,1,0,1
2986,94,16,402,44,5207,243,215,97,1917,1,0,0,0,1
3165,135,7,659,-6,4462,232,237,137,1907,1,0,0,0,1
3172,139,14,30,0,3846,241,235,120,3258,1,0,0,0,1
3081,356,21,150,19,3789,182,198,150,513,0,0,1,0,1
3082,263,22,124,40,2890,159,244,221,1595,0,0,1,0,1
3139,347,24,170,65,1073,168,195,160,2081,1,0,0,0,1
3054,350,14,331,-8,2356,193,215,160,1276,0,0,1,0,1
2975,351,10,134,-4,872,203,224,159,2123,0,0,1,0,1
