month,day,order,country,page_1_main_category,page_2_clothing_model,colour,location,model_photography,price,price_2,page
4,24,2,29,1,19,3,3,1,82,1,1
6,25,16,9,2,213,12,5,2,62,1,1
8,11,1,29,1,19,3,3,1,82,1,1
6,20,1,29,1,126,2,3,1,38,2,2
7,29,2,29,1,19,3,3,1,82,1,1
4,25,3,24,1,13,3,1,1,72,1,1
7,28,2,29,1,114,3,5,1,60,1,1
5,20,16,29,3,336,14,6,1,43,1,2
8,9,5,29,1,110,3,4,1,38,2,1
5,25,8,29,4,1619,2,1,1,48,1,2
8,5,2,29,4,1625,2,3,2,43,1,2
6,2,14,29,1,127,3,3,1,55,1,2
7,30,53,29,2,230,9,4,1,57,1,2
5,24,5,29,2,225,6,3,1,38,2,2
4,15,6,29,2,224,11,2,1,57,1,2
5,7,38,29,1,141,4,2,1,43,2,3
7,23,10,29,2,232,6,5,1,38,2,2
6,19,21,29,2,217,6,6,2,38,2,1
4,6,75,29,4,1667,9,5,1,38,1,4
7,21,3,29,4,165,3,2,1,23,2,1
5,17,1,29,4,1612,4,4,1,33,2,1
7,24,64,16,3,354,14,6,1,57,1,3
5,29,2,9,1,13,3,1,1,72,1,1
6,17,10,9,3,325,2,3,1,33,2,2
7,18,1,9,1,11,8,1,1,28,2,1
4,27,1,29,3,317,14,6,1,48,1,1
6,25,3,29,4,166,2,2,1,43,1,1
8,12,2,29,1,114,3,5,1,60,1,1
5,8,2,29,2,210,2,4,1,67,1,1
8,12,5,29,2,220,8,1,1,43,2,2
8,8,8,29,3,345,11,3,1,55,1,3
5,12,64,29,1,135,14,6,2,33,2,2
5,9,4,29,2,24,10,2,1,52,1,1
4,7,11,29,1,112,2,4,1,38,2,1
7,7,8,29,1,13,3,1,1,72,1,1
6,5,9,9,2,211,2,4,1,43,2,1
5,22,12,29,3,340,14,2,2,28,2,3
4,1,2,29,1,115,14,5,2,33,2,1
7,21,1,29,1,111,3,4,1,62,1,1
6,12,22,24,2,210,2,4,1,67,1,1
7,14,6,29,4,1618,2,6,1,28,2,1
5,1,6,9,2,28,4,3,2,52,1,1
6,9,14,29,1,18,3,3,1,62,1,1
7,8,20,29,3,323,3,2,1,43,1,2
7,14,9,29,1,112,2,4,1,38,2,1
7,5,24,29,2,227,2,3,1,57,1,2
6,4,12,24,1,19,3,3,1,82,1,1
6,17,12,29,4,1616,7,6,1,33,2,1
4,2,9,29,3,313,9,5,1,48,1,1
5,19,2,29,2,216,12,6,1,52,1,1
8,6,33,29,3,39,6,3,1,48,1,1
5,13,4,29,3,334,7,6,1,48,1,2
4,5,7,29,2,228,9,4,1,38,2,2
5,24,17,29,4,1658,9,2,2,38,1,4
4,22,3,29,3,314,9,5,1,23,2,1
7,11,10,29,4,1656,2,1,1,33,2,4
6,24,17,29,3,352,2,6,1,38,2,3
5,18,8,29,4,1651,9,5,1,28,2,3
5,15,22,29,1,12,3,1,1,43,2,1
4,19,9,29,2,24,10,2,1,52,1,1
8,2,5,29,2,215,9,5,1,38,2,1
7,8,5,29,1,122,4,2,1,62,1,2
4,1,6,29,2,231,9,5,1,57,1,2
8,2,5,29,2,220,8,1,1,43,2,2
4,19,11,29,3,351,6,5,1,20,2,3
4,25,14,29,4,165,3,2,1,23,2,1
4,2,10,29,2,22,3,1,2,57,1,1
8,11,16,29,3,355,13,1,1,48,1,4
5,20,4,29,1,17,3,3,1,43,2,1
6,22,3,29,1,130,6,4,1,38,2,2
5,26,7,29,4,161,3,1,1,38,1,1
6,4,4,29,2,24,10,2,1,52,1,1
4,23,29,29,3,344,14,3,1,55,1,3
5,28,1,29,4,1616,7,6,1,33,2,1
6,1,10,29,2,232,6,5,1,38,2,2
6,4,25,29,4,1656,2,1,1,33,2,4
8,2,10,29,4,168,2,3,1,28,2,1
7,14,8,29,3,344,14,3,1,55,1,3
6,11,2,29,3,37,13,3,1,48,1,1
5,12,3,29,3,336,14,6,1,43,1,2
6,2,3,29,4,168,2,3,1,28,2,1
7,30,2,29,3,321,14,1,1,57,1,2
4,26,11,29,3,339,6,1,1,77,1,3
4,13,10,9,2,23,12,1,1,52,1,1
8,3,4,29,2,222,2,2,1,67,1,2
7,28,2,29,4,166,2,2,1,43,1,1
5,28,14,29,2,215,9,5,1,38,2,1
5,19,16,29,3,310,9,4,2,28,2,1
7,26,1,29,1,11,8,1,1,28,2,1
7,1,5,29,1,14,3,2,2,38,2,1
8,10,1,29,3,329,6,4,2,52,1,2
7,27,5,29,2,220,8,1,1,43,2,2
5,23,5,29,3,342,7,2,1,28,2,3
7,31,6,29,1,121,1,1,1,62,1,2
6,6,1,29,1,113,1,5,1,28,2,1
5,8,29,29,1,129,2,4,1,60,1,2
4,10,12,29,4,162,3,1,1,28,2,1
5,14,10,29,2,24,10,2,1,52,1,1
7,2,65,29,1,17,3,3,1,43,2,1
8,8,17,29,1,115,14,5,2,33,2,1
7,18,2,29,1,111,3,4,1,62,1,1
5,31,5,9,3,337,2,1,1,43,1,3
6,12,1,29,4,1616,7,6,1,33,2,1
4,16,2,29,1,125,1,3,1,38,2,2
6,10,2,29,2,215,9,5,1,38,2,1
4,27,5,9,1,13,3,1,1,72,1,1
4,7,1,29,2,212,2,4,1,38,2,1
7,15,1,46,2,25,14,2,2,52,1,1
4,1,6,29,2,21,4,1,1,57,1,1
4,5,4,29,2,216,12,6,1,52,1,1
5,6,4,29,1,131,6,5,2,62,1,2
5,22,3,29,2,210,2,4,1,67,1,1
6,25,14,29,4,1645,9,3,1,33,2,3
7,1,2,29,4,1661,1,3,2,28,2,4
5,6,2,29,2,24,10,2,1,52,1,1
7,2,5,29,4,165,3,2,1,23,2,1
6,17,1,29,2,214,2,5,1,62,1,1
7,17,2,29,1,17,3,3,1,43,2,1
6,13,3,24,3,312,14,4,1,43,1,1
7,3,6,29,1,124,2,2,1,48,1,2
4,11,13,23,1,13,3,1,1,72,1,1
8,7,4,29,2,26,2,2,1,52,1,1
7,2,3,24,3,318,9,6,1,48,1,1
6,17,9,29,3,336,14,6,1,43,1,2
5,8,16,29,4,165,3,2,1,23,2,1
6,25,22,29,2,24,10,2,1,52,1,1
5,6,4,24,2,22,3,1,2,57,1,1
4,8,4,29,3,322,11,2,2,43,1,2
6,7,5,9,1,14,3,2,2,38,2,1
6,17,5,29,2,24,10,2,1,52,1,1
7,13,1,37,3,332,2,5,1,33,2,2
6,11,7,29,2,21,4,1,1,57,1,1
4,7,14,29,4,1646,14,4,1,28,2,3
5,21,4,29,1,14,3,2,2,38,2,1
5,16,4,9,2,223,7,2,1,38,2,2
7,6,4,29,1,118,4,6,1,38,2,1
4,4,10,29,3,36,6,2,1,33,2,1
8,8,2,29,3,36,6,2,1,33,2,1
6,8,9,29,3,315,6,5,1,33,2,1
4,27,14,29,2,210,2,4,1,67,1,1
7,13,2,29,2,210,2,4,1,67,1,1
6,2,3,29,4,1648,9,4,2,33,2,3
6,20,4,29,3,33,6,1,2,23,2,1
4,16,2,29,4,1614,2,5,2,38,1,1
6,1,6,29,2,223,7,2,1,38,2,2
6,7,2,29,4,1616,7,6,1,33,2,1
4,8,100,24,4,1615,4,5,2,38,1,1
8,7,11,29,2,217,6,6,2,38,2,1
7,8,21,29,1,13,3,1,1,72,1,1
6,30,1,29,2,21,4,1,1,57,1,1
4,3,29,29,3,354,14,6,1,57,1,3
4,8,10,29,4,1616,7,6,1,33,2,1
5,21,7,9,3,39,6,3,1,48,1,1
8,9,1,29,3,34,4,2,1,48,1,1
5,27,11,29,4,1658,9,2,2,38,1,4
7,4,35,29,4,1652,11,6,2,23,2,3
6,21,3,29,2,232,6,5,1,38,2,2
4,8,22,29,1,14,3,2,2,38,2,1
5,5,9,29,3,355,13,1,1,48,1,4
7,28,4,29,4,1639,14,1,1,43,1,3
6,20,13,29,4,1635,4,6,1,28,2,2
6,9,3,29,2,213,12,5,2,62,1,1
8,12,11,29,3,354,14,6,1,57,1,3
5,27,10,29,4,161,3,1,1,38,1,1
8,8,2,29,1,130,6,4,1,38,2,2
4,2,3,29,3,335,9,6,1,50,1,2
6,30,4,29,1,142,6,2,1,28,2,3
4,27,1,29,2,211,2,4,1,43,2,1
8,12,21,24,4,1626,4,3,1,43,1,2
4,10,25,29,4,1615,4,5,2,38,1,1
8,12,5,29,3,335,9,6,1,50,1,2
4,1,10,29,4,1682,6,4,2,48,1,5
6,14,2,46,2,22,3,1,2,57,1,1
4,8,5,24,1,121,1,1,1,62,1,2
6,21,1,24,3,340,14,2,2,28,2,3
4,30,5,29,4,1616,7,6,1,33,2,1
7,24,6,29,2,227,2,3,1,57,1,2
6,16,19,29,4,1611,4,4,2,38,1,1
8,4,4,29,2,216,12,6,1,52,1,1
7,27,1,29,4,161,3,1,1,38,1,1
