n,pearson_r,pearson_p,spearman_rho,spearman_p,r2,slope,intercept,interpretation,Figure,X,Y,Level
160,0.45479534336775906,1.526892133966574e-09,0.5336415815844076,3.708130505003968e-13,0.20683880434899787,0.48193084125713864,0.2948098253356109,Moderate positive correlation.,Accuracy/MIA/FigureS01_fidelity_vs_utility_Accuracy,Fidelity,Utility,supplementary
160,0.16471440475408278,0.0373979532773529,0.20166929671961317,0.010549834904722818,0.027130835133491807,0.15257047554447237,0.5789753328623506,Very weak positive correlation.,Accuracy/MIA/FigureS02_privacy_vs_utility_Accuracy,Privacy,Utility,supplementary
160,0.25901740276157864,0.0009420725971359556,0.1309786962394204,0.0987602831792562,0.06709001493335384,0.2264118495016178,0.6463884714017253,Weak positive correlation.,Accuracy/MIA/FigureS03_fidelity_vs_privacy_Accuracy,Privacy,Fidelity,supplementary
160,0.45479534336775906,1.526892133966574e-09,0.5336415815844076,3.708130505003968e-13,0.20683880434899787,0.48193084125713864,0.2948098253356109,Moderate positive correlation.,Accuracy/NNDR/FigureS01_fidelity_vs_utility_Accuracy,Fidelity,Utility,supplementary
160,-0.3664546613646278,1.8807766754719003e-06,-0.2240654707208198,0.004395156699218635,0.13428901883586403,-0.00885639902416997,0.7397523389594558,Weak negative correlation.,Accuracy/NNDR/FigureS02_privacy_vs_utility_Accuracy,Privacy,Utility,supplementary
160,-0.8933229758707777,9.302157854602794e-57,-0.6882352941176471,8.724794095644686e-24,0.7980259392186221,-0.02037401954291283,0.9378521334128979,Strong negative correlation.,Accuracy/NNDR/FigureS03_fidelity_vs_privacy_Accuracy,Privacy,Fidelity,supplementary
160,0.6365347686066429,1.4820551880739917e-19,0.544620290617499,9.728613465300704e-14,0.4051765116451125,0.6455474554495653,0.16967832337541255,Moderate positive correlation.,F1/MIA/FigureS01_fidelity_vs_utility_F1,Fidelity,Utility,supplementary
160,0.19747712571179518,0.012313726534283826,0.23423308629189155,0.0028712449937647127,0.038997215179392156,0.17506246872693548,0.568762574529906,Very weak positive correlation.,F1/MIA/FigureS02_privacy_vs_utility_F1,Privacy,Utility,supplementary
160,0.25901740276157864,0.0009420725971359556,0.1309786962394204,0.0987602831792562,0.06709001493335384,0.2264118495016178,0.6463884714017253,Weak positive correlation.,F1/MIA/FigureS03_fidelity_vs_privacy_F1,Privacy,Fidelity,supplementary
160,0.6365347686066429,1.4820551880739917e-19,0.544620290617499,9.728613465300704e-14,0.4051765116451125,0.6455474554495653,0.16967832337541255,Moderate positive correlation.,F1/NNDR/FigureS01_fidelity_vs_utility_F1,Fidelity,Utility,supplementary
160,-0.502869777548139,1.2322963653130354e-11,-0.1787416024130842,0.023732131106847545,0.2528780131713148,-0.011631341121337088,0.7639847756535061,Moderate negative correlation.,F1/NNDR/FigureS02_privacy_vs_utility_F1,Privacy,Utility,supplementary
160,-0.8933229758707777,9.302157854602794e-57,-0.6882352941176471,8.724794095644686e-24,0.7980259392186221,-0.02037401954291283,0.9378521334128979,Strong negative correlation.,F1/NNDR/FigureS03_fidelity_vs_privacy_F1,Privacy,Fidelity,supplementary
