Dataset,DatasetKey,DatasetLabel,Generator,Seed,Utility,UtilityMean,UtilityStd,UtilityMetric,Fidelity,FidelityMetric,Privacy,PrivacyMetric,PrivacyLabel,HigherIsPrivate,N_Classifiers,SeedSource
1. Cancer,Cancer,Cancer,CTABGAN,42,0.8685306008710556,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,43,0.8612399093289843,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,44,0.8496390842914895,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,45,0.812690728562055,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,46,0.7839935444477812,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,47,0.8577989440260291,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,48,0.8206742291759749,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,49,0.8435390400319622,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,50,0.8222805489565532,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,51,0.8326372605595488,0.8320532609793989,0.0324055255119192,F1,0.851563,Quality_Score,4.696354,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,42,0.7063126009023848,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,43,0.6929110370892207,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,44,0.7193468097031473,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,45,0.6934425786061215,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,46,0.6491291487394849,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,47,0.7408501435436312,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,48,0.6781773246920743,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,49,0.6529007816172805,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,50,0.7072883940171885,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTGAN,51,0.6872503202300465,0.6961543696878353,0.034449907074250864,F1,0.765081,Quality_Score,6.264304,NNDR,NNDR,True,20,reconstructed_from_Mean_SD
