Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,Category,MetricValue,SourceFile
4. Forest cover dataset,CopulaGAN,,fidelity,Gower_Similarity,0.901364,0.901364,,,,,0.0,0.0,100.0,Score,Fidelity,0.901364,Generators\SDV models\4.Forest cover.ipynb
4. Forest cover dataset,CTGAN,,fidelity,Gower_Similarity,0.902477,0.902477,,,,,0.0,0.0,100.0,Score,Fidelity,0.902477,Generators\SDV models\4.Forest cover.ipynb
3. Adult,GaussianCopula,,fidelity,PCA_Mean_Error,595.285454,595.285454,,,,,0.0,0.0,100.0,Score,Fidelity,595.285454,Generators\SDV models\3. Adult census.ipynb
3. Adult,TVAE,,fidelity,PCA_Mean_Error,40.344942,40.344942,,,,,0.0,0.0,100.0,Score,Fidelity,40.344942,Generators\SDV models\3. Adult census.ipynb
3. Adult,CopulaGAN,,fidelity,PCA_Mean_Error,48.729227,48.729227,,,,,0.0,0.0,100.0,Score,Fidelity,48.729227,Generators\SDV models\3. Adult census.ipynb
3. Adult,CTGAN,,fidelity,PCA_Mean_Error,38.298415,38.298415,,,,,0.0,0.0,100.0,Score,Fidelity,38.298415,Generators\SDV models\3. Adult census.ipynb
3. Adult,GaussianCopula,,fidelity,PCA_Correlation_Diff,0.162811,0.162811,,,,,0.0,0.0,100.0,Score,Fidelity,0.162811,Generators\SDV models\3. Adult census.ipynb
3. Adult,TVAE,,fidelity,PCA_Correlation_Diff,0.159209,0.159209,,,,,0.0,0.0,100.0,Score,Fidelity,0.159209,Generators\SDV models\3. Adult census.ipynb
3. Adult,CopulaGAN,,fidelity,PCA_Correlation_Diff,0.156685,0.156685,,,,,0.0,0.0,100.0,Score,Fidelity,0.156685,Generators\SDV models\3. Adult census.ipynb
3. Adult,CTGAN,,fidelity,PCA_Correlation_Diff,0.162565,0.162565,,,,,0.0,0.0,100.0,Score,Fidelity,0.162565,Generators\SDV models\3. Adult census.ipynb
4. Forest cover dataset,TabDDPM,,fidelity,Quality_Score,0.1043,0.1043,,,,,,0.0,,,Fidelity,0.1043,Generators/Diffusion GANs/4_Forest_Cover_diffusion.ipynb
4. Forest cover dataset,ForestDiffusion,,fidelity,Quality_Score,0.1889,0.1889,,,,,,0.0,,,Fidelity,0.1889,Generators/Diffusion GANs/4_Forest_Cover_diffusion.ipynb
4. Forest cover dataset,WGAN_GP,,fidelity,Quality_Score,0.9376,0.9376,,,,,,0.0,,,Fidelity,0.9376,Generators/Other GANS/4_Forest_Cover_other_GAN.ipynb
4. Forest cover dataset,CTABGAN,,fidelity,Quality_Score,0.9687,0.9687,,,,,,0.0,,,Fidelity,0.9687,Generators/Other GANS/4_Forest_Cover_other_GAN.ipynb
3. Adult,GaussianCopula,,,JS_Divergence,,0.0447333333333333,,,,,,0.0,,Score,Fidelity,0.0447333333333333,Generators/SDV models/3. Adult census.ipynb
3. Adult,TVAE,,,JS_Divergence,,0.2172666666666666,,,,,,0.0,,Score,Fidelity,0.2172666666666666,Generators/SDV models/3. Adult census.ipynb
15. Real Estate Valuation,TabDDPM,,fidelity,Quality_Score,0.65929,0.65929,,,,,,0.0,,,Fidelity,0.65929,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,ForestDiffusion,,fidelity,Quality_Score,0.944539,0.944539,,,,,,0.0,,,Fidelity,0.944539,Generators/Diffusion GANs/15. Real Estate Valuation_diffusion.ipynb
15. Real Estate Valuation,WGAN_GP,,fidelity,Quality_Score,0.734693,0.734693,,,,,,0.0,,,Fidelity,0.734693,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,CTABGAN,,fidelity,Quality_Score,0.911592,0.911592,,,,,,0.0,,,Fidelity,0.911592,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,CopulaGAN,,fidelity,Quality_Score,0.734702,0.734702,,,,,,0.0,,,Fidelity,0.734702,Generators/SDV models/15. Real Estate Valuation.ipynb
15. Real Estate Valuation,CTGAN,,fidelity,Quality_Score,0.764289,0.764289,,,,,,0.0,,,Fidelity,0.764289,Generators/SDV models/15. Real Estate Valuation.ipynb
15. Real Estate Valuation,GaussianCopula,,fidelity,Quality_Score,0.884307,0.884307,,,,,,0.0,,,Fidelity,0.884307,Generators/SDV models/15. Real Estate Valuation.ipynb
15. Real Estate Valuation,TVAE,,fidelity,Quality_Score,0.92108,0.92108,,,,,,0.0,,,Fidelity,0.92108,Generators/SDV models/15. Real Estate Valuation.ipynb
14. Energy Efficiency,TabDDPM,,fidelity,Quality_Score,0.654671,0.654671,,,,,,0.0,,,Fidelity,0.654671,Generators/Diffusion GANs/14. Energy Efficiency_diffusion.ipynb
14. Energy Efficiency,ForestDiffusion,,fidelity,Quality_Score,0.708662,0.708662,,,,,,0.0,,,Fidelity,0.708662,Generators/Diffusion GANs/14. Energy Efficiency_diffusion.ipynb
14. Energy Efficiency,WGAN_GP,,fidelity,Quality_Score,0.626702,0.626702,,,,,,0.0,,,Fidelity,0.626702,Generators/Other GANS/14. Energy Efficiency_other GAN.ipynb
14. Energy Efficiency,CTABGAN,,fidelity,Quality_Score,0.704767,0.704767,,,,,,0.0,,,Fidelity,0.704767,Generators/Other GANS/14. Energy Efficiency_other GAN.ipynb
14. Energy Efficiency,CTGAN,,fidelity,Quality_Score,0.677298,0.677298,,,,,,0.0,,,Fidelity,0.677298,Generators/SDV models/14. Energy Efficiency.ipynb
14. Energy Efficiency,CopulaGAN,,fidelity,Quality_Score,0.686985,0.686985,,,,,,0.0,,,Fidelity,0.686985,Generators/SDV models/14. Energy Efficiency.ipynb
14. Energy Efficiency,GaussianCopula,,fidelity,Quality_Score,0.789355,0.789355,,,,,,0.0,,,Fidelity,0.789355,Generators/SDV models/14. Energy Efficiency.ipynb
14. Energy Efficiency,TVAE,,fidelity,Quality_Score,0.88622,0.88622,,,,,,0.0,,,Fidelity,0.88622,Generators/SDV models/14. Energy Efficiency.ipynb
13. Concrete Compressive Strength,ForestDiffusion,,fidelity,Quality_Score,0.877,0.877,,,,,,0.0,,,Fidelity,0.877,Generators/Diffusion GANs/13. Concrete Compressive Strength_diffusion.ipynb
13. Concrete Compressive Strength,TabDDPM,,fidelity,Quality_Score,0.948889,0.948889,,,,,,0.0,,,Fidelity,0.948889,Generators/Diffusion GANs/13. Concrete Compressive Strength_diffusion.ipynb
13. Concrete Compressive Strength,WGAN_GP,,fidelity,Quality_Score,0.744333,0.744333,,,,,,0.0,,,Fidelity,0.744333,Generators/Other GANS/13. Concrete Compressive Strength_other GAN.ipynb
13. Concrete Compressive Strength,CTABGAN,,fidelity,Quality_Score,0.772333,0.772333,,,,,,0.0,,,Fidelity,0.772333,Generators/Other GANS/13. Concrete Compressive Strength_other GAN.ipynb
13. Concrete Compressive Strength,CTGAN,,fidelity,Quality_Score,0.720855,0.720855,,,,,,0.0,,,Fidelity,0.720855,Generators/SDV models/13. Concrete Compressive Strength.ipynb
13. Concrete Compressive Strength,CopulaGAN,,fidelity,Quality_Score,0.724632,0.724632,,,,,,0.0,,,Fidelity,0.724632,Generators/SDV models/13. Concrete Compressive Strength.ipynb
13. Concrete Compressive Strength,GaussianCopula,,fidelity,Quality_Score,0.847314,0.847314,,,,,,0.0,,,Fidelity,0.847314,Generators/SDV models/13. Concrete Compressive Strength.ipynb
13. Concrete Compressive Strength,TVAE,,fidelity,Quality_Score,0.894231,0.894231,,,,,,0.0,,,Fidelity,0.894231,Generators/SDV models/13. Concrete Compressive Strength.ipynb
12. Air Quality,TabDDPM,,fidelity,Quality_Score,0.773077,0.773077,,,,,,0.0,,,Fidelity,0.773077,Generators/Diffusion GANs/12. Air Quality_diffusion.ipynb
12. Air Quality,ForestDiffusion,,fidelity,Quality_Score,0.919615,0.919615,,,,,,0.0,,,Fidelity,0.919615,Generators/Diffusion GANs/12. Air Quality_diffusion.ipynb
12. Air Quality,WGAN_GP,,fidelity,Quality_Score,0.841846,0.841846,,,,,,0.0,,,Fidelity,0.841846,Generators/Other GANS/12. Air Quality_other GAN.ipynb
12. Air Quality,CTABGAN,,fidelity,Quality_Score,0.873,0.873,,,,,,0.0,,,Fidelity,0.873,Generators/Other GANS/12. Air Quality_other GAN.ipynb
12. Air Quality,CopulaGAN,,fidelity,Quality_Score,0.671844,0.671844,,,,,,0.0,,,Fidelity,0.671844,Generators/SDV models/12. Air Quality.ipynb
12. Air Quality,CTGAN,,fidelity,Quality_Score,0.724395,0.724395,,,,,,0.0,,,Fidelity,0.724395,Generators/SDV models/12. Air Quality.ipynb
12. Air Quality,TVAE,,fidelity,Quality_Score,0.927111,0.927111,,,,,,0.0,,,Fidelity,0.927111,Generators/SDV models/12. Air Quality.ipynb
12. Air Quality,GaussianCopula,,fidelity,Quality_Score,0.948563,0.948563,,,,,,0.0,,,Fidelity,0.948563,Generators/SDV models/12. Air Quality.ipynb
11. online shopping,TVAE,,fidelity,Quality_Score,0.608031,0.608031,,,,,,0.0,,,Fidelity,0.608031,Generators/SDV models/11. Online Shopping.ipynb
11. online shopping,CTGAN,,fidelity,Quality_Score,0.672431,0.672431,,,,,,0.0,,,Fidelity,0.672431,Generators/SDV models/11. Online Shopping.ipynb
11. online shopping,CopulaGAN,,fidelity,Quality_Score,0.682,0.682,,,,,,0.0,,,Fidelity,0.682,Generators/SDV models/11. Online Shopping.ipynb
11. online shopping,GaussianCopula,,fidelity,Quality_Score,0.704185,0.704185,,,,,,0.0,,,Fidelity,0.704185,Generators/SDV models/11. Online Shopping.ipynb
10. Metro interstate,GaussianCopula,,fidelity,Quality_Score,0.573533,0.573533,,,,,,0.0,,,Fidelity,0.573533,Generators/SDV models/10. Metro Interstate Traffic Volume.ipynb
10. Metro interstate,CopulaGAN,,fidelity,Quality_Score,0.719811,0.719811,,,,,,0.0,,,Fidelity,0.719811,Generators/SDV models/10. Metro Interstate Traffic Volume.ipynb
10. Metro interstate,CTGAN,,fidelity,Quality_Score,0.755272,0.755272,,,,,,0.0,,,Fidelity,0.755272,Generators/SDV models/10. Metro Interstate Traffic Volume.ipynb
10. Metro interstate,TVAE,,fidelity,Quality_Score,0.852997,0.852997,,,,,,0.0,,,Fidelity,0.852997,Generators/SDV models/10. Metro Interstate Traffic Volume.ipynb
9. MAGIC Gamma Telescope,TabDDPM,,fidelity,Quality_Score,0.722636,0.722636,,,,,,0.0,,,Fidelity,0.722636,Generators/Diffusion GANs/9. MAGIC Gamma Telescope_diffusion.ipynb
9. MAGIC Gamma Telescope,ForestDiffusion,,fidelity,Quality_Score,0.867091,0.867091,,,,,,0.0,,,Fidelity,0.867091,Generators/Diffusion GANs/9. MAGIC Gamma Telescope_diffusion.ipynb
9. MAGIC Gamma Telescope,CTABGAN,,fidelity,Quality_Score,0.939745,0.939745,,,,,,0.0,,,Fidelity,0.939745,Generators/Other GANS/9. MAGIC Gamma Telescope_other GAN.ipynb
9. MAGIC Gamma Telescope,WGAN_GP,,fidelity,Quality_Score,0.94941,0.94941,,,,,,0.0,,,Fidelity,0.94941,Generators/Other GANS/9. MAGIC Gamma Telescope_other GAN.ipynb
9. MAGIC Gamma Telescope,CopulaGAN,,fidelity,Quality_Score,0.888847,0.888847,,,,,,0.0,,,Fidelity,0.888847,Generators/SDV models/9. MAGIC Gamma Telescope.ipynb
9. MAGIC Gamma Telescope,CTGAN,,fidelity,Quality_Score,0.894375,0.894375,,,,,,0.0,,,Fidelity,0.894375,Generators/SDV models/9. MAGIC Gamma Telescope.ipynb
9. MAGIC Gamma Telescope,GaussianCopula,,fidelity,Quality_Score,0.895806,0.895806,,,,,,0.0,,,Fidelity,0.895806,Generators/SDV models/9. MAGIC Gamma Telescope.ipynb
9. MAGIC Gamma Telescope,TVAE,,fidelity,Quality_Score,0.928895,0.928895,,,,,,0.0,,,Fidelity,0.928895,Generators/SDV models/9. MAGIC Gamma Telescope.ipynb
8. Mushroom dataset,TabDDPM,,fidelity,Quality_Score,0.452807,0.452807,,,,,,0.0,,,Fidelity,0.452807,Generators/Diffusion GANs/8. Mushroom_diffusion.ipynb
