Dataset,Generator,Seed,LeakageLevel,Metric,MetricValue,Classifier,Regressor,Category,EvaluationType,Mean,Std,TaskType,SourceFile,Experiment,Value,RegressionModel,Leakage,TrainingPercentage
1. Cancer,CTGAN,,0.0,Accuracy,0.9789473684210526,Logistic Regression,,Utility,TRTR,0.9789473684210526,0.009768007654087744,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.9789473684210526,,0.0,100.0
1. Cancer,CTGAN,,0.0,Accuracy,0.7912280701754387,Logistic Regression,,Utility,TSTR,0.7912280701754387,0.0128920512778062,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.7912280701754387,,0.0,100.0
1. Cancer,CTGAN,,0.0,Accuracy_Gap,0.7912280701754387,Logistic Regression,,Utility,Gap,0.18771929824561384,0.0128920512778062,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.18771929824561384,,0.0,100.0
1. Cancer,CTGAN,,0.0,F1,0.9707868770215718,Logistic Regression,,Utility,TRTR,0.9707868770215718,0.0137941861874265,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.9707868770215718,,0.0,100.0
1. Cancer,CTGAN,,0.0,F1,0.7657846423459664,Logistic Regression,,Utility,TSTR,0.7657846423459664,0.01159782677494995,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.7657846423459664,,0.0,100.0
1. Cancer,CTGAN,,0.0,F1_Gap,0.7657846423459664,Logistic Regression,,Utility,Gap,0.2050022346756054,0.01159782677494995,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.2050022346756054,,0.0,100.0
1. Cancer,CTGAN,,0.0,Precision,0.9901768962744573,Logistic Regression,,Utility,TRTR,0.9901768962744573,0.01203823054760635,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.9901768962744573,,0.0,100.0
1. Cancer,CTGAN,,0.0,Precision,0.6535649630917597,Logistic Regression,,Utility,TSTR,0.6535649630917597,0.01919003519494301,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.6535649630917597,,0.0,100.0
1. Cancer,CTGAN,,0.0,Precision_Gap,0.6535649630917597,Logistic Regression,,Utility,Gap,0.33661193318269755,0.01919003519494301,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.33661193318269755,,0.0,100.0
1. Cancer,CTGAN,,0.0,Recall,0.9523809523809523,Logistic Regression,,Utility,TRTR,0.9523809523809523,0.02129588549999798,classification,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx,utility,0.9523809523809523,,0.0,100.0
