Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,Category,MetricValue,SourceFile
10. Metro interstate,CTABGAN,,fidelity,Quality_Score,0.8821898055036569,0.8821898055036569,,,,,0.0,0,100.0,Score,Fidelity,0.8821898055036569,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,WGAN_GP,,fidelity,Quality_Score,0.808212463794471,0.808212463794471,,,,,0.0,0,100.0,Score,Fidelity,0.808212463794471,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
11. online shopping,CTABGAN,,fidelity,Quality_Score,0.9946252035570975,0.9946252035570975,,,,,0.0,0,100.0,Score,Fidelity,0.9946252035570975,Generators/Experiment with utility data leak/utility results/11. online shopping/TRTR_TSTR_results_merged.xlsx
11. online shopping,WGAN_GP,,fidelity,Quality_Score,0.01041483875451275,0.01041483875451275,,,,,0.0,0,100.0,Score,Fidelity,0.01041483875451275,Generators/Experiment with utility data leak/utility results/11. online shopping/TRTR_TSTR_results_merged.xlsx
12. Air Quality,CTABGAN,,fidelity,Quality_Score,0.8178852680962627,0.8178852680962627,,,,,0.0,0,100.0,Score,Fidelity,0.8178852680962627,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
12. Air Quality,WGAN_GP,,fidelity,Quality_Score,0.9248901750895357,0.9248901750895357,,,,,0.0,0,100.0,Score,Fidelity,0.9248901750895357,Generators/Experiment with utility data leak/utility results/12. Air Quality/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,,,fidelity,Quality_Score,0.7506345079655279,0.7506345079655279,,,,,0.0,0,100.0,Score,Fidelity,0.7506345079655279,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,TabDDPM,,fidelity,Quality_Score,0.9382868721657163,0.9382868721657163,,,,,0.0,0,100.0,Score,Fidelity,0.9382868721657163,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
13. Concrete Compressive Strength,ForestDiffusion,,fidelity,Quality_Score,0.9348424750662946,0.9348424750662946,,,,,0.0,0,100.0,Score,Fidelity,0.9348424750662946,Generators/Experiment with utility data leak/utility results/13. Concrete Compressive Strength/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,,,fidelity,Quality_Score,0.4979300039227117,0.4979300039227117,,,,,0.0,0,100.0,Score,Fidelity,0.4979300039227117,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,TabDDPM,,fidelity,Quality_Score,0.7175216927319554,0.7175216927319554,,,,,0.0,0,100.0,Score,Fidelity,0.7175216927319554,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
14. Energy Efficiency,ForestDiffusion,,fidelity,Quality_Score,0.6387588541837335,0.6387588541837335,,,,,0.0,0,100.0,Score,Fidelity,0.6387588541837335,Generators/Experiment with utility data leak/utility results/14. Energy Efficiency/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,,,fidelity,Quality_Score,0.8593680275609603,0.8593680275609603,,,,,0.0,0,100.0,Score,Fidelity,0.8593680275609603,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,TabDDPM,,fidelity,Quality_Score,0.7347507844226402,0.7347507844226402,,,,,0.0,0,100.0,Score,Fidelity,0.7347507844226402,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,ForestDiffusion,,fidelity,Quality_Score,0.9694415186242399,0.9694415186242399,,,,,0.0,0,100.0,Score,Fidelity,0.9694415186242399,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
1. Cancer,CTGAN,,,KS_Complement,,0.915807,,,,,,0,,Score,Fidelity,0.915807,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,,,JS_Divergence,,0.254414,,,,,,0,,Score,Fidelity,0.254414,Generators/SDV models/1. Cancer.ipynb
1. Cancer,GaussianCopula,,,Wasserstein_Distance,,0.014806,,,,,,0,,Score,Fidelity,0.014806,Generators/SDV models/1. Cancer.ipynb
1. Cancer,TVAE,,,Wasserstein_Distance,,0.030417,,,,,,0,,Score,Fidelity,0.030417,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,,,Wasserstein_Distance,,0.07423,,,,,,0,,Score,Fidelity,0.07423,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CopulaGAN,,,Wasserstein_Distance,,0.123656,,,,,,0,,Score,Fidelity,0.123656,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,,,Gower_Distance,,0.825575,,,,,,0,,Score,Fidelity,0.825575,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CopulaGAN,,,Gower_Distance,,0.787046,,,,,,0,,Score,Fidelity,0.787046,Generators/SDV models/1. Cancer.ipynb
1. Cancer,TVAE,,,Gower_Distance,,0.865425,,,,,,0,,Score,Fidelity,0.865425,Generators/SDV models/1. Cancer.ipynb
1. Cancer,GaussianCopula,,,Gower_Distance,,0.851888,,,,,,0,,Score,Fidelity,0.851888,Generators/SDV models/1. Cancer.ipynb
1. Cancer,GaussianCopula,,,MMD,,0.003901,,,,,,0,,Score,Fidelity,0.003901,Generators/SDV models/1. Cancer.ipynb
1. Cancer,TVAE,,,MMD,,0.020162,,,,,,0,,Score,Fidelity,0.020162,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,,,MMD,,0.142486,,,,,,0,,Score,Fidelity,0.142486,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CopulaGAN,,,MMD,,0.341616,,,,,,0,,Score,Fidelity,0.341616,Generators/SDV models/1. Cancer.ipynb
1. Cancer,TVAE,,,Cosine_Similarity,,0.043196,,,,,,0,,Score,Fidelity,0.043196,Generators/SDV models/1. Cancer.ipynb
1. Cancer,GaussianCopula,,,Cosine_Similarity,,0.012774,,,,,,0,,Score,Fidelity,0.012774,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,,,Cosine_Similarity,,0.007301,,,,,,0,,Score,Fidelity,0.007301,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CopulaGAN,,,Cosine_Similarity,,-0.042749,,,,,,0,,Score,Fidelity,-0.042749,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,,,PCA_Mean_Error,,22.139785,,,,,,0,,Score,Fidelity,22.139785,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CopulaGAN,,,PCA_Mean_Error,,43.617757,,,,,,0,,Score,Fidelity,43.617757,Generators/SDV models/1. Cancer.ipynb
1. Cancer,TVAE,,,PCA_Mean_Error,,9.333224,,,,,,0,,Score,Fidelity,9.333224,Generators/SDV models/1. Cancer.ipynb
1. Cancer,GaussianCopula,,,PCA_Mean_Error,,1.140859,,,,,,0,,Score,Fidelity,1.140859,Generators/SDV models/1. Cancer.ipynb
1. Cancer,GaussianCopula,,,MMD_Multivariate,,0.001456,,,,,,0,,Score,Fidelity,0.001456,Generators/SDV models/1. Cancer.ipynb
1. Cancer,TVAE,,,MMD_Multivariate,,0.018341,,,,,,0,,Score,Fidelity,0.018341,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,,,MMD_Multivariate,,0.087208,,,,,,0,,Score,Fidelity,0.087208,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CopulaGAN,,,MMD_Multivariate,,0.210474,,,,,,0,,Score,Fidelity,0.210474,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTABGAN,,,KS_Complement,,0.962583,,,,,,0,,Score,Fidelity,0.962583,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,JS_Divergence,,0.320934,,,,,,0,,Score,Fidelity,0.320934,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,Wasserstein_Distance,,0.010063,,,,,,0,,Score,Fidelity,0.010063,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,Wasserstein_Distance,,0.037154,,,,,,0,,Score,Fidelity,0.037154,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,Gower_Distance,,0.845894,,,,,,0,,Score,Fidelity,0.845894,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,Gower_Distance,,0.87225,,,,,,0,,Score,Fidelity,0.87225,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,MMD,,0.001618,,,,,,0,,Score,Fidelity,0.001618,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,MMD,,0.045172,,,,,,0,,Score,Fidelity,0.045172,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,Cosine_Similarity,,0.021422,,,,,,0,,Score,Fidelity,0.021422,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,Cosine_Similarity,,-0.008807,,,,,,0,,Score,Fidelity,-0.008807,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,PCA_Mean_Error,,10.578803,,,,,,0,,Score,Fidelity,10.578803,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,PCA_Mean_Error,,1.608508,,,,,,0,,Score,Fidelity,1.608508,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,,,PCA_Correlation_Diff,,1.040025,,,,,,0,,Score,Fidelity,1.040025,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,PCA_Correlation_Diff,,0.153608,,,,,,0,,Score,Fidelity,0.153608,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,WGAN_GP,,,MMD_Multivariate,,0.000164,,,,,,0,,Score,Fidelity,0.000164,Generators/Other GANS/1. Cancer_other GAN.ipynb
