Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,Category,MetricValue,SourceFile
3. Adult,ForestDiffusion,,privacy,Mean_Distance,0.6835758842400371,0.6835758842400371,,,,,0.0,0,100.0,Score,Privacy,0.6835758842400371,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,ForestDiffusion,,privacy,Median_Distance,0.4777613417881171,0.4777613417881171,,,,,0.0,0,100.0,Score,Privacy,0.4777613417881171,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,ForestDiffusion,,privacy,Std_Distance,0.8741509346586925,0.8741509346586925,,,,,0.0,0,100.0,Score,Privacy,0.8741509346586925,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,ForestDiffusion,,privacy,Min_Distance,0.01137725233505915,0.01137725233505915,,,,,0.0,0,100.0,Score,Privacy,0.01137725233505915,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,ForestDiffusion,,privacy,Max_Distance,10.6774785096172,10.6774785096172,,,,,0.0,0,100.0,Score,Privacy,10.6774785096172,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,TabDDPM,,privacy,Mean_Distance,10.02406682273864,10.02406682273864,,,,,0.0,0,100.0,Score,Privacy,10.02406682273864,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,TabDDPM,,privacy,Median_Distance,9.18572714180181,9.18572714180181,,,,,0.0,0,100.0,Score,Privacy,9.18572714180181,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,TabDDPM,,privacy,Std_Distance,3.99460171230777,3.99460171230777,,,,,0.0,0,100.0,Score,Privacy,3.99460171230777,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,TabDDPM,,privacy,Min_Distance,1.828476870313239,1.828476870313239,,,,,0.0,0,100.0,Score,Privacy,1.828476870313239,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,TabDDPM,,privacy,Max_Distance,16.15190096990098,16.15190096990098,,,,,0.0,0,100.0,Score,Privacy,16.15190096990098,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Mahalanobis.xlsx
3. Adult,ForestDiffusion,,privacy,Num_Matches,1000.0,1000.0,,,,,0.0,0,100.0,Score,Privacy,1000.0,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Matchings_All_Models.xlsx
3. Adult,TabDDPM,,privacy,Num_Matches,1000.0,1000.0,,,,,0.0,0,100.0,Score,Privacy,1000.0,/home/gopi.battineni/SYNTH_BENCHMARK/Generators/Diffusion GANs/Adult_Hungarian_Matchings_All_Models.xlsx
