Dataset,Generator,TaskType,Metric,Mean,SourceFile
1. Cancer,WGAN_GP,classification,Accuracy_Drop,0.02219298245614042,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,WGAN_GP,classification,F1_Drop,0.03461331320815166,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,WGAN_GP,classification,Precision_Drop,-0.006913178224702188,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,WGAN_GP,classification,Recall_Drop,0.06952380952380954,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,TVAE,classification,Accuracy_Drop,0.03517543859649121,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,TVAE,classification,F1_Drop,0.04334456486901758,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,TVAE,classification,Precision_Drop,0.08232949452236846,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,TVAE,classification,Recall_Drop,0.0009523809523809601,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CTABGAN,classification,Accuracy_Drop,0.07885964912280703,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CTABGAN,classification,F1_Drop,0.1148567575778942,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CTABGAN,classification,Precision_Drop,0.07376965522399398,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CTABGAN,classification,Recall_Drop,0.1469047619047618,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,GaussianCopula,classification,Accuracy_Drop,0.101140350877193,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,GaussianCopula,classification,F1_Drop,0.1535866237205841,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,GaussianCopula,classification,Precision_Drop,0.06708543893265337,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,GaussianCopula,classification,Recall_Drop,0.2135714285714285,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CTGAN,classification,Accuracy_Drop,0.2421929824561403,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CTGAN,classification,F1_Drop,0.2507556488694577,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CTGAN,classification,Precision_Drop,0.37496131286937,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CTGAN,classification,Recall_Drop,0.06642857142857136,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CopulaGAN,classification,Accuracy_Drop,0.602280701754386,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CopulaGAN,classification,F1_Drop,0.5328189355461513,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CopulaGAN,classification,Precision_Drop,0.6474866498306074,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,CopulaGAN,classification,Recall_Drop,0.3088095238095238,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,ForestDiffusion,classification,Accuracy_Drop,-0.0002631578947368207,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,ForestDiffusion,classification,F1_Drop,0.0002867067791768818,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,ForestDiffusion,classification,Precision_Drop,-0.006621349192104909,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,ForestDiffusion,classification,Recall_Drop,0.006428571428571428,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,TabDDPM,classification,Accuracy_Drop,0.4518421052631579,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,TabDDPM,classification,F1_Drop,0.6636837269749849,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,TabDDPM,classification,Precision_Drop,0.6708797571029342,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
1. Cancer,TabDDPM,classification,Recall_Drop,0.5354761904761904,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CTABGAN,regression,R2_Drop,-0.07868618956590667,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CTABGAN,regression,MSE_Increase,-327618.4877406954,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CTABGAN,regression,RMSE_Increase,-58.26976203230938,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CTABGAN,regression,MAE_Increase,28.04610341478097,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CopulaGAN,regression,R2_Drop,0.01604106372460356,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CopulaGAN,regression,MSE_Increase,66788.70927921734,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CopulaGAN,regression,RMSE_Increase,11.04041984981309,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CopulaGAN,regression,MAE_Increase,57.65125873925847,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CTGAN,regression,R2_Drop,0.05436272021388937,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CTGAN,regression,MSE_Increase,226345.0839874165,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CTGAN,regression,RMSE_Increase,47.1717603271567,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,CTGAN,regression,MAE_Increase,79.1004737321429,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,GaussianCopula,regression,R2_Drop,0.1352128056092531,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,GaussianCopula,regression,MSE_Increase,562973.1867976186,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,GaussianCopula,regression,RMSE_Increase,114.9312813642952,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,GaussianCopula,regression,MAE_Increase,98.68809988877403,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,TVAE,regression,R2_Drop,0.4923763427448706,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,TVAE,regression,MSE_Increase,2050062.326048407,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,TVAE,regression,RMSE_Increase,425.0145966080873,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,TVAE,regression,MAE_Increase,213.8499301317751,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,WGAN_GP,regression,R2_Drop,1.837717625909393,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,WGAN_GP,regression,MSE_Increase,7651536.728571258,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,WGAN_GP,regression,RMSE_Increase,1345.203515659804,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
10. Metro interstate,WGAN_GP,regression,MAE_Increase,1003.830611824549,Generators/Experiment with utility data leak/utility results/10. Metro interstate/TRTR_TSTR_results_merged.xlsx
