Dataset,Generator,LeakageLevel,FidelityScore,FidelityStd,N_Fidelity_Metrics
1. Cancer,CTABGAN,0,0.5133862651733053,0.4190367853106954,9
1. Cancer,CTGAN,0,0.4750360720991947,0.3313262612729288,9
1. Cancer,CopulaGAN,0,0.36828778723365513,0.2472718850136229,7
1. Cancer,ForestDiffusion,0,0.26481773991418645,0.3973204760397929,7
1. Cancer,GaussianCopula,0,0.3928241452145236,0.4460124703686378,7
1. Cancer,TVAE,0,0.41377407517736103,0.4362112587722336,7
1. Cancer,TabDDPM,0,0.5143939653183046,0.47315928831937626,9
1. Cancer,WGAN_GP,0,0.25572457800256904,0.407271732796022,7
10. Metro interstate,CTABGAN,0,0.45858735906828496,0.3940859538938906,10
10. Metro interstate,CTGAN,0,0.3734824139057936,0.4257079630766198,10
10. Metro interstate,CopulaGAN,0,0.34355506972599437,0.39546086928595725,10
10. Metro interstate,ForestDiffusion,0,0.4383017086081278,0.4630415491925348,9
10. Metro interstate,GaussianCopula,0,0.4580641007946412,0.44230195361028707,8
10. Metro interstate,TVAE,0,0.37838531755465316,0.4637642903558566,10
10. Metro interstate,TabDDPM,0,0.41730074439986403,0.3831883499938494,9
10. Metro interstate,WGAN_GP,0,0.3949824318262284,0.37323846537402455,10
11. online shopping,CTABGAN,0,0.5329370922641098,0.45442900969178995,10
11. online shopping,CTGAN,0,0.44082724507563614,0.34785206240353445,10
11. online shopping,CopulaGAN,0,0.42914074811259334,0.34214009123615763,10
11. online shopping,ForestDiffusion,0,0.3331927261645126,0.37820694987137427,9
11. online shopping,GaussianCopula,0,0.3467946297249161,0.3413727118542566,8
11. online shopping,TVAE,0,0.43247625616904317,0.13180497867540492,8
11. online shopping,TabDDPM,0,0.6318636445285204,0.42829489722852365,9
11. online shopping,WGAN_GP,0,0.35777802560303545,0.3423482787725303,10
12. Air Quality,CTABGAN,0,0.3971122907637264,0.3021946806968118,10
12. Air Quality,CTGAN,0,0.45822135880335735,0.2526216410453707,10
12. Air Quality,CopulaGAN,0,0.49308444714109234,0.4116438354469858,10
12. Air Quality,ForestDiffusion,0,0.35543821016942695,0.45924403086200305,9
12. Air Quality,GaussianCopula,0,0.36527702737782874,0.41373388821907936,8
12. Air Quality,TVAE,0,0.4062925075479027,0.373679358824764,8
12. Air Quality,TabDDPM,0,0.6583898908737843,0.41418363347612197,9
12. Air Quality,WGAN_GP,0,0.38184743512453945,0.2592977181895593,10
13. Concrete Compressive Strength,CTABGAN,0,0.506791339984687,0.18965019433681704,9
13. Concrete Compressive Strength,CTGAN,0,0.5224437816344291,0.4594563035477025,10
13. Concrete Compressive Strength,CopulaGAN,0,0.6287609209310772,0.37818481021352107,10
13. Concrete Compressive Strength,ForestDiffusion,0,0.5165455835078658,0.44746389018508276,10
13. Concrete Compressive Strength,GaussianCopula,0,0.5287299094552582,0.20573411414974935,8
13. Concrete Compressive Strength,TVAE,0,0.45652957494091373,0.2524263296369936,10
13. Concrete Compressive Strength,TabDDPM,0,0.5255465987709471,0.39825492728008116,10
13. Concrete Compressive Strength,WGAN_GP,0,0.5043620733607317,0.4394703726904447,9
13. Concrete Compressive Strength,,0,0.1369601782338117,0.0,1
14. Energy Efficiency,CTABGAN,0,0.5651087012342912,0.41466846617043834,9
14. Energy Efficiency,CTGAN,0,0.6508759236619113,0.22087417634804296,10
14. Energy Efficiency,CopulaGAN,0,0.5506440034046646,0.22197560263878616,10
14. Energy Efficiency,ForestDiffusion,0,0.47428211160847533,0.42672180501156015,10
14. Energy Efficiency,GaussianCopula,0,0.47807909249843694,0.23569797523266828,8
14. Energy Efficiency,TVAE,0,0.6019211138753604,0.3365656786797291,10
14. Energy Efficiency,TabDDPM,0,0.5811574707553901,0.3428680051653638,10
14. Energy Efficiency,WGAN_GP,0,0.2528535879484339,0.2465140917538007,9
14. Energy Efficiency,,0,0.0,0.0,1
15. Real Estate Valuation,CTABGAN,0,0.5323538876909268,0.4117028638477462,9
15. Real Estate Valuation,CTGAN,0,0.4810248188795704,0.40857602241803564,10
15. Real Estate Valuation,CopulaGAN,0,0.5164358729960185,0.4503681394114781,10
15. Real Estate Valuation,ForestDiffusion,0,0.5302572795289394,0.4772720516856869,10
15. Real Estate Valuation,GaussianCopula,0,0.5760391095661082,0.4013415931417271,10
15. Real Estate Valuation,TVAE,0,0.5714822789370361,0.39883309767507896,10
15. Real Estate Valuation,TabDDPM,0,0.5198041136612244,0.37681794438621086,10
15. Real Estate Valuation,WGAN_GP,0,0.48857053593755473,0.3529659615982215,9
15. Real Estate Valuation,,0,0.5310824027057834,0.0,1
2. Alzhimers,CTABGAN,0,0.45033583675400024,0.2896065307717923,9
2. Alzhimers,CTGAN,0,0.5514552052614698,0.23239621412133984,10
2. Alzhimers,CopulaGAN,0,0.4970094735423968,0.2723870618467119,10
2. Alzhimers,ForestDiffusion,0,0.4209539081060276,0.44044688993530834,9
2. Alzhimers,GaussianCopula,0,0.48994903198552464,0.36302043258480476,8
2. Alzhimers,TVAE,0,0.43774208323068675,0.31071635237780404,8
2. Alzhimers,TabDDPM,0,0.5452979141992785,0.44536200318557556,9
2. Alzhimers,WGAN_GP,0,0.29053646625765234,0.3960510281616518,9
3. Adult,CTABGAN,0,0.36047732133025867,0.2412137648295279,9
3. Adult,CTGAN,0,0.3489121423646301,0.3760831227979422,8
3. Adult,CopulaGAN,0,0.3952836205326607,0.4048463413259882,8
3. Adult,ForestDiffusion,0,0.4323002178613336,0.468748345135716,9
3. Adult,GaussianCopula,0,0.4157255746309122,0.39640870660109273,7
3. Adult,TVAE,0,0.428946663979969,0.44242232499069767,7
3. Adult,TabDDPM,0,0.6666666666666666,0.4714045207910317,9
3. Adult,WGAN_GP,0,0.318941056173356,0.28145048311125803,9
4. Forest cover dataset,CTABGAN,0,0.5192243564114816,0.4517561714074806,9
4. Forest cover dataset,CTGAN,0,0.3394968472793412,0.3658554282126569,5
4. Forest cover dataset,CopulaGAN,0,0.34291088666411473,0.394555955617028,5
4. Forest cover dataset,ForestDiffusion,0,0.26544091033106304,0.42074730023139456,7
4. Forest cover dataset,GaussianCopula,0,0.43727511297059385,0.40196102357688585,5
4. Forest cover dataset,TVAE,0,0.39289818555206624,0.3477974917459408,5
4. Forest cover dataset,TabDDPM,0,0.49256338400655697,0.47187355115718627,9
4. Forest cover dataset,WGAN_GP,0,0.4248212277676477,0.4283980813719575,7
5. Bank Markting,CTABGAN,0,0.4009700330137312,0.39481924240203875,9
5. Bank Markting,CTGAN,0,0.35273135348161205,0.4335251024767392,8
5. Bank Markting,CopulaGAN,0,0.28228729986567386,0.33017928734597257,8
5. Bank Markting,ForestDiffusion,0,0.42111610766968155,0.45324584217165487,9
5. Bank Markting,GaussianCopula,0,0.25254896657186104,0.2924209210902037,8
5. Bank Markting,TVAE,0,0.3224360722589848,0.3929792555132336,8
5. Bank Markting,TabDDPM,0,0.6360722945014263,0.457508578037116,9
5. Bank Markting,WGAN_GP,0,0.4624248671810442,0.37074215116877646,9
6. Wine dataset,CTABGAN,0,0.48588876292430616,0.32799566620571674,9
6. Wine dataset,CTGAN,0,0.3729486859520132,0.2821223224110213,10
6. Wine dataset,CopulaGAN,0,0.37351330779900455,0.3184781504577428,10
6. Wine dataset,ForestDiffusion,0,0.43752145758595923,0.4310890418075533,9
6. Wine dataset,GaussianCopula,0,0.3076396792826597,0.40934214194418983,8
6. Wine dataset,TVAE,0,0.4305758275292621,0.4280244025789058,8
6. Wine dataset,TabDDPM,0,0.5784847153667737,0.4718039657123221,9
6. Wine dataset,WGAN_GP,0,0.4964060145222122,0.32114909739234626,9
7. CDC diabetes dataset,CTABGAN,0,0.542096813608149,0.46484746737417676,9
7. CDC diabetes dataset,CTGAN,0,0.4472076900509865,0.3841591748265356,9
7. CDC diabetes dataset,CopulaGAN,0,0.3109815376614337,0.27516922542240674,7
7. CDC diabetes dataset,ForestDiffusion,0,0.29484958429839475,0.39754992245874643,5
7. CDC diabetes dataset,GaussianCopula,0,0.478706835220402,0.36119237170504664,7
7. CDC diabetes dataset,TVAE,0,0.46995481109178827,0.39803917562695174,7
7. CDC diabetes dataset,TabDDPM,0,0.5722665571239662,0.36625995215365703,7
7. CDC diabetes dataset,WGAN_GP,0,0.35344482153796275,0.356663483926722,7
8. Mushroom dataset,CTABGAN,0,0.45930392579828133,0.39869595358893817,9
8. Mushroom dataset,CTGAN,0,0.3697079075243822,0.4189129510429795,9
8. Mushroom dataset,CopulaGAN,0,0.3137404995245627,0.32429185997857424,8
8. Mushroom dataset,ForestDiffusion,0,0.1712066308380989,0.1859964089934082,7
8. Mushroom dataset,GaussianCopula,0,0.343779489884602,0.4169179793197654,8
8. Mushroom dataset,TVAE,0,0.4039431302146414,0.4473614274275943,8
8. Mushroom dataset,TabDDPM,0,0.5327151221325226,0.48040030802591,9
8. Mushroom dataset,WGAN_GP,0,0.2754930305176135,0.2193952590882596,7
9. MAGIC Gamma Telescope,CTABGAN,0,0.40545928069839854,0.37961692987617784,9
9. MAGIC Gamma Telescope,CTGAN,0,0.4935566242216822,0.3507919891494312,10
9. MAGIC Gamma Telescope,CopulaGAN,0,0.4822237920208611,0.32221896102912795,10
9. MAGIC Gamma Telescope,ForestDiffusion,0,0.42994101924482675,0.42271044674149183,9
9. MAGIC Gamma Telescope,GaussianCopula,0,0.2584613542619237,0.2650370349067358,8
9. MAGIC Gamma Telescope,TVAE,0,0.42231433290499076,0.4340799830576531,8
9. MAGIC Gamma Telescope,TabDDPM,0,0.5056131696394188,0.459680471291816,9
9. MAGIC Gamma Telescope,WGAN_GP,0,0.44025577735576116,0.453195956740689,9
