Dataset,Generator,LeakageLevel,PrivacyScore,PrivacyStd,N_Privacy_Metrics
1. Cancer,CTABGAN,0,0.5363147907251201,0.4520312730149757,4
1. Cancer,CTGAN,0,0.3123008246014149,0.39773638012226625,4
1. Cancer,CopulaGAN,0,0.3801171918778428,0.3416095923426357,4
1. Cancer,ForestDiffusion,0,0.7458789484729241,0.4306859916848103,4
1. Cancer,GaussianCopula,0,0.6147824256659962,0.3948195200317383,4
1. Cancer,TVAE,0,0.4877173849809624,0.4592444829575035,4
1. Cancer,TabDDPM,0,0.4597927818721145,0.4618239786791074,4
1. Cancer,WGAN_GP,0,0.5695028378343651,0.4284281443663037,4
10. Metro interstate,CTABGAN,0,0.7113235532065184,0.3405733316112144,9
10. Metro interstate,CTGAN,0,0.7786663687040103,0.34305389159921296,9
10. Metro interstate,CopulaGAN,0,0.7754566926994574,0.34999986314131387,9
10. Metro interstate,ForestDiffusion,0,0.7439649990770882,0.39689417654581965,9
10. Metro interstate,GaussianCopula,0,0.29643199808375437,0.42435834543476003,9
10. Metro interstate,TVAE,0,0.7854913260309208,0.34069727403415223,9
10. Metro interstate,TabDDPM,0,0.642409758486254,0.3304119773823767,9
10. Metro interstate,WGAN_GP,0,0.6602574708378628,0.4133864172663397,9
11. online shopping,CTABGAN,0,0.5128019762847633,0.3964566454536208,3
11. online shopping,CTGAN,0,0.6028094656313264,0.27389398127007997,3
11. online shopping,CopulaGAN,0,0.6069439495966559,0.28203431230996684,3
11. online shopping,ForestDiffusion,0,0.7153167456715835,0.3655487631905966,3
11. online shopping,GaussianCopula,0,0.682902230931196,0.23215457954883273,3
11. online shopping,TVAE,0,0.6249361266393793,0.259905907789067,3
11. online shopping,TabDDPM,0,0.2301557735557487,0.32548941642101076,3
11. online shopping,WGAN_GP,0,0.7034452062090623,0.2784455377653608,3
12. Air Quality,CTABGAN,0,0.49849866468692117,0.3983016141003154,3
12. Air Quality,CTGAN,0,0.2737622911358792,0.37452124663114505,9
12. Air Quality,CopulaGAN,0,0.6283913249083894,0.3872131933881415,9
12. Air Quality,ForestDiffusion,0,0.710792836146988,0.4153408517900506,4
12. Air Quality,GaussianCopula,0,0.8638840010003649,0.2537471817579363,9
12. Air Quality,TVAE,0,0.6856495099863926,0.36127070123424715,9
12. Air Quality,TabDDPM,0,0.2892620951130944,0.2903099966422333,4
12. Air Quality,WGAN_GP,0,0.48587497815521835,0.25426926547364914,3
13. Concrete Compressive Strength,CTABGAN,0,0.5183395096595771,0.3560704635652091,4
13. Concrete Compressive Strength,CTGAN,0,0.5048979227755163,0.22386239381505865,9
13. Concrete Compressive Strength,CopulaGAN,0,0.14532934371296496,0.3273921800873653,9
13. Concrete Compressive Strength,ForestDiffusion,0,0.6371210975016117,0.4114431778976628,4
13. Concrete Compressive Strength,GaussianCopula,0,0.5897701968996554,0.3835338358001905,9
13. Concrete Compressive Strength,TVAE,0,0.7903019990486772,0.20904281417005346,9
13. Concrete Compressive Strength,TabDDPM,0,0.698933188118484,0.2628199380001257,4
13. Concrete Compressive Strength,WGAN_GP,0,0.44093604369275374,0.3595297678018715,4
14. Energy Efficiency,CTABGAN,0,0.3850838587736284,0.4143788906782614,4
14. Energy Efficiency,CTGAN,0,0.30176646940355967,0.38691756257983184,9
14. Energy Efficiency,CopulaGAN,0,0.2911771673826662,0.3843170726590751,9
14. Energy Efficiency,ForestDiffusion,0,0.6616165712382773,0.40834198542174693,4
14. Energy Efficiency,GaussianCopula,0,0.751502858249971,0.32148755641867416,9
14. Energy Efficiency,TVAE,0,0.6760752257053734,0.3368669181497406,9
14. Energy Efficiency,TabDDPM,0,0.26002218149749967,0.23901381568160143,4
14. Energy Efficiency,WGAN_GP,0,0.3311112795076925,0.34181884085147557,4
15. Real Estate Valuation,CTABGAN,0,0.6208347543950324,0.3758991996963825,4
15. Real Estate Valuation,CTGAN,0,0.5000031148864676,0.49999688149290417,9
15. Real Estate Valuation,CopulaGAN,0,0.3997178762713931,0.4691624478093609,9
15. Real Estate Valuation,ForestDiffusion,0,0.7499973240920852,0.4330111569781131,4
15. Real Estate Valuation,GaussianCopula,0,0.3194637650848894,0.3867307612909658,9
15. Real Estate Valuation,TVAE,0,0.29693177710138885,0.3367241091161865,9
15. Real Estate Valuation,TabDDPM,0,0.5388433339381186,0.36187490607244627,4
15. Real Estate Valuation,WGAN_GP,0,0.3454453354877318,0.40873857630229277,4
2. Alzhimers,CTABGAN,0,0.6067396015620388,0.3996038565435537,4
2. Alzhimers,CTGAN,0,0.6236348069686141,0.3847782576087743,4
2. Alzhimers,CopulaGAN,0,0.5037210501673901,0.2987024878840394,4
2. Alzhimers,ForestDiffusion,0,0.7352618121410497,0.4251853109111625,4
2. Alzhimers,GaussianCopula,0,0.4165827538523376,0.3620365119212817,4
2. Alzhimers,TVAE,0,0.5203808436753965,0.34810231191739394,4
2. Alzhimers,TabDDPM,0,0.5341496511421223,0.4382974212560167,4
2. Alzhimers,WGAN_GP,0,0.7465355657259218,0.3402458683255407,4
3. Adult,CTABGAN,0,0.6055900463006874,0.3882484910016344,10
3. Adult,CTGAN,0,0.9027989610791034,0.14028754927461953,7
3. Adult,CopulaGAN,0,0.8963623353673816,0.1263772793956121,7
3. Adult,ForestDiffusion,0,0.797378964413918,0.3987099817195629,10
3. Adult,GaussianCopula,0,0.689175618593044,0.344841940457616,7
3. Adult,TVAE,0,0.8651574456543819,0.18592914628806925,7
3. Adult,TabDDPM,0,0.16215569214934678,0.24280281862119849,10
3. Adult,WGAN_GP,0,0.49794297723778713,0.4000402500024956,10
4. Forest cover dataset,CTABGAN,0,0.5104865887594332,0.46144401619749736,4
4. Forest cover dataset,CTGAN,0,0.46941833417498363,0.4363556917793641,4
4. Forest cover dataset,CopulaGAN,0,0.41935198749518326,0.4060534800056356,4
4. Forest cover dataset,ForestDiffusion,0,0.8763213483716429,0.3118271795632577,10
4. Forest cover dataset,GaussianCopula,0,0.5141863040690439,0.43987113680305867,4
4. Forest cover dataset,TVAE,0,0.4636467413675577,0.4313748990931915,4
4. Forest cover dataset,TabDDPM,0,0.1111111111111111,0.31426968052735443,10
4. Forest cover dataset,WGAN_GP,0,0.46160288576570774,0.4375871793930206,4
5. Bank Markting,CTABGAN,0,0.7277769762491424,0.37505449064781365,4
5. Bank Markting,CTGAN,0,0.608436950421904,0.41326189126990714,4
5. Bank Markting,CopulaGAN,0,0.6124729713917137,0.38868565220424917,4
5. Bank Markting,ForestDiffusion,0,0.7609953554163833,0.4126595856392318,4
5. Bank Markting,GaussianCopula,0,0.6038670345262533,0.3658734438459546,4
5. Bank Markting,TVAE,0,0.6377641119096121,0.4523544713243751,4
5. Bank Markting,TabDDPM,0,0.25,0.4330127018922193,4
5. Bank Markting,WGAN_GP,0,0.5986680976153228,0.25936365603773875,4
6. Wine dataset,CTABGAN,0,0.506627702764401,0.37306748384161276,4
6. Wine dataset,CTGAN,0,0.4884600177183834,0.37613620555562177,9
6. Wine dataset,CopulaGAN,0,0.5159171848497703,0.3311185778629902,9
6. Wine dataset,ForestDiffusion,0,0.7413926674683837,0.41592684718668804,4
6. Wine dataset,GaussianCopula,0,0.3120669084556046,0.3808121107069738,9
6. Wine dataset,TVAE,0,0.8110636042180024,0.3181180832731271,9
6. Wine dataset,TabDDPM,0,0.3258427207565483,0.4084543970836807,4
6. Wine dataset,WGAN_GP,0,0.5135636904555734,0.23859070968491708,4
7. CDC diabetes dataset,CTABGAN,0,0.48081639585900127,0.3468545848076334,4
7. CDC diabetes dataset,CTGAN,0,0.824464594954789,0.26564379428843876,9
7. CDC diabetes dataset,CopulaGAN,0,0.7381280620645752,0.3085727130738159,9
7. CDC diabetes dataset,ForestDiffusion,0,0.7358306576851612,0.33347376677891455,4
7. CDC diabetes dataset,GaussianCopula,0,0.19703059854355282,0.2960959169847327,9
7. CDC diabetes dataset,TVAE,0,0.866630818246679,0.32780888386895846,9
7. CDC diabetes dataset,TabDDPM,0,0.25,0.4330127018922193,4
7. CDC diabetes dataset,WGAN_GP,0,0.6544186982525546,0.18972455219857268,4
8. Mushroom dataset,CTABGAN,0,0.5965175288041394,0.24223188768417112,4
8. Mushroom dataset,CTGAN,0,0.5898036904498916,0.3382438588682164,9
8. Mushroom dataset,CopulaGAN,0,0.425874725649952,0.44211035336861615,9
8. Mushroom dataset,ForestDiffusion,0,0.8740643163992137,0.21812700248248054,4
8. Mushroom dataset,GaussianCopula,0,0.4949530413496791,0.41455115072896204,9
8. Mushroom dataset,TVAE,0,0.6238393249874938,0.37881101680659823,9
8. Mushroom dataset,TabDDPM,0,0.25,0.4330127018922193,4
8. Mushroom dataset,WGAN_GP,0,0.5520664642022749,0.25186705780360347,4
9. MAGIC Gamma Telescope,CTABGAN,0,0.5922216690312354,0.32059731156107557,10
9. MAGIC Gamma Telescope,CTGAN,0,0.47531845897017666,0.34895639752054464,10
9. MAGIC Gamma Telescope,CopulaGAN,0,0.534653775786049,0.3040695394675931,10
9. MAGIC Gamma Telescope,ForestDiffusion,0,0.7597975720143217,0.36742876017238013,10
9. MAGIC Gamma Telescope,GaussianCopula,0,0.5082180749929617,0.3041798525206986,10
9. MAGIC Gamma Telescope,TVAE,0,0.696247314300217,0.29002029983119554,10
9. MAGIC Gamma Telescope,TabDDPM,0,0.20204322656936974,0.31165530482909154,10
9. MAGIC Gamma Telescope,WGAN_GP,0,0.7519121481126877,0.37186377886325195,10
Eshop_Price_Regression_Hungarian_Mahalanobis,CTGAN,0,0.902740132270142,0.1375462240181784,3
Eshop_Price_Regression_Hungarian_Mahalanobis,CopulaGAN,0,0.8899277667421458,0.11373006431256019,3
Eshop_Price_Regression_Hungarian_Mahalanobis,GaussianCopula,0,0.9413874004119277,0.06648358465483947,3
Eshop_Price_Regression_Hungarian_Mahalanobis,TVAE,0,0.0,0.0,3
Hungarian_Mahalanobis_Four_Models,CTGAN,0,0.11315687847129119,0.09174852172570946,6
Hungarian_Mahalanobis_Four_Models,CopulaGAN,0,0.005032875892116029,0.010065751784232057,6
Hungarian_Mahalanobis_Four_Models,GaussianCopula,0,1.0,0.0,6
Hungarian_Mahalanobis_Four_Models,TVAE,0,0.6594727790462187,0.10243495366864427,6
Hungarian_Mahalanobis_Four_Models_AD,CTGAN,0,0.07063894756501159,0.0693969410659896,6
Hungarian_Mahalanobis_Four_Models_AD,CopulaGAN,0,0.14975202559864847,0.25368676605840873,6
Hungarian_Mahalanobis_Four_Models_AD,GaussianCopula,0,1.0,0.0,6
