Dataset,Generator,LeakageLevel,TaskType,UtilityScore,UtilityStd,Utility_CI_Low,Utility_CI_High,N_Metrics
1. Cancer,CTABGAN,0.0,classification,0.8534899925686222,0.03844262538306072,0.8259897950165271,0.8809901901207173,4
1. Cancer,CTGAN,0.0,classification,0.7038964675556111,0.04208972191513813,0.6737872943124883,0.7340056407987339,4
1. Cancer,CopulaGAN,0.0,classification,0.37296538804801294,0.07790029599774173,0.31723887332749257,0.4286919027685333,4
1. Cancer,ForestDiffusion,0.0,classification,0.968362898094103,0.02533261560431084,0.9502410365748113,0.9864847596133948,4
1. Cancer,GaussianCopula,0.0,classification,0.8200940787089187,0.04558184888203832,0.7874867883234357,0.8527013690944018,4
1. Cancer,TVAE,0.0,classification,0.9230599709384475,0.029939057439159596,0.9016428594405631,0.9444770824363319,4
1. Cancer,TabDDPM,0.0,classification,0.3220413157082996,0.1586658384894548,0.20853861240043753,0.43554401901616163,4
1. Cancer,WGAN_GP,0.0,classification,0.9355254935904923,0.03091233954307604,0.9134121380180964,0.9576388491628882,4
10. Metro interstate,CTABGAN,0.0,regression,0.9399597499014992,2256.6735816517253,-1613.3870714461023,1615.266990945905,4
10. Metro interstate,CTGAN,0.0,regression,0.8773685893883063,16174.791101798373,-11569.87114900083,11571.625886179607,4
10. Metro interstate,CopulaGAN,0.0,regression,0.8979505812048606,42712.71071813457,-30553.93463511855,30555.73053628096,4
10. Metro interstate,GaussianCopula,0.0,regression,0.8414270282303005,15265.801790398236,-10919.655309182315,10921.338163238775,4
10. Metro interstate,TVAE,0.0,regression,0.6740887581642043,7291.496845054484,-5215.348534343753,5216.696711860082,4
10. Metro interstate,WGAN_GP,0.0,regression,0.0006954677530511713,3.1726794333723096,-2.268902675397004,2.2702936109031064,4
11. online shopping,CTABGAN,0.0,regression,0.9920558858425872,1.2629709732329149,0.08858087807760673,1.8955308936075677,4
11. online shopping,CTGAN,0.0,regression,0.9900296390030804,12.52616628153734,-7.970649916052941,9.950709194059101,4
11. online shopping,CopulaGAN,0.0,regression,0.987674669512182,24.518737167804463,-16.551973289589736,18.527322628614098,4
11. online shopping,GaussianCopula,0.0,regression,0.9969080151759588,2.8573337030286132,-1.047105381998796,3.0409214123507136,4
11. online shopping,TVAE,0.0,regression,0.9879809613176838,8.510750747388842,-5.100243360972351,7.0762052836077185,4
11. online shopping,WGAN_GP,0.0,regression,0.8741942193949968,1227.2963873920767,-877.080752196068,878.829140634858,4
12. Air Quality,CTABGAN,0.0,regression,0.6482656639467583,0.19105800986486693,0.5115909971455374,0.7849403307479793,4
12. Air Quality,CTGAN,0.0,regression,0.5553341002968986,0.29890955157296867,0.34150708831329757,0.7691611122804995,4
12. Air Quality,CopulaGAN,0.0,regression,0.5873713302132592,0.29532981273155534,0.37610510913149786,0.7986375512950205,4
12. Air Quality,GaussianCopula,0.0,regression,0.9745403071981792,0.05396201005552733,0.9359382106439454,1.0131424037524128,4
12. Air Quality,TVAE,0.0,regression,0.7681380798483921,0.8172923430914873,0.1834823580065048,1.3527938016902794,4
12. Air Quality,WGAN_GP,0.0,regression,0.9529431406948723,0.057217887760159,0.9120119295395769,0.9938743518501677,4
13. Concrete Compressive Strength,CTABGAN,0.0,regression,0.641878888623313,14.846963229585441,-9.978998790615579,11.262756567862207,4
13. Concrete Compressive Strength,CTGAN,0.0,regression,0.5215253873014836,20.17272368257803,-13.90917181162525,14.952222586228217,4
13. Concrete Compressive Strength,CopulaGAN,0.0,regression,0.4338138975438913,24.216404976908684,-16.889558640898144,17.75718643598593,4
13. Concrete Compressive Strength,ForestDiffusion,0.0,regression,0.8886612532162119,2.6094246241007477,-0.9780086722902863,2.7553311787227104,4
13. Concrete Compressive Strength,GaussianCopula,0.0,regression,0.8339484754188274,9.280895510754883,-5.805204221955861,7.473101172793515,4
13. Concrete Compressive Strength,TVAE,0.0,regression,0.795860714678542,9.238781653585503,-5.813165544132223,7.404886973489308,4
13. Concrete Compressive Strength,TabDDPM,0.0,regression,0.8548526956922696,3.4738440546247222,-1.6301856391100613,3.339891030494601,4
13. Concrete Compressive Strength,WGAN_GP,0.0,regression,0.7885548228664743,12.037380218961246,-7.82246824677489,9.399577892507839,4
14. Energy Efficiency,CTABGAN,0.0,regression,0.24709343192858307,7.380834032752985,-5.032837165355035,5.5270240292122015,4
14. Energy Efficiency,CTGAN,0.0,regression,0.5328297357154795,6.440003427113639,-4.074071190458839,5.139730661889797,4
14. Energy Efficiency,CopulaGAN,0.0,regression,0.45701791954489657,4.25412737093215,-2.5862014742054376,3.500237313295231,4
14. Energy Efficiency,ForestDiffusion,0.0,regression,0.9348685586009903,0.3760859491486349,0.6658328776323346,1.203904239569646,4
14. Energy Efficiency,GaussianCopula,0.0,regression,0.7755206716808587,1.6544904703373378,-0.4080305121668528,1.9590718555285702,4
14. Energy Efficiency,TVAE,0.0,regression,0.8542851796949327,2.373110657390073,-0.8433359177435855,2.551906277133451,4
14. Energy Efficiency,TabDDPM,0.0,regression,0.798252800911072,1.7198518184823153,-0.43205507471685733,2.0285606765390014,4
14. Energy Efficiency,WGAN_GP,0.0,regression,0.8750543193108299,1.292223250522566,-0.04934650702918841,1.7994551456508483,4
15. Real Estate Valuation,CTABGAN,0.0,regression,0.8455145362564065,11.54998048806212,-7.416843769909409,9.107872842422221,4
15. Real Estate Valuation,CTGAN,0.0,regression,0.37023842756652836,32.57054961046677,-22.929329168116716,23.66980602324977,4
15. Real Estate Valuation,CopulaGAN,0.0,regression,0.599220162761617,20.125063814164932,-13.797383220157311,14.995823545680544,4
15. Real Estate Valuation,ForestDiffusion,0.0,regression,0.9384500804549697,4.580880970191565,-2.3385147570821334,4.215414917992073,4
15. Real Estate Valuation,GaussianCopula,0.0,regression,0.9032781434397767,8.172861586026713,-4.94323483381125,6.749791120690803,4
15. Real Estate Valuation,TVAE,0.0,regression,0.8936391280605831,8.457956248277423,-5.156818284691902,6.944096540813068,4
15. Real Estate Valuation,TabDDPM,0.0,regression,0.8339522991133603,6.316081918704126,-3.6843005202197205,5.352205118446442,4
15. Real Estate Valuation,WGAN_GP,0.0,regression,0.8844172348207966,7.705005832982648,-4.627411898483784,6.396246368125377,4
2. Alzhimers,CTABGAN,0.0,classification,0.7990976963629703,0.05289148846862079,0.7612614048189398,0.8369339879070009,4
2. Alzhimers,CTGAN,0.0,classification,0.38370723594493444,0.06219470262250041,0.33921582590803767,0.4281986459818312,4
2. Alzhimers,CopulaGAN,0.0,classification,0.26351881783747594,0.06966687850845327,0.21368213517780324,0.31335550049714866,4
2. Alzhimers,ForestDiffusion,0.0,classification,0.9751077502830858,0.023795511405795593,0.9580854668674257,0.992130033698746,4
2. Alzhimers,GaussianCopula,0.0,classification,0.7739085861092853,0.04226289620227801,0.7436755314439173,0.8041416407746532,4
2. Alzhimers,TVAE,0.0,classification,0.8483982754420081,0.03479082426691901,0.8235104190376409,0.8732861318463753,4
2. Alzhimers,TabDDPM,0.0,classification,0.2297742498486814,0.07863603410045154,0.17352141979538876,0.286027079901974,4
2. Alzhimers,WGAN_GP,0.0,classification,0.8661841855978216,0.045466110604545716,0.8336596893884302,0.8987086818072131,4
3. Adult,CTABGAN,0.0,classification,0.616553426309336,0.06152407746478975,0.572541752610337,0.6605651000083349,4
3. Adult,CTGAN,0.0,classification,0.729799494812507,0.02031062857282475,0.7152701463979728,0.7443288432270413,4
3. Adult,CopulaGAN,0.0,classification,0.7150710360177085,0.023654129045356503,0.6981498914499733,0.7319921805854437,4
3. Adult,ForestDiffusion,0.0,classification,0.9082730575731772,0.02641868554991634,0.8893742684179102,0.9271718467284442,4
3. Adult,GaussianCopula,0.0,classification,0.6931861179576021,0.029006205353102506,0.6724363286417443,0.7139359072734599,4
3. Adult,TVAE,0.0,classification,0.74461002804816,0.02089863062951225,0.729660048301639,0.759560007794681,4
3. Adult,TabDDPM,0.0,classification,0.44833910727889553,0.10877300239573935,0.37052758883001713,0.5261506257277739,4
3. Adult,WGAN_GP,0.0,classification,0.39506646980494936,0.03657129269014991,0.3689049430181297,0.421227996591769,4
4. Forest cover dataset,CTABGAN,0.0,classification,0.5874502001964688,0.03197948701612081,0.5645734533095222,0.6103269470834153,4
4. Forest cover dataset,CTGAN,0.0,classification,0.3533646087269,0.04654554816639092,0.32006792940305934,0.3866612880507407,4
4. Forest cover dataset,CopulaGAN,0.0,classification,0.18950929843950629,0.048210061460764564,0.15502189803542604,0.22399669884358653,4
4. Forest cover dataset,GaussianCopula,0.0,classification,0.8447564648154063,0.03291837168390874,0.8212080802974312,0.8683048493333815,4
4. Forest cover dataset,TVAE,0.0,classification,0.6829180441890268,0.03935170475837845,0.6547675304277065,0.7110685579503471,4
4. Forest cover dataset,WGAN_GP,0.0,classification,0.7181879269337887,0.031220694794125398,0.6958539873030569,0.7405218665645206,4
5. Bank Markting,CTABGAN,0.0,classification,0.8131613783639727,0.010818302447171033,0.8054224309973184,0.8209003257306271,4
5. Bank Markting,CTGAN,0.0,classification,0.7136730231400678,0.008985620842790325,0.7072450972155849,0.7201009490645506,4
5. Bank Markting,CopulaGAN,0.0,classification,0.8160005019518308,0.005942705116015438,0.811749346806837,0.8202516570968247,4
5. Bank Markting,ForestDiffusion,0.0,classification,0.9165600599440646,0.007186683862117313,0.911419016012144,0.9217011038759853,4
5. Bank Markting,GaussianCopula,0.0,classification,0.6853652922621989,0.007623437390785392,0.6799118136773308,0.690818770847067,4
5. Bank Markting,TVAE,0.0,classification,0.7472178334005812,0.0063479750474223625,0.742676765611366,0.7517589011897965,4
5. Bank Markting,TabDDPM,0.0,classification,0.6399523407791956,0.015315902191266854,0.628996004375231,0.6509086771831603,4
5. Bank Markting,WGAN_GP,0.0,classification,0.6925360591872785,0.008688106103285742,0.6863209624863336,0.6987511558882233,4
6. Wine dataset,CTABGAN,0.0,classification,0.3570438124691106,0.03215475504521438,0.3340416863871531,0.3800459385510681,4
6. Wine dataset,CTGAN,0.0,classification,0.1495469103212902,0.031857501542618634,0.12675742658524375,0.17233639405733664,4
6. Wine dataset,CopulaGAN,0.0,classification,0.21643070861539931,0.031236613848973794,0.19408538117884488,0.23877603605195374,4
6. Wine dataset,ForestDiffusion,0.0,classification,0.7968726495411572,0.052866883662447614,0.7590539592151432,0.8346913398671713,4
6. Wine dataset,GaussianCopula,0.0,classification,0.3448321851872689,0.031246998190314623,0.32247942924042217,0.3671849411341156,4
6. Wine dataset,TVAE,0.0,classification,0.5622602659688032,0.0326230078738377,0.5389231719921413,0.585597359945465,4
6. Wine dataset,TabDDPM,0.0,classification,0.3433904189650256,0.03284496836170919,0.3198945440205084,0.3668862939095428,4
6. Wine dataset,WGAN_GP,0.0,classification,0.46678747431477996,0.03430278411948667,0.442248740800278,0.49132620782928194,4
7. CDC diabetes dataset,CTABGAN,0.0,classification,0.6699741483115255,0.009829364973498043,0.6629426441962537,0.6770056524267972,4
7. CDC diabetes dataset,CTGAN,0.0,classification,0.5401189224921819,0.013235527928572636,0.5306507961840758,0.5495870488002879,4
7. CDC diabetes dataset,CopulaGAN,0.0,classification,0.6676408397580778,0.014100821981227227,0.6575537193736947,0.6777279601424608,4
7. CDC diabetes dataset,ForestDiffusion,0.0,classification,0.6126907201469604,0.013443860053655122,0.6030735620144374,0.6223078782794833,4
7. CDC diabetes dataset,GaussianCopula,0.0,classification,0.399911061687439,0.0282556380059205,0.37969819590679715,0.42012392746808086,4
7. CDC diabetes dataset,TVAE,0.0,classification,0.6675373547479668,0.013676091389148158,0.6577540683258121,0.6773206411701216,4
7. CDC diabetes dataset,TabDDPM,0.0,classification,0.3112687776975252,0.02298411272471904,0.294826933931883,0.32771062146316743,4
7. CDC diabetes dataset,WGAN_GP,0.0,classification,0.6089189294004369,0.021015430540307183,0.5938853960311099,0.6239524627697639,4
8. Mushroom dataset,CTABGAN,0.0,classification,0.377432168857154,0.01875440132148162,0.3640160783541553,0.39084825936015277,4
8. Mushroom dataset,CTGAN,0.0,classification,0.2212644916550226,0.023545270371092317,0.20442121989169906,0.23810776341834614,4
8. Mushroom dataset,CopulaGAN,0.0,classification,0.3997825632837796,0.014410870708953378,0.3894736474008247,0.4100914791667345,4
8. Mushroom dataset,ForestDiffusion,0.0,classification,0.6854540568620545,0.010054108287104397,0.6782617810653198,0.6926463326587893,4
8. Mushroom dataset,GaussianCopula,0.0,classification,0.3363148782492614,0.019363414206874534,0.32246312617286094,0.3501666303256618,4
8. Mushroom dataset,TVAE,0.0,classification,0.36667292309357585,0.010215520834009024,0.35936517971669973,0.373980666470452,4
8. Mushroom dataset,TabDDPM,0.0,classification,0.17176280356445117,0.027853388791479264,0.15183768953728827,0.19168791759161408,4
8. Mushroom dataset,WGAN_GP,0.0,classification,0.5100138975778759,0.011469947592906881,0.5018087913559656,0.5182190037997861,4
9. MAGIC Gamma Telescope,CTABGAN,0.0,classification,0.7501904381021873,0.007792998700469769,0.7446156626634481,0.7557652135409265,4
9. MAGIC Gamma Telescope,CTGAN,0.0,classification,0.5406749967363913,0.010097630652787848,0.5334515869148,0.5478984065579826,4
9. MAGIC Gamma Telescope,CopulaGAN,0.0,classification,0.579875769107815,0.011078449859589445,0.5719507234931122,0.5878008147225179,4
