DatasetKey,Generator,Classifier,Metric,Mean,Std
Cancer,CTABGAN,Logistic Regression,Accuracy,0.912280701754386,0.0188136934995852
Cancer,CTABGAN,Logistic Regression,Precision,0.9284494994169916,0.0416134312998981
Cancer,CTABGAN,Logistic Regression,Recall,0.8285714285714285,0.0561420291550076
Cancer,CTABGAN,Logistic Regression,F1,0.8737410603599367,0.0285457022292561
Cancer,CTGAN,Naive Bayes,Accuracy,0.8517543859649122,0.0294742063445814
Cancer,CTGAN,Naive Bayes,Precision,0.7650298077911399,0.0484916012186133
Cancer,CTGAN,Naive Bayes,Recall,0.8690476190476192,0.0415815457061261
Cancer,CTGAN,Naive Bayes,F1,0.8124915287949535,0.0340675772849135
Cancer,CopulaGAN,AdaBoost,Accuracy,0.4815789473684211,0.1002804623522366
Cancer,CopulaGAN,AdaBoost,Precision,0.40156576742601,0.066873637535593
Cancer,CopulaGAN,AdaBoost,Recall,0.7595238095238095,0.1252887820659321
Cancer,CopulaGAN,AdaBoost,F1,0.519801058330466,0.0690169813399851
Cancer,ForestDiffusion,Logistic Regression,Accuracy,0.9824561403508772,0.01109571108831
Cancer,ForestDiffusion,Logistic Regression,Precision,1.0,0.0
Cancer,ForestDiffusion,Logistic Regression,Recall,0.9523809523809524,0.0301169300968416
Cancer,ForestDiffusion,Logistic Regression,F1,0.9753647652942392,0.0158837119792972
Cancer,GaussianCopula,AdaBoost,Accuracy,0.9096491228070176,0.0241984460072521
Cancer,GaussianCopula,AdaBoost,Precision,0.956769999865975,0.0416563147330378
Cancer,GaussianCopula,AdaBoost,Recall,0.7928571428571429,0.064812655184839
Cancer,GaussianCopula,AdaBoost,F1,0.8650285739692105,0.0392377397197605
Cancer,TVAE,Logistic Regression,Accuracy,0.9508771929824562,0.0162695061324486
Cancer,TVAE,Logistic Regression,Precision,0.9200017570368066,0.0436425054667451
Cancer,TVAE,Logistic Regression,Recall,0.9523809523809524,0.026082026547865
Cancer,TVAE,Logistic Regression,F1,0.9349537812232788,0.0205244350291098
Cancer,TabDDPM,Naive Bayes,Accuracy,0.4771929824561403,0.1403070106886471
Cancer,TabDDPM,Naive Bayes,Precision,0.4660965354317902,0.1892559003672637
Cancer,TabDDPM,Naive Bayes,Recall,0.9238095238095236,0.1895214165917372
Cancer,TabDDPM,Naive Bayes,F1,0.5679480126030505,0.0566252069803598
Cancer,WGAN_GP,Logistic Regression,Accuracy,0.95,0.0171221239438097
Cancer,WGAN_GP,Logistic Regression,Precision,0.964443182690936,0.0227376889871995
Cancer,WGAN_GP,Logistic Regression,Recall,0.8976190476190476,0.0353954017793297
Cancer,WGAN_GP,Logistic Regression,F1,0.929480250932156,0.0247071523491149
Mushroom,CTABGAN,SVM-RBF,Accuracy,0.5837023472615284,0.007862823487773
Mushroom,CTABGAN,SVM-RBF,Precision,0.5760164223863615,0.0044939167656935
Mushroom,CTABGAN,SVM-RBF,Recall,0.9467226638668066,0.0153656756770029
Mushroom,CTABGAN,SVM-RBF,F1,0.7162014873579946,0.0062092650869356
Mushroom,CTGAN,Gradient Boosting,Accuracy,0.5635508573331114,0.0165205454066399
Mushroom,CTGAN,Gradient Boosting,Precision,0.6017372641286849,0.0157243402122636
Mushroom,CTGAN,Gradient Boosting,Recall,0.6337783110844459,0.0430303466671783
Mushroom,CTGAN,Gradient Boosting,F1,0.6165143642116927,0.0213596725869515
Mushroom,CopulaGAN,Gradient Boosting,Accuracy,0.5640835691693025,0.0061779504776545
Mushroom,CopulaGAN,Gradient Boosting,Precision,0.5639986847334606,0.0037331937019209
Mushroom,CopulaGAN,Gradient Boosting,Recall,0.9455677216139192,0.0183383176646547
Mushroom,CopulaGAN,Gradient Boosting,F1,0.7064806499324027,0.0053636901012915
Mushroom,ForestDiffusion,Extra Trees,Accuracy,0.9139836857000164,0.0051421127122326
Mushroom,ForestDiffusion,Extra Trees,Precision,0.912787929638638,0.0043353238329987
Mushroom,ForestDiffusion,Extra Trees,Recall,0.9342882855857206,0.0088636430651708
Mushroom,ForestDiffusion,Extra Trees,F1,0.9233865186622044,0.0048117683311066
Mushroom,GaussianCopula,Gradient Boosting,Accuracy,0.5854919260862327,0.0152006507137509
Mushroom,GaussianCopula,Gradient Boosting,Precision,0.6050453837842082,0.0109441124709429
Mushroom,GaussianCopula,Gradient Boosting,Recall,0.7290385480725964,0.0306653238437237
Mushroom,GaussianCopula,Gradient Boosting,F1,0.6610101093010528,0.0163679848829545
Mushroom,TVAE,Extra Trees,Accuracy,0.6247128350258032,0.0062767012376464
Mushroom,TVAE,Extra Trees,Precision,0.6548570450616498,0.0054537049985509
Mushroom,TVAE,Extra Trees,Recall,0.684640767961602,0.0151174657483187
Mushroom,TVAE,Extra Trees,F1,0.6693256794674678,0.0077194290046658
Mushroom,TabDDPM,Naive Bayes,Accuracy,0.5128849675378724,0.0129711738548142
Mushroom,TabDDPM,Naive Bayes,Precision,0.5421369235868775,0.0073973714208566
Mushroom,TabDDPM,Naive Bayes,Recall,0.7862906854657268,0.0609699791444196
Mushroom,TabDDPM,Naive Bayes,F1,0.6408896636018478,0.0213684570439292
Mushroom,WGAN_GP,MLP,Accuracy,0.7105626768769768,0.0113747135435117
Mushroom,WGAN_GP,MLP,Precision,0.7092908035127825,0.0119772335008588
Mushroom,WGAN_GP,MLP,Recall,0.8112494375281237,0.0096206363669041
Mushroom,WGAN_GP,MLP,F1,0.7567736807782725,0.0081287581617207
