Dataset,DatasetKey,DatasetLabel,Generator,Analysis,UtilityMetric,BestClassifier,F1,F1_Std,F1_CI_Low,F1_CI_High,N_Classifiers,Accuracy,Accuracy_SeedStd,Precision,Precision_SeedStd,Recall,Recall_SeedStd,F1_SeedStd,NNDR,Quality,NNDR_Norm,Quality_Norm,F1_Norm,Overall,Rank
1. Cancer,Cancer,Cancer,CTABGAN,Best_Classifier,F1,Logistic Regression,0.8737410603599367,0.0285457022292561,0.8533206951339516,0.8941614255859218,1,0.912280701754386,0.0188136934995852,0.9284494994169916,0.0416134312998981,0.8285714285714285,0.0561420291550076,0.0285457022292561,4.696354,0.851563,0.17431776982444094,0.851563,0.8737410603599367,0.6332072767281258,5
1. Cancer,Cancer,Cancer,CTGAN,Best_Classifier,F1,Naive Bayes,0.8124915287949535,0.0340675772849135,0.788121052113899,0.8368620054760079,1,0.8517543859649122,0.0294742063445814,0.7650298077911399,0.0484916012186133,0.8690476190476192,0.0415815457061261,0.0340675772849135,6.264304,0.765081,0.2335528602394141,0.765081,0.8124915287949535,0.6037084630114559,6
1. Cancer,Cancer,Cancer,CopulaGAN,Best_Classifier,F1,AdaBoost,0.519801058330466,0.0690169813399851,0.4704292840984392,0.5691728325624927,1,0.4815789473684211,0.1002804623522366,0.40156576742601,0.066873637535593,0.7595238095238095,0.1252887820659321,0.0690169813399851,8.754585,0.721867,0.32763240371573016,0.721867,0.519801058330466,0.5231001540153987,8
1. Cancer,Cancer,Cancer,ForestDiffusion,Best_Classifier,F1,Logistic Regression,0.9753647652942392,0.0158837119792972,0.9640022422371193,0.9867272883513591,1,0.9824561403508772,0.01109571108831,1.0,0.0,0.9523809523809524,0.0301169300968416,0.0158837119792972,1.873807,0.947885,0.06768565352895237,0.947885,0.9753647652942392,0.6636451396077305,1
1. Cancer,Cancer,Cancer,GaussianCopula,Best_Classifier,F1,AdaBoost,0.8650285739692105,0.0392377397197605,0.8369595858853068,0.8930975620531142,1,0.9096491228070176,0.0241984460072521,0.956769999865975,0.0416563147330378,0.7928571428571429,0.064812655184839,0.0392377397197605,2.722936,0.943748,0.09976463123166977,0.943748,0.8650285739692105,0.6361804017336268,4
1. Cancer,Cancer,Cancer,TVAE,Best_Classifier,F1,Logistic Regression,0.9349537812232788,0.0205244350291098,0.920271484883696,0.9496360775628615,1,0.9508771929824562,0.0162695061324486,0.9200017570368066,0.0436425054667451,0.9523809523809524,0.026082026547865,0.0205244350291098,2.786137,0.896421,0.10215228195351468,0.896421,0.9349537812232788,0.6445090210589312,3
1. Cancer,Cancer,Cancer,TabDDPM,Best_Classifier,F1,Naive Bayes,0.5679480126030505,0.0566252069803598,0.527440779736631,0.60845524546947,1,0.4771929824561403,0.1403070106886471,0.4660965354317902,0.1892559003672637,0.9238095238095236,0.1895214165917372,0.0566252069803598,17.765025,0.401382,0.6680349854808955,0.401382,0.5679480126030505,0.5457883326946487,7
1. Cancer,Cancer,Cancer,WGAN_GP,Best_Classifier,F1,Logistic Regression,0.929480250932156,0.0247071523491149,0.9118058188719107,0.9471546829924014,1,0.95,0.0171221239438097,0.964443182690936,0.0227376889871995,0.8976190476190476,0.0353954017793297,0.0247071523491149,2.333268,0.949012,0.08504348628966156,0.949012,0.929480250932156,0.6545119124072726,2
8. Mushroom dataset,Mushroom,Mushroom,CTABGAN,Best_Classifier,F1,SVM-RBF,0.7162014873579946,0.0062092650869356,0.7117596466969429,0.7206433280190463,1,0.5837023472615284,0.007862823487773,0.5760164223863615,0.0044939167656935,0.9467226638668066,0.0153656756770029,0.0062092650869356,10.347531,0.921772,0.38781181016119703,0.921772,0.7162014873579946,0.6752617658397305,3
8. Mushroom dataset,Mushroom,Mushroom,CTGAN,Best_Classifier,F1,Gradient Boosting,0.6165143642116927,0.0213596725869515,0.6012345749169671,0.6317941535064183,1,0.5635508573331114,0.0165205454066399,0.6017372641286849,0.0157243402122636,0.6337783110844459,0.0430303466671783,0.0213596725869515,0.159398,0.878921,0.0029175345690086634,0.878921,0.6165143642116927,0.4994509662602338,8
8. Mushroom dataset,Mushroom,Mushroom,CopulaGAN,Best_Classifier,F1,Gradient Boosting,0.7064806499324027,0.0053636901012915,0.7026436971768625,0.7103176026879429,1,0.5640835691693025,0.0061779504776545,0.5639986847334606,0.0037331937019209,0.9455677216139192,0.0183383176646547,0.0053636901012915,0.168347,0.892834,0.003255616028317694,0.892834,0.7064806499324027,0.5341900886535734,5
8. Mushroom dataset,Mushroom,Mushroom,ForestDiffusion,Best_Classifier,F1,Extra Trees,0.9233865186622044,0.0048117683311066,0.9199443869565314,0.9268286503678775,1,0.9139836857000164,0.0051421127122326,0.912787929638638,0.0043353238329987,0.9342882855857206,0.0088636430651708,0.0048117683311066,13.218077,0.573974,0.4962572655968548,0.573974,0.9233865186622044,0.6645392614196864,4
8. Mushroom dataset,Mushroom,Mushroom,GaussianCopula,Best_Classifier,F1,Gradient Boosting,0.6610101093010528,0.0163679848829545,0.6493011582779185,0.672719060324187,1,0.5854919260862327,0.0152006507137509,0.6050453837842082,0.0109441124709429,0.7290385480725964,0.0306653238437237,0.0163679848829545,0.132641,0.909833,0.001906690272804424,0.909833,0.6610101093010528,0.5242499331912858,7
8. Mushroom dataset,Mushroom,Mushroom,TVAE,Best_Classifier,F1,Extra Trees,0.6693256794674678,0.0077194290046658,0.6638035326186934,0.6748478263162422,1,0.6247128350258032,0.0062767012376464,0.6548570450616498,0.0054537049985509,0.684640767961602,0.0151174657483187,0.0077194290046658,0.082171,0.914558,0.0,0.914558,0.6693256794674678,0.5279612264891559,6
8. Mushroom dataset,Mushroom,Mushroom,TabDDPM,Best_Classifier,F1,Naive Bayes,0.6408896636018478,0.0213684570439292,0.6256035902851579,0.6561757369185378,1,0.5128849675378724,0.0129711738548142,0.5421369235868775,0.0073973714208566,0.7862906854657268,0.0609699791444196,0.0213684570439292,26.552123,0.452807,1.0,0.452807,0.6408896636018478,0.6978988878672826,1
8. Mushroom dataset,Mushroom,Mushroom,WGAN_GP,Best_Classifier,F1,MLP,0.7567736807782725,0.0081287581617207,0.7509587174901765,0.7625886440663684,1,0.7105626768769768,0.0113747135435117,0.7092908035127825,0.0119772335008588,0.8112494375281237,0.0096206363669041,0.0081287581617207,19.131607,0.600454,0.7196626574917854,0.600454,0.7567736807782725,0.6922967794233527,2
