Dataset,DatasetKey,DatasetLabel,Generator,Analysis,UtilityMetric,F1,F1_Std,F1_Std_Classifiers,F1_CI_Low,F1_CI_High,N_Classifiers,BestClassifier,F1_SeedStd,NNDR,Quality,Accuracy,Accuracy_Std_Classifiers,Accuracy_SeedStd,Precision,Precision_Std_Classifiers,Precision_SeedStd,Recall,Recall_Std_Classifiers,Recall_SeedStd,NNDR_Norm,Quality_Norm,F1_Norm,Overall,Rank
1. Cancer,Cancer,Cancer,CTABGAN,Classifier_Independent,F1,0.8320532609793989,0.0324055255119192,0.05872640143422237,0.8088717445122662,0.8552347774465316,20,ALL,0.0324055255119192,4.696354,0.851563,0.882719298245614,0.04456142168516655,0.02284904814275749,0.8898225378392196,0.07381892018303503,0.04829054649088722,0.785,0.04726749933744102,0.05022538138667879,0.17431776982444094,0.851563,0.8320532609793989,0.6193113436012799,4
1. Cancer,Cancer,Cancer,CTGAN,Classifier_Independent,F1,0.6961543696878353,0.034449907074250864,0.06479974303541194,0.6715103907516133,0.7207983486240572,20,ALL,0.034449907074250864,6.264304,0.765081,0.7193859649122807,0.06556712194534953,0.036438680388859813,0.5886308801938436,0.07423477581707229,0.03808460708876895,0.8654761904761905,0.07394280149108441,0.05938569310867274,0.2335528602394141,0.765081,0.6961543696878353,0.5649294099757498,6
1. Cancer,Cancer,Cancer,CopulaGAN,Classifier_Independent,F1,0.4140910830111418,0.06888594545441519,0.05789880636922341,0.36481304620478977,0.4633691198174938,20,ALL,0.06888594545441519,8.754585,0.721867,0.3592982456140351,0.08705491706289611,0.06527766646913409,0.3161055432326061,0.04806915090522291,0.05211953659495189,0.6230952380952381,0.11833899372754637,0.12531803547246562,0.32763240371573016,0.721867,0.4140910830111418,0.48786349557562403,7
1. Cancer,Cancer,Cancer,ForestDiffusion,Classifier_Independent,F1,0.9464093915118676,0.02428338220846346,0.029277457183659848,0.9290381063482889,0.9637806766754464,20,ALL,0.02428338220846346,1.873807,0.947885,0.9616666666666667,0.02123669154844354,0.016791725843263612,0.9702325073509843,0.033227270652803065,0.01804762704631318,0.925,0.026586210528866935,0.04220772731920294,0.06768565352895237,0.947885,0.9464093915118676,0.65399334834694,1
1. Cancer,Cancer,Cancer,GaussianCopula,Classifier_Independent,F1,0.7933233948367089,0.04693691571634831,0.08095508465586286,0.7597467480332265,0.8269000416401913,20,ALL,0.04693691571634831,2.722936,0.943748,0.860438596491228,0.06342465721312637,0.03044205677208331,0.8965067541305602,0.12700295290385757,0.04032484915563664,0.7183333333333334,0.058760011830606154,0.06462357388408485,0.09976463123166977,0.943748,0.7933233948367089,0.6122786753561262,5
1. Cancer,Cancer,Cancer,TVAE,Classifier_Independent,F1,0.9035654536882755,0.02559625107258006,0.02435055682905491,0.8852549987160938,0.9218759086604571,20,ALL,0.02559625107258006,2.786137,0.896421,0.9264035087719298,0.019346242671540833,0.02036077455870763,0.8812626985408452,0.040287398073885906,0.04206628621522019,0.9309523809523809,0.03565157401407893,0.03173291791013032,0.10215228195351468,0.896421,0.9035654536882755,0.63404624521393,3
1. Cancer,Cancer,Cancer,TabDDPM,Classifier_Independent,F1,0.2830123713160595,0.14421994923137002,0.16923639973565138,0.17984363465211117,0.3861811079800078,20,ALL,0.14421994923137002,17.765025,0.401382,0.509561403508772,0.10865231113647339,0.08507037469192232,0.2927314010559453,0.1312683699435196,0.1618303347495706,0.39595238095238094,0.27862990196667803,0.24354269528495626,0.6680349854808955,0.401382,0.2830123713160595,0.450809785598985,8
1. Cancer,Cancer,Cancer,WGAN_GP,Classifier_Independent,F1,0.9122967053491415,0.03097830906460069,0.018819606411589168,0.8901361580239382,0.9344572526743449,20,ALL,0.03097830906460069,2.333268,0.949012,0.9393859649122807,0.01308815002794046,0.02040234222359416,0.9705053712879158,0.02439764739155798,0.02279985953108644,0.8623809523809524,0.02034433268845379,0.04946884735302271,0.08504348628966156,0.949012,0.9122967053491415,0.6487840638796011,2
8. Mushroom dataset,Mushroom,Mushroom,CTABGAN,Classifier_Independent,F1,0.6597317759426586,0.016379345534064803,0.0533684122723224,0.6480146979992961,0.6714488538860212,20,ALL,0.016379345534064803,10.347531,0.921772,0.5512443815548527,0.02515893861779675,0.01356548749142893,0.5671325452315954,0.008961641612041002,0.00960127207326722,0.8035533223338833,0.1407706944729842,0.03547150018716537,0.38781181016119703,0.921772,0.6597317759426586,0.6564385287012853,3
8. Mushroom dataset,Mushroom,Mushroom,CTGAN,Classifier_Independent,F1,0.5694449001814832,0.02104028217436438,0.038924426677061766,0.5543935890241083,0.5844962113388581,20,ALL,0.02104028217436438,0.159398,0.878921,0.5428150491093724,0.02188327598659062,0.01716168581389458,0.5953656735307111,0.01788394049501941,0.01941787656581464,0.5496580170991451,0.060475512802049616,0.03656123693029547,0.0029175345690086634,0.878921,0.5694449001814832,0.4837611449168306,8
