Dataset,DatasetKey,Generator,Metric,Mean,Std_AcrossClassifiers,SeedStd,N_Classifiers
1. Cancer,Cancer,CTABGAN,Accuracy,0.882719298245614,0.04456142168516655,0.02284904814275749,20
1. Cancer,Cancer,CTABGAN,F1,0.8320532609793989,0.05872640143422237,0.0324055255119192,20
1. Cancer,Cancer,CTABGAN,Precision,0.8898225378392196,0.07381892018303503,0.04829054649088722,20
1. Cancer,Cancer,CTABGAN,Recall,0.785,0.04726749933744102,0.05022538138667879,20
1. Cancer,Cancer,CTGAN,Accuracy,0.7193859649122807,0.06556712194534953,0.036438680388859813,20
1. Cancer,Cancer,CTGAN,F1,0.6961543696878353,0.06479974303541194,0.034449907074250864,20
1. Cancer,Cancer,CTGAN,Precision,0.5886308801938436,0.07423477581707229,0.03808460708876895,20
1. Cancer,Cancer,CTGAN,Recall,0.8654761904761905,0.07394280149108441,0.05938569310867274,20
1. Cancer,Cancer,CopulaGAN,Accuracy,0.3592982456140351,0.08705491706289611,0.06527766646913409,20
1. Cancer,Cancer,CopulaGAN,F1,0.4140910830111418,0.05789880636922341,0.06888594545441519,20
1. Cancer,Cancer,CopulaGAN,Precision,0.3161055432326061,0.04806915090522291,0.05211953659495189,20
1. Cancer,Cancer,CopulaGAN,Recall,0.6230952380952381,0.11833899372754637,0.12531803547246562,20
1. Cancer,Cancer,ForestDiffusion,Accuracy,0.9616666666666667,0.02123669154844354,0.016791725843263612,20
1. Cancer,Cancer,ForestDiffusion,F1,0.9464093915118676,0.029277457183659848,0.02428338220846346,20
1. Cancer,Cancer,ForestDiffusion,Precision,0.9702325073509843,0.033227270652803065,0.01804762704631318,20
1. Cancer,Cancer,ForestDiffusion,Recall,0.925,0.026586210528866935,0.04220772731920294,20
1. Cancer,Cancer,GaussianCopula,Accuracy,0.860438596491228,0.06342465721312637,0.03044205677208331,20
1. Cancer,Cancer,GaussianCopula,F1,0.7933233948367089,0.08095508465586286,0.04693691571634831,20
1. Cancer,Cancer,GaussianCopula,Precision,0.8965067541305602,0.12700295290385757,0.04032484915563664,20
1. Cancer,Cancer,GaussianCopula,Recall,0.7183333333333334,0.058760011830606154,0.06462357388408485,20
1. Cancer,Cancer,TVAE,Accuracy,0.9264035087719298,0.019346242671540833,0.02036077455870763,20
1. Cancer,Cancer,TVAE,F1,0.9035654536882755,0.02435055682905491,0.02559625107258006,20
1. Cancer,Cancer,TVAE,Precision,0.8812626985408452,0.040287398073885906,0.04206628621522019,20
1. Cancer,Cancer,TVAE,Recall,0.9309523809523809,0.03565157401407893,0.03173291791013032,20
1. Cancer,Cancer,TabDDPM,Accuracy,0.509561403508772,0.10865231113647339,0.08507037469192232,20
1. Cancer,Cancer,TabDDPM,F1,0.2830123713160595,0.16923639973565138,0.14421994923137002,20
1. Cancer,Cancer,TabDDPM,Precision,0.2927314010559453,0.1312683699435196,0.1618303347495706,20
1. Cancer,Cancer,TabDDPM,Recall,0.39595238095238094,0.27862990196667803,0.24354269528495626,20
1. Cancer,Cancer,WGAN_GP,Accuracy,0.9393859649122807,0.01308815002794046,0.02040234222359416,20
1. Cancer,Cancer,WGAN_GP,F1,0.9122967053491415,0.018819606411589168,0.03097830906460069,20
1. Cancer,Cancer,WGAN_GP,Precision,0.9705053712879158,0.02439764739155798,0.02279985953108644,20
1. Cancer,Cancer,WGAN_GP,Recall,0.8623809523809524,0.02034433268845379,0.04946884735302271,20
8. Mushroom dataset,Mushroom,CTABGAN,Accuracy,0.5512443815548527,0.02515893861779675,0.01356548749142893,20
8. Mushroom dataset,Mushroom,CTABGAN,F1,0.6597317759426586,0.0533684122723224,0.016379345534064803,20
8. Mushroom dataset,Mushroom,CTABGAN,Precision,0.5671325452315954,0.008961641612041002,0.00960127207326722,20
8. Mushroom dataset,Mushroom,CTABGAN,Recall,0.8035533223338833,0.1407706944729842,0.03547150018716537,20
8. Mushroom dataset,Mushroom,CTGAN,Accuracy,0.5428150491093724,0.02188327598659062,0.01716168581389458,20
8. Mushroom dataset,Mushroom,CTGAN,F1,0.5694449001814832,0.038924426677061766,0.02104028217436438,20
8. Mushroom dataset,Mushroom,CTGAN,Precision,0.5953656735307111,0.01788394049501941,0.01941787656581464,20
8. Mushroom dataset,Mushroom,CTGAN,Recall,0.5496580170991451,0.060475512802049616,0.03656123693029547,20
8. Mushroom dataset,Mushroom,CopulaGAN,Accuracy,0.5521999334110206,0.01229807705841294,0.0117134089314774,20
8. Mushroom dataset,Mushroom,CopulaGAN,F1,0.6727836755496848,0.02895752926308115,0.01154951241985986,20
8. Mushroom dataset,Mushroom,CopulaGAN,Precision,0.565529968513627,0.007145832001228332,0.00777424716426664,20
8. Mushroom dataset,Mushroom,CopulaGAN,Recall,0.8368051597420129,0.08962212743677993,0.02660631432020939,20
8. Mushroom dataset,Mushroom,ForestDiffusion,Accuracy,0.7637214915931413,0.10894886276688384,0.008653099958176449,20
8. Mushroom dataset,Mushroom,ForestDiffusion,F1,0.7796264795809686,0.11872966359663312,0.00806875601614567,20
8. Mushroom dataset,Mushroom,ForestDiffusion,Precision,0.7895250345760603,0.0835653929657988,0.009469710057624151,20
8. Mushroom dataset,Mushroom,ForestDiffusion,Recall,0.7811894405279736,0.15288998169242957,0.014024867116471152,20
8. Mushroom dataset,Mushroom,GaussianCopula,Accuracy,0.5736340935575162,0.0187465878090305,0.01514749709633736,20
8. Mushroom dataset,Mushroom,GaussianCopula,F1,0.6343402608398672,0.0264411791121826,0.01651796124412809,20
8. Mushroom dataset,Mushroom,GaussianCopula,Precision,0.6051663248429551,0.015044883868437532,0.01413418758341961,20
8. Mushroom dataset,Mushroom,GaussianCopula,Recall,0.6696745162741864,0.052199502414079946,0.03165401090361289,20
8. Mushroom dataset,Mushroom,TVAE,Accuracy,0.6034201764607958,0.014014975597655343,0.00741148965955205,20
8. Mushroom dataset,Mushroom,TVAE,F1,0.6410960301595868,0.027811466859315407,0.007042129107160131,20
