Dataset,Generator,TaskType,Utility,Privacy,Fidelity,UtilityRaw,PrivacyRaw,FidelityRaw,CompositeScore,CompositeRank
1. Cancer,GaussianCopula,classification,0.8319499053444006,0.5503515675871391,1.0,0.860438596491228,,0.9483065761380165,0.797885432413902,1.0
1. Cancer,TVAE,classification,0.9414591524683267,0.5503515675871391,0.7867009793537977,0.9264035087719298,,0.9002203115623605,0.7776994250696116,2.0
1. Cancer,ForestDiffusion,classification,1.0,0.5503515675871391,0.49536575912313346,0.9616666666666667,,,0.7137151980130818,3.0
1. Cancer,WGAN_GP,classification,0.9630115042959079,0.5503515675871391,0.49536575912313346,0.9393859649122807,,,0.6989197997314449,4.0
1. Cancer,CTABGAN,classification,0.8689384010484927,0.5503515675871391,0.49536575912313346,0.882719298245614,,,0.6612905584324789,5.0
1. Cancer,CTGAN,classification,0.5977865152177079,0.5503515675871391,0.19476205713873615,0.7193859649122807,,0.7667732308395878,0.4626486935048457,6.0
1. Cancer,TabDDPM,classification,0.24945391000436878,0.5503515675871391,0.49536575912313346,0.509561403508772,,,0.41349676201482927,7.0
1. Cancer,CopulaGAN,classification,0.0,0.5503515675871391,0.0,0.3592982456140351,,0.7228659509069406,0.16510547027614172,8.0
10. Metro interstate,CTABGAN,regression,1.0,1.0,1.0,-0.10157235245343962,168.80951772491113,0.8857608067600536,1.0,1.0
10. Metro interstate,ForestDiffusion,regression,0.7452571075766837,0.9996936076487732,0.6214114667045053,,168.9167482376906,,0.784434365336657,2.0
10. Metro interstate,TabDDPM,regression,0.7452571075766837,0.9824687238994902,0.6214114667045053,,174.94507469429857,,0.7792669002118722,3.0
10. Metro interstate,TVAE,regression,0.7020134651687988,0.03728755969339803,0.9054198547282281,-0.6726348847642168,505.7374737262089,0.8560996626107411,0.5636176103940074,4.0
10. Metro interstate,CTGAN,regression,0.9305736563946477,0.036906315997599526,0.5888060679674432,-0.2346212622332357,505.8709005458757,0.7568068655677006,0.5599431777473719,5.0
10. Metro interstate,CopulaGAN,regression,0.9505703064638199,0.035956572367300765,0.4739179483222733,-0.19629960574394992,506.20328970663064,0.7207769666069099,0.5331904787924002,6.0
10. Metro interstate,WGAN_GP,regression,0.0,0.9986082480422211,0.7603249292090875,-2.01797616792874,169.29659997581243,0.8105966504426951,0.5276799531753926,7.0
10. Metro interstate,GaussianCopula,regression,0.8883852174328357,0.0,0.0,-0.3154713476285994,518.7872908323137,0.5721522363345958,0.3553540869731343,8.0
11. online shopping,CTABGAN,regression,0.9947779391940117,0.5503515675871391,1.0,-0.06040221481759206,,1.0,0.8630166459537465,1.0
11. online shopping,GaussianCopula,regression,1.0,0.5503515675871391,0.7049002795094982,0.31883687027622576,,0.7049002795094982,0.7765755541289913,2.0
11. online shopping,CopulaGAN,regression,0.9876273675202513,0.5503515675871391,0.6823593667195279,-0.5796945708822493,,0.6823593667195279,0.7648642273001006,3.0
11. online shopping,CTGAN,regression,0.992020273708688,0.5503515675871391,0.6726368517550372,-0.2606707629068178,,0.6726368517550372,0.7637046352861281,4.0
11. online shopping,TVAE,regression,0.989015744325953,0.5503515675871391,0.6072036859369577,-0.4788671831666512,,0.6072036859369577,0.7428728737876102,5.0
11. online shopping,ForestDiffusion,regression,0.8272402207914841,0.5503515675871391,0.6111833639868368,,,,0.6793565677887865,6.5
11. online shopping,TabDDPM,regression,0.8272402207914841,0.5503515675871391,0.6111833639868368,,,,0.6793565677887865,6.5
11. online shopping,WGAN_GP,regression,0.0,0.5503515675871391,0.0,-72.30365819123776,,0.0,0.16510547027614172,8.0
12. Air Quality,GaussianCopula,regression,1.0,1.0,1.0,0.7528663080874856,214.92657178097156,0.9531988229301601,1.0,1.0
12. Air Quality,WGAN_GP,regression,0.9790913653234484,0.7252224620799888,0.9144517546302775,0.7362945573952281,,0.929146216132819,0.8835388111424591,2.0
12. Air Quality,TVAE,regression,0.26498574752029375,0.9927323120096149,0.9224773145320704,0.17030923844727036,217.12227345246686,0.9314026696206967,0.6805571869706231,3.0
12. Air Quality,ForestDiffusion,regression,0.42415044714758093,0.7252224620799888,0.5924327827060414,,,,0.5649567522948414,4.5
12. Air Quality,TabDDPM,regression,0.42415044714758093,0.7252224620799888,0.5924327827060414,,,,0.5649567522948414,4.5
12. Air Quality,CTABGAN,regression,0.24374013005341225,0.7252224620799888,0.5277601758327498,0.1534704021764796,,0.82042463503594,0.47339084339518644,6.0
12. Air Quality,CopulaGAN,regression,0.05708543998833106,0.90815753631034,0.0,0.00553176165070485,242.6738624330222,0.6720404345448631,0.29528143688843445,7.0
12. Air Quality,CTGAN,regression,0.0,0.0,0.18990745124115074,-0.03971297547722273,517.044889793542,0.7254345074781844,0.05697223537234522,8.0
13. Concrete Compressive Strength,ForestDiffusion,regression,1.0,0.6293133994288242,0.9841587295132308,0.6459523715576412,,0.9392581803354669,0.8840416386826165,1.0
13. Concrete Compressive Strength,TabDDPM,regression,0.9548078983214218,0.6293133994288242,1.0,0.5782417350805905,,0.9427578357166746,0.8707171791572159,2.0
13. Concrete Compressive Strength,TVAE,regression,0.8081937679012489,0.9082062240789899,0.7973807992043639,0.3585720202732137,170.61263221859238,0.8979951775073667,0.8349536141455057,3.0
13. Concrete Compressive Strength,GaussianCopula,regression,0.8805208281915919,1.0,0.5816028659479092,0.46693855125698003,170.1743387474236,0.8503254905401799,0.8266891910610096,4.0
13. Concrete Compressive Strength,WGAN_GP,regression,0.7883973655599612,0.6293133994288242,0.5634188921728125,0.3289113726667373,,,0.6731786337044756,5.0
13. Concrete Compressive Strength,CTABGAN,regression,0.5004050033408083,0.6293133994288242,0.5634188921728125,-0.10258318992475188,,,0.5579816888168143,6.0
13. Concrete Compressive Strength,CTGAN,regression,0.1849260349537505,0.6090473736363073,0.0,-0.5752605151914515,172.0410446537036,0.721837715444085,0.2566846260723924,7.0
13. Concrete Compressive Strength,CopulaGAN,regression,0.0,0.0,0.017370958371371353,-0.8523323720604399,174.94910116209903,0.7256753096567385,0.005211287511411406,8.0
14. Energy Efficiency,TVAE,regression,0.9277116638322277,0.8837661693819706,1.0,0.7659851082919158,25120.6275098191,0.8898556574550588,0.9362145163474822,1.0
14. Energy Efficiency,GaussianCopula,regression,0.8532179560706429,1.0,0.6085648125466947,0.6099225850093284,22522.818185923094,0.7914366573468559,0.8238566261922655,2.0
14. Energy Efficiency,WGAN_GP,regression,0.9532147809385634,0.4920371485373397,0.3795783912893107,0.8194135242854413,,,0.6427705743234204,3.0
14. Energy Efficiency,TabDDPM,regression,0.8690490430362787,0.4920371485373397,0.31828365737343395,0.6430883308474928,,0.7184509321025855,0.5907158589877436,4.0
14. Energy Efficiency,ForestDiffusion,regression,1.0,0.4920371485373397,0.0,0.9174274312106327,,0.6384245054717093,0.547611144561202,5.0
14. Energy Efficiency,CTGAN,regression,0.49932727869093513,0.084382424767388,0.15573816927559536,-0.13146985923335164,42986.738727946264,0.6775819327804501,0.27176708968926905,6.0
14. Energy Efficiency,CTABGAN,regression,0.0,0.4920371485373397,0.3795783912893107,-1.1775484798027036,,,0.26148466194799513,7.0
