Metric,Generator_A,Generator_B,Cohens_d,Cliffs_Delta
Accuracy,CTABGAN,CTGAN,0.3853438810279961,0.3125
Accuracy,CTABGAN,CopulaGAN,0.5992080882531067,0.375
Accuracy,CTABGAN,ForestDiffusion,-0.5816763949360152,-0.21875
Accuracy,CTABGAN,GaussianCopula,-0.013088513307246648,0.03125
Accuracy,CTABGAN,TVAE,-0.19468940050702266,-0.09375
Accuracy,CTABGAN,TabDDPM,0.7314863303538522,0.375
Accuracy,CTABGAN,WGAN_GP,-0.017017787209401242,-0.125
Accuracy,CTGAN,CopulaGAN,0.21760957481206236,0.125
Accuracy,CTGAN,ForestDiffusion,-0.9832154021951032,-0.5625
Accuracy,CTGAN,GaussianCopula,-0.4101699625567606,-0.3125
Accuracy,CTGAN,TVAE,-0.5969768037926808,-0.3125
Accuracy,CTGAN,TabDDPM,0.30844340127714187,0.28125
Accuracy,CTGAN,WGAN_GP,-0.35917246867974223,-0.3125
Accuracy,CopulaGAN,ForestDiffusion,-1.1963424093019295,-0.59375
Accuracy,CopulaGAN,GaussianCopula,-0.6291645265213075,-0.40625
Accuracy,CopulaGAN,TVAE,-0.8160186729101626,-0.46875
Accuracy,CopulaGAN,TabDDPM,0.06964094384133793,0.09375
Accuracy,CopulaGAN,WGAN_GP,-0.5526202219003212,-0.40625
Accuracy,ForestDiffusion,GaussianCopula,0.5941168717913335,0.28125
Accuracy,ForestDiffusion,TVAE,0.4148029892014862,0.21875
Accuracy,ForestDiffusion,TabDDPM,1.4312484918453365,0.65625
Accuracy,ForestDiffusion,WGAN_GP,0.4759944935551026,0.15625
Accuracy,GaussianCopula,TVAE,-0.1885923524123941,-0.15625
Accuracy,GaussianCopula,TabDDPM,0.7711994518469786,0.40625
Accuracy,GaussianCopula,WGAN_GP,-0.006048102991968049,-0.15625
Accuracy,TVAE,TabDDPM,0.9871192604637866,0.53125
Accuracy,TVAE,WGAN_GP,0.15033795327296148,0.0
Accuracy,TabDDPM,WGAN_GP,-0.6597876202619258,-0.375
F1,CTABGAN,CTGAN,0.39269669073101043,0.375
F1,CTABGAN,CopulaGAN,0.44986231254613324,0.28125
F1,CTABGAN,ForestDiffusion,-0.39381766303642146,-0.3125
F1,CTABGAN,GaussianCopula,0.15179901772211193,0.21875
F1,CTABGAN,TVAE,-0.12785420618644247,-0.03125
F1,CTABGAN,TabDDPM,0.8451977373192239,0.5
F1,CTABGAN,WGAN_GP,0.0732485059142854,-0.0625
F1,CTGAN,CopulaGAN,0.027348065519151383,0.0
F1,CTGAN,ForestDiffusion,-0.7655301147022664,-0.53125
F1,CTGAN,GaussianCopula,-0.2067486740456385,-0.21875
F1,CTGAN,TVAE,-0.5250640923763761,-0.375
F1,CTGAN,TabDDPM,0.4494014785686548,0.28125
F1,CTGAN,WGAN_GP,-0.28001424604997965,-0.3125
F1,CopulaGAN,ForestDiffusion,-0.8473132388196689,-0.5
F1,CopulaGAN,GaussianCopula,-0.24407697225337996,-0.15625
F1,CopulaGAN,TVAE,-0.5948225468216028,-0.34375
F1,CopulaGAN,TabDDPM,0.45135058762249086,0.25
F1,CopulaGAN,WGAN_GP,-0.32108746550746126,-0.28125
F1,ForestDiffusion,GaussianCopula,0.5031219845790418,0.34375
F1,ForestDiffusion,TVAE,0.27843479912927954,0.1875
F1,ForestDiffusion,TabDDPM,1.1997970247779686,0.625
