Dataset,Generator,Feature,Metric,Value,Mean,Std,Experiment,SourceFile
1. Cancer,CTGAN,texture_mean,KS_Complement,0.915807,0.915807,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,diagnosis,KS_Complement,0.890583,0.890583,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,symmetry_worst,KS_Complement,0.87093,0.87093,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,concave points_mean,KS_Complement,0.851942,0.851942,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,radius_se,KS_Complement,0.8478,0.8478,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,radius_worst,KS_Complement,0.83481,0.83481,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,texture_worst,KS_Complement,0.833627,0.833627,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,symmetry_se,KS_Complement,0.828694,0.828694,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,concavity_mean,KS_Complement,0.806663,0.806663,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,perimeter_mean,KS_Complement,0.802822,0.802822,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,fractal_dimension_se,KS_Complement,0.797199,0.797199,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,perimeter_worst,KS_Complement,0.79487,0.79487,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,smoothness_se,KS_Complement,0.778086,0.778086,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,perimeter_se,KS_Complement,0.764478,0.764478,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,concavity_se,KS_Complement,0.762856,0.762856,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,area_se,KS_Complement,0.757517,0.757517,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,concave points_worst,KS_Complement,0.738729,0.738729,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,smoothness_worst,KS_Complement,0.729953,0.729953,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,compactness_worst,KS_Complement,0.727418,0.727418,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,radius_mean,KS_Complement,0.723005,0.723005,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,compactness_se,JS_Divergence,0.254414,0.254414,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,area_mean,JS_Divergence,0.207905,0.207905,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,concave points_se,JS_Divergence,0.186285,0.186285,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,concavity_worst,JS_Divergence,0.18478,0.18478,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,compactness_mean,JS_Divergence,0.176116,0.176116,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,smoothness_mean,JS_Divergence,0.170237,0.170237,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,area_worst,JS_Divergence,0.168326,0.168326,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,symmetry_mean,JS_Divergence,0.158445,0.158445,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,fractal_dimension_worst,JS_Divergence,0.138026,0.138026,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,compactness_worst,JS_Divergence,0.12546,0.12546,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,smoothness_se,JS_Divergence,0.124656,0.124656,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,fractal_dimension_se,JS_Divergence,0.122602,0.122602,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,texture_se,JS_Divergence,0.119325,0.119325,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,symmetry_se,JS_Divergence,0.111236,0.111236,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,perimeter_se,JS_Divergence,0.103601,0.103601,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,concave points_worst,JS_Divergence,0.09734,0.09734,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,radius_mean,JS_Divergence,0.095188,0.095188,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,fractal_dimension_mean,JS_Divergence,0.08602,0.08602,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,concavity_se,JS_Divergence,0.085221,0.085221,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTGAN,smoothness_worst,JS_Divergence,0.081572,0.081572,,feature_fidelity,Generators/SDV models/1. Cancer.ipynb
1. Cancer,CTABGAN,Diagnosis,KS_Complement,0.962583,0.962583,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,texture3,KS_Complement,0.935438,0.935438,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,perimeter2,KS_Complement,0.917411,0.917411,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,texture2,KS_Complement,0.915615,0.915615,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,radius3,KS_Complement,0.902541,0.902541,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,concavity2,KS_Complement,0.901344,0.901344,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,symmetry2,KS_Complement,0.899316,0.899316,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,perimeter3,KS_Complement,0.899139,0.899139,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,symmetry3,KS_Complement,0.895763,0.895763,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,concave_points1,KS_Complement,0.887408,0.887408,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,compactness1,KS_Complement,0.885889,0.885889,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,symmetry1,KS_Complement,0.875427,0.875427,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,radius2,KS_Complement,0.869506,0.869506,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,compactness2,KS_Complement,0.866283,0.866283,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,concavity3,KS_Complement,0.864192,0.864192,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,smoothness3,KS_Complement,0.856591,0.856591,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,compactness3,KS_Complement,0.853773,0.853773,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,area3,KS_Complement,0.852504,0.852504,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,fractal_dimension2,KS_Complement,0.848483,0.848483,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,perimeter1,KS_Complement,0.840517,0.840517,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,radius1,JS_Divergence,0.320934,0.320934,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,smoothness1,JS_Divergence,0.291485,0.291485,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,texture1,JS_Divergence,0.165894,0.165894,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,area3,JS_Divergence,0.14826,0.14826,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,area1,JS_Divergence,0.126755,0.126755,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,fractal_dimension3,JS_Divergence,0.106616,0.106616,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,compactness2,JS_Divergence,0.101392,0.101392,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,perimeter1,JS_Divergence,0.09441,0.09441,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,fractal_dimension1,JS_Divergence,0.094337,0.094337,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,area2,JS_Divergence,0.079407,0.079407,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,concave_points2,JS_Divergence,0.076232,0.076232,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,smoothness2,JS_Divergence,0.070743,0.070743,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,symmetry1,JS_Divergence,0.064069,0.064069,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,concavity1,JS_Divergence,0.060737,0.060737,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,fractal_dimension2,JS_Divergence,0.058147,0.058147,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,perimeter2,JS_Divergence,0.04939,0.04939,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
1. Cancer,CTABGAN,concave_points1,JS_Divergence,0.047367,0.047367,,feature_fidelity,Generators/Other GANS/1. Cancer_other GAN.ipynb
