Dataset,Generator,Metric,Mean,Count,Std,CI_Low,CI_High,NormalizedScore
1. Cancer,CTABGAN,Cosine_Similarity,-0.008807,1,0.0,-0.008807,-0.008807,-0.008807
1. Cancer,CTABGAN,Gower_Distance,0.845894,1,0.0,0.845894,0.845894,0.845894
1. Cancer,CTABGAN,Gower_Similarity,0.845894,1,0.0,0.845894,0.845894,0.845894
1. Cancer,CTABGAN,JS_Divergence,0.0739615384615384,1,0.0,0.0739615384615384,0.0739615384615384,0.0739615384615384
1. Cancer,CTABGAN,KS_Complement,0.8515999999999999,1,0.0,0.8515999999999999,0.8515999999999999,0.8515999999999999
1. Cancer,CTABGAN,MMD,0.045172,1,0.0,0.045172,0.045172,0.045172
1. Cancer,CTABGAN,MMD_Multivariate,0.029374,1,0.0,0.029374,0.029374,0.029374
1. Cancer,CTABGAN,Outlier_Count_Diff,22.833333,1,0.0,22.833333,22.833333,22.833333
1. Cancer,CTABGAN,PCA_Correlation_Diff,1.040025,1,0.0,1.040025,1.040025,1.040025
1. Cancer,CTABGAN,PCA_Mean_Error,10.578803,1,0.0,10.578803,10.578803,10.578803
1. Cancer,CTABGAN,PCA_Mean_Error_Pct,5.7894015,1,0.0,5.7894015,5.7894015,5.7894015
1. Cancer,CTABGAN,Quality_Score,0.851563,1,0.0,0.851563,0.851563,0.851563
1. Cancer,CTABGAN,Wasserstein_Distance,0.037154,1,0.0,0.037154,0.037154,0.037154
1. Cancer,CTGAN,Cosine_Similarity,0.007301,1,0.0,0.007301,0.007301,0.007301
1. Cancer,CTGAN,Gower_Distance,0.825575,1,0.0,0.825575,0.825575,0.825575
1. Cancer,CTGAN,Gower_Similarity,0.825575,1,0.0,0.825575,0.825575,0.825575
1. Cancer,CTGAN,JS_Divergence,0.1121379310344827,1,0.0,0.1121379310344827,0.1121379310344827,0.1121379310344827
1. Cancer,CTGAN,KS_Complement,0.7403,1,0.0,0.7403,0.7403,0.7403
1. Cancer,CTGAN,MMD,0.142486,1,0.0,0.142486,0.142486,0.142486
1. Cancer,CTGAN,MMD_Multivariate,0.087208,1,0.0,0.087208,0.087208,0.087208
1. Cancer,CTGAN,Outlier_Count_Diff,16.9,1,0.0,16.9,16.9,16.9
1. Cancer,CTGAN,PCA_Mean_Error,22.139785,1,0.0,22.139785,22.139785,22.139785
1. Cancer,CTGAN,PCA_Mean_Error_Pct,11.317073,1,0.0,11.317073,11.317073,11.317073
1. Cancer,CTGAN,Quality_Score,0.765081,1,0.0,0.765081,0.765081,0.765081
1. Cancer,CTGAN,Wasserstein_Distance,0.07423,1,0.0,0.07423,0.07423,0.07423
1. Cancer,CopulaGAN,Cosine_Similarity,-0.042749,1,0.0,-0.042749,-0.042749,-0.042749
1. Cancer,CopulaGAN,Gower_Distance,0.787046,1,0.0,0.787046,0.787046,0.787046
1. Cancer,CopulaGAN,Gower_Similarity,0.787046,1,0.0,0.787046,0.787046,0.787046
1. Cancer,CopulaGAN,JS_Divergence,0.1410357142857143,1,0.0,0.1410357142857143,0.1410357142857143,0.1410357142857143
1. Cancer,CopulaGAN,KS_Complement,0.6568999999999999,1,0.0,0.6568999999999999,0.6568999999999999,0.6568999999999999
1. Cancer,CopulaGAN,MMD,0.341616,1,0.0,0.341616,0.341616,0.341616
1. Cancer,CopulaGAN,MMD_Multivariate,0.210474,1,0.0,0.210474,0.210474,0.210474
1. Cancer,CopulaGAN,Outlier_Count_Diff,28.2,1,0.0,28.2,28.2,28.2
1. Cancer,CopulaGAN,PCA_Mean_Error,43.617757,1,0.0,43.617757,43.617757,43.617757
1. Cancer,CopulaGAN,PCA_Mean_Error_Pct,22.3088785,1,0.0,22.3088785,22.3088785,22.3088785
1. Cancer,CopulaGAN,Quality_Score,0.721867,1,0.0,0.721867,0.721867,0.721867
1. Cancer,CopulaGAN,Wasserstein_Distance,0.123656,1,0.0,0.123656,0.123656,0.123656
1. Cancer,ForestDiffusion,Cosine_Similarity,0.020406,1,0.0,0.020406,0.020406,0.020406
1. Cancer,ForestDiffusion,Gower_Distance,0.860912,1,0.0,0.860912,0.860912,0.860912
1. Cancer,ForestDiffusion,Gower_Similarity,0.860912,1,0.0,0.860912,0.860912,0.860912
1. Cancer,ForestDiffusion,JS_Divergence,0.0208333333333333,1,0.0,0.0208333333333333,0.0208333333333333,0.0208333333333333
1. Cancer,ForestDiffusion,KS_Complement,0.9479,1,0.0,0.9479,0.9479,0.9479
1. Cancer,ForestDiffusion,MMD,0.003385,1,0.0,0.003385,0.003385,0.003385
1. Cancer,ForestDiffusion,MMD_Multivariate,0.00178,1,0.0,0.00178,0.00178,0.00178
1. Cancer,ForestDiffusion,Outlier_Count_Diff,10.733333,1,0.0,10.733333,10.733333,10.733333
1. Cancer,ForestDiffusion,PCA_Correlation_Diff,0.193923,1,0.0,0.193923,0.193923,0.193923
1. Cancer,ForestDiffusion,PCA_Mean_Error,1.192193,1,0.0,1.192193,1.192193,1.192193
1. Cancer,ForestDiffusion,PCA_Mean_Error_Pct,0.5960965,1,0.0,0.5960965,0.5960965,0.5960965
1. Cancer,ForestDiffusion,Quality_Score,0.947885,1,0.0,0.947885,0.947885,0.947885
1. Cancer,ForestDiffusion,Wasserstein_Distance,0.012196,1,0.0,0.012196,0.012196,0.012196
1. Cancer,GaussianCopula,Cosine_Similarity,0.012774,1,0.0,0.012774,0.012774,0.012774
1. Cancer,GaussianCopula,Gower_Distance,0.851888,1,0.0,0.851888,0.851888,0.851888
1. Cancer,GaussianCopula,Gower_Similarity,0.851888,1,0.0,0.851888,0.851888,0.851888
1. Cancer,GaussianCopula,JS_Divergence,0.037235294117647,1,0.0,0.037235294117647,0.037235294117647,0.037235294117647
1. Cancer,GaussianCopula,KS_Complement,0.93,1,0.0,0.93,0.93,0.93
1. Cancer,GaussianCopula,MMD,0.003901,1,0.0,0.003901,0.003901,0.003901
1. Cancer,GaussianCopula,MMD_Multivariate,0.001456,1,0.0,0.001456,0.001456,0.001456
1. Cancer,GaussianCopula,Outlier_Count_Diff,7.366667,1,0.0,7.366667,7.366667,7.366667
1. Cancer,GaussianCopula,PCA_Mean_Error,1.140859,1,0.0,1.140859,1.140859,1.140859
1. Cancer,GaussianCopula,PCA_Mean_Error_Pct,0.5704295,1,0.0,0.5704295,0.5704295,0.5704295
1. Cancer,GaussianCopula,Quality_Score,0.943748,1,0.0,0.943748,0.943748,0.943748
1. Cancer,GaussianCopula,Wasserstein_Distance,0.014806,1,0.0,0.014806,0.014806,0.014806
1. Cancer,TVAE,Cosine_Similarity,0.043196,1,0.0,0.043196,0.043196,0.043196
