Dataset,Generator,Metric,MetricValue,Source
1. Cancer,CTGAN,JS_Divergence,0.11213793103448279,plot_ocr
1. Cancer,CopulaGAN,JS_Divergence,0.1410357142857143,plot_ocr
1. Cancer,TVAE,JS_Divergence,0.04580952380952381,plot_ocr
1. Cancer,GaussianCopula,JS_Divergence,0.03723529411764706,plot_ocr
2. Alzhimers,CTGAN,JS_Divergence,0.19199999999999998,plot_ocr
2. Alzhimers,CopulaGAN,JS_Divergence,0.1376,plot_ocr
2. Alzhimers,TVAE,JS_Divergence,0.11720000000000001,plot_ocr
2. Alzhimers,GaussianCopula,JS_Divergence,0.09849999999999999,plot_ocr
6. Wine dataset,CTGAN,JS_Divergence,0.03275,plot_ocr
6. Wine dataset,CopulaGAN,JS_Divergence,0.03422222222222222,plot_ocr
6. Wine dataset,TVAE,JS_Divergence,0.031,plot_ocr
6. Wine dataset,GaussianCopula,JS_Divergence,0.039363636363636365,plot_ocr
7. CDC diabetes dataset,CTGAN,JS_Divergence,0.0261,plot_ocr
7. CDC diabetes dataset,CopulaGAN,JS_Divergence,0.0308,plot_ocr
7. CDC diabetes dataset,TVAE,JS_Divergence,0.019,plot_ocr
7. CDC diabetes dataset,GaussianCopula,JS_Divergence,0.03766666666666667,plot_ocr
8. Mushroom dataset,CTGAN,JS_Divergence,0.013142857142857142,plot_ocr
8. Mushroom dataset,CopulaGAN,JS_Divergence,0.010923076923076923,plot_ocr
8. Mushroom dataset,TVAE,JS_Divergence,0.008,plot_ocr
8. Mushroom dataset,GaussianCopula,JS_Divergence,0.023666666666666666,plot_ocr
9. MAGIC Gamma Telescope,CTGAN,JS_Divergence,0.034124999999999996,plot_ocr
9. MAGIC Gamma Telescope,CopulaGAN,JS_Divergence,0.0475,plot_ocr
9. MAGIC Gamma Telescope,TVAE,JS_Divergence,0.037500000000000006,plot_ocr
9. MAGIC Gamma Telescope,GaussianCopula,JS_Divergence,0.035333333333333335,plot_ocr
10. Metro interstate,CTGAN,JS_Divergence,0.21285714285714286,plot_ocr
10. Metro interstate,CopulaGAN,JS_Divergence,0.2198,plot_ocr
10. Metro interstate,TVAE,JS_Divergence,0.018750000000000003,plot_ocr
10. Metro interstate,GaussianCopula,JS_Divergence,0.37633333333333335,plot_ocr
11. online shopping,CTGAN,JS_Divergence,0.029249999999999998,plot_ocr
11. online shopping,CopulaGAN,JS_Divergence,0.06275,plot_ocr
11. online shopping,TVAE,JS_Divergence,0.19099999999999998,plot_ocr
11. online shopping,GaussianCopula,JS_Divergence,0.1182,plot_ocr
12. Air Quality,CopulaGAN,JS_Divergence,0.2298,plot_ocr
12. Air Quality,GaussianCopula,JS_Divergence,0.012666666666666666,plot_ocr
13. Concrete Compressive Strength,CTGAN,JS_Divergence,0.08775,plot_ocr
13. Concrete Compressive Strength,GaussianCopula,JS_Divergence,0.12874999999999998,plot_ocr
14. Energy Efficiency,CTGAN,JS_Divergence,0.131,plot_ocr
1. Cancer,CTABGAN,JS_Divergence,0.07396153846153845,plot_ocr
1. Cancer,WGAN_GP,JS_Divergence,0.023899999999999998,plot_ocr
2. Alzhimers,CTABGAN,JS_Divergence,0.14825000000000002,plot_ocr
2. Alzhimers,WGAN_GP,JS_Divergence,0.20125,plot_ocr
3. Adult,CTABGAN,JS_Divergence,0.12610000000000002,plot_ocr
3. Adult,WGAN_GP,JS_Divergence,0.22033333333333335,plot_ocr
4. Forest cover dataset,CTABGAN,JS_Divergence,0.038400000000000004,plot_ocr
4. Forest cover dataset,WGAN_GP,JS_Divergence,0.08675000000000001,plot_ocr
5. Bank Markting,CTABGAN,JS_Divergence,0.060416666666666674,plot_ocr
5. Bank Markting,WGAN_GP,JS_Divergence,0.22740000000000002,plot_ocr
6. Wine dataset,CTABGAN,JS_Divergence,0.031199999999999995,plot_ocr
6. Wine dataset,WGAN_GP,JS_Divergence,0.11454545454545455,plot_ocr
7. CDC diabetes dataset,CTABGAN,JS_Divergence,0.12258333333333334,plot_ocr
7. CDC diabetes dataset,WGAN_GP,JS_Divergence,0.06924999999999999,plot_ocr
8. Mushroom dataset,CTABGAN,JS_Divergence,0.021,plot_ocr
8. Mushroom dataset,WGAN_GP,JS_Divergence,0.3174705882352941,plot_ocr
9. MAGIC Gamma Telescope,CTABGAN,JS_Divergence,0.026699999999999995,plot_ocr
