Metric,Generator_A,Generator_B,p_raw,p_holm,p_bh,Cliffs_Delta
Accuracy,CTABGAN,CTGAN,0.1484375,1.0,0.21875,0.3125
Accuracy,CTABGAN,CopulaGAN,0.1953125,1.0,0.23777173913043478,0.375
Accuracy,CTABGAN,ForestDiffusion,0.0390625,0.9375,0.109375,-0.21875
Accuracy,CTABGAN,GaussianCopula,1.0,1.0,1.0,0.03125
Accuracy,CTABGAN,TVAE,0.1484375,1.0,0.21875,-0.09375
Accuracy,CTABGAN,TabDDPM,0.0390625,0.9375,0.109375,0.375
Accuracy,CTABGAN,WGAN_GP,0.1953125,1.0,0.23777173913043478,-0.125
Accuracy,CTGAN,CopulaGAN,0.7421875,1.0,0.7992788461538461,0.125
Accuracy,CTGAN,ForestDiffusion,0.0390625,0.9375,0.109375,-0.5625
Accuracy,CTGAN,GaussianCopula,0.0546875,0.984375,0.109375,-0.3125
Accuracy,CTGAN,TVAE,0.0546875,0.984375,0.109375,-0.3125
Accuracy,CTGAN,TabDDPM,0.1953125,1.0,0.23777173913043478,0.28125
Accuracy,CTGAN,WGAN_GP,0.25,1.0,0.2916666666666667,-0.3125
Accuracy,CopulaGAN,ForestDiffusion,0.0234375,0.65625,0.109375,-0.59375
Accuracy,CopulaGAN,GaussianCopula,0.078125,1.0,0.13671875,-0.40625
Accuracy,CopulaGAN,TVAE,0.0234375,0.65625,0.109375,-0.46875
Accuracy,CopulaGAN,TabDDPM,0.84375,1.0,0.875,0.09375
Accuracy,CopulaGAN,WGAN_GP,0.109375,1.0,0.18014705882352944,-0.40625
Accuracy,ForestDiffusion,GaussianCopula,0.0234375,0.65625,0.109375,0.28125
Accuracy,ForestDiffusion,TVAE,0.0390625,0.9375,0.109375,0.21875
Accuracy,ForestDiffusion,TabDDPM,0.0234375,0.65625,0.109375,0.65625
Accuracy,ForestDiffusion,WGAN_GP,0.0546875,0.984375,0.109375,0.15625
Accuracy,GaussianCopula,TVAE,0.078125,1.0,0.13671875,-0.15625
Accuracy,GaussianCopula,TabDDPM,0.0390625,0.9375,0.109375,0.40625
Accuracy,GaussianCopula,WGAN_GP,0.1953125,1.0,0.23777173913043478,-0.15625
Accuracy,TVAE,TabDDPM,0.0390625,0.9375,0.109375,0.53125
Accuracy,TVAE,WGAN_GP,0.7421875,1.0,0.7992788461538461,0.0
Accuracy,TabDDPM,WGAN_GP,0.0546875,0.984375,0.109375,-0.375
F1,CTABGAN,CTGAN,0.0390625,0.7421875,0.08413461538461538,0.375
F1,CTABGAN,CopulaGAN,0.4609375,1.0,0.5377604166666667,0.28125
F1,CTABGAN,ForestDiffusion,0.0390625,0.7421875,0.08413461538461538,-0.3125
F1,CTABGAN,GaussianCopula,0.1953125,1.0,0.287828947368421,0.21875
F1,CTABGAN,TVAE,0.3125,1.0,0.4166666666666667,-0.03125
F1,CTABGAN,TabDDPM,0.015625,0.34375,0.0546875,0.5
F1,CTABGAN,WGAN_GP,0.9453125,1.0,0.9453125,-0.0625
F1,CTGAN,CopulaGAN,0.7421875,1.0,0.7696759259259259,0.0
F1,CTGAN,ForestDiffusion,0.0078125,0.21875,0.036458333333333336,-0.53125
F1,CTGAN,GaussianCopula,0.1953125,1.0,0.287828947368421,-0.21875
F1,CTGAN,TVAE,0.0078125,0.21875,0.036458333333333336,-0.375
F1,CTGAN,TabDDPM,0.0546875,0.8203125,0.095703125,0.28125
F1,CTGAN,WGAN_GP,0.25,1.0,0.35,-0.3125
F1,CopulaGAN,ForestDiffusion,0.0390625,0.7421875,0.08413461538461538,-0.5
F1,CopulaGAN,GaussianCopula,0.7421875,1.0,0.7696759259259259,-0.15625
F1,CopulaGAN,TVAE,0.3828125,1.0,0.4872159090909091,-0.34375
F1,CopulaGAN,TabDDPM,0.0234375,0.46875,0.07291666666666666,0.25
F1,CopulaGAN,WGAN_GP,0.4609375,1.0,0.5377604166666667,-0.28125
F1,ForestDiffusion,GaussianCopula,0.0078125,0.21875,0.036458333333333336,0.34375
F1,ForestDiffusion,TVAE,0.0546875,0.8203125,0.095703125,0.1875
F1,ForestDiffusion,TabDDPM,0.0078125,0.21875,0.036458333333333336,0.625
F1,ForestDiffusion,WGAN_GP,0.0078125,0.21875,0.036458333333333336,0.28125
F1,GaussianCopula,TVAE,0.0390625,0.7421875,0.08413461538461538,-0.21875
F1,GaussianCopula,TabDDPM,0.015625,0.34375,0.0546875,0.4375
F1,GaussianCopula,WGAN_GP,0.1953125,1.0,0.287828947368421,-0.1875
F1,TVAE,TabDDPM,0.0078125,0.21875,0.036458333333333336,0.53125
F1,TVAE,WGAN_GP,0.546875,1.0,0.6124999999999999,0.0625
F1,TabDDPM,WGAN_GP,0.0546875,0.8203125,0.095703125,-0.40625
Precision,CTABGAN,CTGAN,0.4609375,1.0,0.4963942307692307,0.28125
Precision,CTABGAN,CopulaGAN,0.0390625,0.46875,0.06076388888888888,0.4375
Precision,CTABGAN,ForestDiffusion,0.0078125,0.21875,0.03125,-0.3125
Precision,CTABGAN,GaussianCopula,0.078125,0.703125,0.10416666666666667,0.15625
Precision,CTABGAN,TVAE,0.3125,1.0,0.35,-0.03125
Precision,CTABGAN,TabDDPM,0.0078125,0.21875,0.03125,0.5
Precision,CTABGAN,WGAN_GP,0.0234375,0.375,0.041015625,-0.15625
Precision,CTGAN,CopulaGAN,0.3125,1.0,0.35,0.125
Precision,CTGAN,ForestDiffusion,0.015625,0.328125,0.036458333333333336,-0.53125
Precision,CTGAN,GaussianCopula,1.0,1.0,1.0,-0.15625
Precision,CTGAN,TVAE,0.0234375,0.375,0.041015625,-0.46875
Precision,CTGAN,TabDDPM,0.0546875,0.546875,0.0805921052631579,0.25
Precision,CTGAN,WGAN_GP,0.0234375,0.375,0.041015625,-0.4375
Precision,CopulaGAN,ForestDiffusion,0.0078125,0.21875,0.03125,-0.65625
Precision,CopulaGAN,GaussianCopula,0.9453125,1.0,0.9803240740740741,-0.21875
Precision,CopulaGAN,TVAE,0.015625,0.328125,0.036458333333333336,-0.46875
Precision,CopulaGAN,TabDDPM,0.078125,0.703125,0.10416666666666667,0.15625
Precision,CopulaGAN,WGAN_GP,0.0234375,0.375,0.041015625,-0.5
Precision,ForestDiffusion,GaussianCopula,0.0078125,0.21875,0.03125,0.4375
Precision,ForestDiffusion,TVAE,0.015625,0.328125,0.036458333333333336,0.21875
Precision,ForestDiffusion,TabDDPM,0.0078125,0.21875,0.03125,0.71875
Precision,ForestDiffusion,WGAN_GP,0.25,1.0,0.30434782608695654,0.125
Precision,GaussianCopula,TVAE,0.015625,0.328125,0.036458333333333336,-0.25
Precision,GaussianCopula,TabDDPM,0.0390625,0.46875,0.06076388888888888,0.375
Precision,GaussianCopula,WGAN_GP,0.015625,0.328125,0.036458333333333336,-0.28125
Precision,TVAE,TabDDPM,0.0078125,0.21875,0.03125,0.59375
Precision,TVAE,WGAN_GP,0.109375,0.765625,0.13920454545454547,-0.09375
Precision,TabDDPM,WGAN_GP,0.0078125,0.21875,0.03125,-0.625
Recall,CTABGAN,CTGAN,0.078125,1.0,0.23557692307692307,0.28125
Recall,CTABGAN,CopulaGAN,0.3125,1.0,0.4605263157894737,0.15625
Recall,CTABGAN,ForestDiffusion,0.109375,1.0,0.23557692307692307,-0.1875
Recall,CTABGAN,GaussianCopula,0.4609375,1.0,0.5866477272727273,0.03125
Recall,CTABGAN,TVAE,0.7421875,1.0,0.7696759259259259,-0.0625
Recall,CTABGAN,TabDDPM,0.0234375,0.5625,0.109375,0.3125
Recall,CTABGAN,WGAN_GP,0.25,1.0,0.4375,0.0625
Recall,CTGAN,CopulaGAN,0.640625,1.0,0.7473958333333334,-0.03125
Recall,CTGAN,ForestDiffusion,0.0078125,0.21875,0.109375,-0.5
Recall,CTGAN,GaussianCopula,0.3125,1.0,0.4605263157894737,-0.1875
Recall,CTGAN,TVAE,0.0390625,0.859375,0.15625,-0.25
Recall,CTGAN,TabDDPM,0.4609375,1.0,0.5866477272727273,0.1875
Recall,CTGAN,WGAN_GP,0.25,1.0,0.4375,-0.15625
Recall,CopulaGAN,ForestDiffusion,0.109375,1.0,0.23557692307692307,-0.40625
Recall,CopulaGAN,GaussianCopula,0.7421875,1.0,0.7696759259259259,-0.28125
Recall,CopulaGAN,TVAE,0.640625,1.0,0.7473958333333334,-0.28125
Recall,CopulaGAN,TabDDPM,0.1953125,1.0,0.390625,0.09375
Recall,CopulaGAN,WGAN_GP,0.7421875,1.0,0.7696759259259259,-0.21875
Recall,ForestDiffusion,GaussianCopula,0.015625,0.40625,0.109375,0.34375
Recall,ForestDiffusion,TVAE,0.109375,1.0,0.23557692307692307,0.09375
Recall,ForestDiffusion,TabDDPM,0.015625,0.40625,0.109375,0.5
Recall,ForestDiffusion,WGAN_GP,0.0078125,0.21875,0.109375,0.34375
Recall,GaussianCopula,TVAE,0.3828125,1.0,0.5359375,-0.09375
Recall,GaussianCopula,TabDDPM,0.0234375,0.5625,0.109375,0.375
Recall,GaussianCopula,WGAN_GP,0.84375,1.0,0.84375,-0.03125
Recall,TVAE,TabDDPM,0.078125,1.0,0.23557692307692307,0.4375
Recall,TVAE,WGAN_GP,0.3125,1.0,0.4605263157894737,0.125
Recall,TabDDPM,WGAN_GP,0.109375,1.0,0.23557692307692307,-0.25
