Dataset,Generator,Utility,Privacy,Fidelity,ParetoOptimal
1. Cancer,ForestDiffusion,1.0,0.5503515675871391,0.49536575912313346,True
1. Cancer,GaussianCopula,0.8319499053444006,0.5503515675871391,1.0,True
1. Cancer,TVAE,0.9414591524683267,0.5503515675871391,0.7867009793537977,True
10. Metro interstate,CTABGAN,1.0,1.0,1.0,True
11. online shopping,CTABGAN,0.9947779391940117,0.5503515675871391,1.0,True
11. online shopping,GaussianCopula,1.0,0.5503515675871391,0.7049002795094982,True
12. Air Quality,GaussianCopula,1.0,1.0,1.0,True
13. Concrete Compressive Strength,ForestDiffusion,1.0,0.6293133994288242,0.9841587295132308,True
13. Concrete Compressive Strength,GaussianCopula,0.8805208281915919,1.0,0.5816028659479092,True
13. Concrete Compressive Strength,TVAE,0.8081937679012489,0.9082062240789899,0.7973807992043639,True
13. Concrete Compressive Strength,TabDDPM,0.9548078983214218,0.6293133994288242,1.0,True
14. Energy Efficiency,ForestDiffusion,1.0,0.4920371485373397,0.0,True
14. Energy Efficiency,GaussianCopula,0.8532179560706429,1.0,0.6085648125466947,True
14. Energy Efficiency,TVAE,0.9277116638322277,0.8837661693819706,1.0,True
14. Energy Efficiency,WGAN_GP,0.9532147809385634,0.4920371485373397,0.3795783912893107,True
15. Real Estate Valuation,CTGAN,0.0,0.7558661283883631,0.126041836387002,True
15. Real Estate Valuation,CopulaGAN,0.4585560671181399,1.0,0.0,True
15. Real Estate Valuation,ForestDiffusion,1.0,0.5275697925420264,1.0,True
2. Alzhimers,ForestDiffusion,1.0,0.5503515675871391,0.502547622219262,True
2. Alzhimers,GaussianCopula,0.6921376697189769,0.5503515675871391,1.0,True
2. Alzhimers,TVAE,0.8048626460372594,0.5503515675871391,0.698161715731983,True
3. Adult,CTGAN,0.9038929440389292,0.002765195983491342,0.7363190239290444,True
3. Adult,ForestDiffusion,1.0,1.0,0.6660795083627843,True
3. Adult,TVAE,0.8648283319816166,0.0030247154091349593,1.0,True
4. Forest cover dataset,ForestDiffusion,0.556686626746507,1.0,0.3690827348381215,True
4. Forest cover dataset,GaussianCopula,1.0,0.5,1.0,True
5. Bank Markting,CTGAN,0.0,0.5503515675871391,1.0,True
5. Bank Markting,CopulaGAN,0.5448997384481257,0.5503515675871391,0.5194669453880336,True
5. Bank Markting,ForestDiffusion,1.0,0.5503515675871391,0.41743968295444644,True
6. Wine dataset,CTGAN,0.0,1.0,0.021248259579878297,True
6. Wine dataset,CopulaGAN,0.11989082107359297,0.9069065500137146,0.0,True
6. Wine dataset,ForestDiffusion,1.0,0.6812254467515171,0.4922937223802892,True
6. Wine dataset,GaussianCopula,0.4604054726795186,0.0,1.0,True
6. Wine dataset,TVAE,0.7330952912296363,0.8179952369923539,0.9479266299412786,True
7. CDC diabetes dataset,CTGAN,1.0,0.9970458691610874,0.0,True
7. CDC diabetes dataset,GaussianCopula,0.8722859894145667,0.0,1.0,True
7. CDC diabetes dataset,TVAE,0.6774079046327065,1.0,0.8576166397117545,True
7. CDC diabetes dataset,WGAN_GP,0.9410420957187307,0.7407303412212735,0.5061160357852075,True
8. Mushroom dataset,CTGAN,0.20630833505291812,1.0,0.0,True
8. Mushroom dataset,CopulaGAN,0.24002715449050954,0.806818675194184,0.39040884474001813,True
8. Mushroom dataset,ForestDiffusion,1.0,0.6239120009043568,0.5644554816623172,True
8. Mushroom dataset,TVAE,0.4240556487620484,0.6888293284232436,1.0,True
9. MAGIC Gamma Telescope,ForestDiffusion,1.0,0.9996182921982331,0.32795020974830186,True
9. MAGIC Gamma Telescope,TVAE,0.6992222270863429,0.0002533789039209644,1.0,True
9. MAGIC Gamma Telescope,WGAN_GP,0.9553327788235645,1.0,0.32795020974830186,True
Eshop_Price_Regression_Hungarian_Mahalanobis,GaussianCopula,0.613612478420689,1.0,0.5073753258679131,True
Hungarian_Mahalanobis_Four_Models,GaussianCopula,0.613612478420689,1.0,0.5073753258679131,True
Hungarian_Mahalanobis_Four_Models_AD,GaussianCopula,0.613612478420689,1.0,0.5073753258679131,True
Hungarian_Mahalanobis_WGAN_CTABGAN,WGAN_GP,0.613612478420689,1.0,0.5073753258679131,True
Hungarian_Mahalanobis_WGAN_TabDDPM,ForestDiffusion,0.613612478420689,1.0,0.5073753258679131,True
Hungarian_Matchings_All_Models,CTABGAN,0.613612478420689,1.0,0.5073753258679131,True
Hungarian_Matchings_All_Models,WGAN_GP,0.613612478420689,1.0,0.5073753258679131,True
Hungarian_Matchings_All_Models_AD,CTABGAN,0.613612478420689,0.5503515675871391,0.5073753258679131,True
Hungarian_Matchings_All_Models_AD,CTGAN,0.613612478420689,0.5503515675871391,0.5073753258679131,True
Hungarian_Matchings_All_Models_AD,CopulaGAN,0.613612478420689,0.5503515675871391,0.5073753258679131,True
Hungarian_Matchings_All_Models_AD,ForestDiffusion,0.613612478420689,0.5503515675871391,0.5073753258679131,True
Hungarian_Matchings_All_Models_AD,GaussianCopula,0.613612478420689,0.5503515675871391,0.5073753258679131,True
Hungarian_Matchings_All_Models_AD,TVAE,0.613612478420689,0.5503515675871391,0.5073753258679131,True
Hungarian_Matchings_All_Models_AD,TabDDPM,0.613612478420689,0.5503515675871391,0.5073753258679131,True
Hungarian_Matchings_All_Models_AD,WGAN_GP,0.613612478420689,0.5503515675871391,0.5073753258679131,True
