Dataset,Generator,Metric,Mean,Std,Count,CI_Low,CI_High,NormalizedScore
1. Cancer,CTABGAN,Hungarian_Cosine_Similarity,,,0,,,
1. Cancer,CTABGAN,MIA_AUC,,,0,,,
1. Cancer,CTABGAN,Mahalanobis_Distance,,,0,,,
1. Cancer,CTABGAN,NNDR,,,0,,,
1. Cancer,CTGAN,Hungarian_Cosine_Similarity,,,0,,,
1. Cancer,CTGAN,MIA_AUC,,,0,,,
1. Cancer,CTGAN,Mahalanobis_Distance,,,0,,,
1. Cancer,CTGAN,NNDR,,,0,,,
1. Cancer,CopulaGAN,Hungarian_Cosine_Similarity,,,0,,,
1. Cancer,CopulaGAN,MIA_AUC,,,0,,,
1. Cancer,CopulaGAN,Mahalanobis_Distance,,,0,,,
1. Cancer,CopulaGAN,NNDR,,,0,,,
1. Cancer,ForestDiffusion,Hungarian_Cosine_Similarity,,,0,,,
1. Cancer,ForestDiffusion,MIA_AUC,,,0,,,
1. Cancer,ForestDiffusion,Mahalanobis_Distance,,,0,,,
1. Cancer,ForestDiffusion,NNDR,,,0,,,
1. Cancer,GaussianCopula,Hungarian_Cosine_Similarity,,,0,,,
1. Cancer,GaussianCopula,MIA_AUC,,,0,,,
1. Cancer,GaussianCopula,Mahalanobis_Distance,,,0,,,
1. Cancer,GaussianCopula,NNDR,,,0,,,
1. Cancer,TVAE,Hungarian_Cosine_Similarity,,,0,,,
1. Cancer,TVAE,MIA_AUC,,,0,,,
1. Cancer,TVAE,Mahalanobis_Distance,,,0,,,
1. Cancer,TVAE,NNDR,,,0,,,
1. Cancer,TabDDPM,Hungarian_Cosine_Similarity,,,0,,,
1. Cancer,TabDDPM,MIA_AUC,,,0,,,
1. Cancer,TabDDPM,Mahalanobis_Distance,,,0,,,
1. Cancer,TabDDPM,NNDR,,,0,,,
1. Cancer,WGAN_GP,Hungarian_Cosine_Similarity,,,0,,,
1. Cancer,WGAN_GP,MIA_AUC,,,0,,,
1. Cancer,WGAN_GP,Mahalanobis_Distance,,,0,,,
1. Cancer,WGAN_GP,NNDR,,,0,,,
10. Metro interstate,CTABGAN,MIA_AUC,,,0,,,
10. Metro interstate,CTABGAN,Mahalanobis_Distance,,,0,,,
10. Metro interstate,CTABGAN,Max_Distance,6.783075256148769,,1,6.783075256148769,6.783075256148769,0.9999811482058163
10. Metro interstate,CTABGAN,Mean_Distance,2.433241937847617,,1,2.433241937847617,2.433241937847617,0.9999580966074845
10. Metro interstate,CTABGAN,Median_Distance,2.18865295183662,,1,2.18865295183662,2.18865295183662,0.9999529020458005
10. Metro interstate,CTABGAN,Min_Distance,0.2052085027418037,,1,0.2052085027418037,0.2052085027418037,0.999787910584194
10. Metro interstate,CTABGAN,NNDR,,,0,,,
10. Metro interstate,CTABGAN,Num_Matches,1000.0,,1,1000.0,1000.0,0.033624711749879334
10. Metro interstate,CTABGAN,Std_Distance,1.246927700892049,,1,1.246927700892049,1.246927700892049,0.9999809498166922
10. Metro interstate,CTGAN,MIA_AUC,,,0,,,
10. Metro interstate,CTGAN,Mahalanobis_Distance,,,0,,,
10. Metro interstate,CTGAN,Max_Distance,28.91585727656612,,1,28.91585727656612,28.91585727656612,0.9998221579106431
10. Metro interstate,CTGAN,Mean_Distance,0.3998051798465409,,1,0.3998051798465409,0.3998051798465409,0.9999978765853079
10. Metro interstate,CTGAN,Median_Distance,0.0804209354081768,,1,0.0804209354081768,0.0804209354081768,0.9999990471743971
10. Metro interstate,CTGAN,Min_Distance,6.105367996739974e-06,,1,6.105367996739974e-06,6.105367996739974e-06,0.9999999936899109
10. Metro interstate,CTGAN,NNDR,,,0,,,
10. Metro interstate,CTGAN,Num_Matches,2000.0,,1,2000.0,2000.0,0.08725264117552421
10. Metro interstate,CTGAN,Std_Distance,1.43604132976484,,1,1.43604132976484,1.43604132976484,0.9999755321165253
10. Metro interstate,CopulaGAN,MIA_AUC,,,0,,,
10. Metro interstate,CopulaGAN,Mahalanobis_Distance,,,0,,,
10. Metro interstate,CopulaGAN,Max_Distance,31.67549403199714,,1,31.67549403199714,31.67549403199714,0.9998023341278981
10. Metro interstate,CopulaGAN,Mean_Distance,0.482782449183865,,1,0.482782449183865,0.482782449183865,0.9999962533069241
10. Metro interstate,CopulaGAN,Median_Distance,0.2633293588838103,,1,0.2633293588838103,0.2633293588838103,0.9999950436621381
10. Metro interstate,CopulaGAN,Min_Distance,1.371504355484685e-05,,1,1.371504355484685e-05,1.371504355484685e-05,0.9999999858250729
10. Metro interstate,CopulaGAN,NNDR,,,0,,,
10. Metro interstate,CopulaGAN,Num_Matches,2000.0,,1,2000.0,2000.0,0.08725264117552421
10. Metro interstate,CopulaGAN,Std_Distance,1.455107324901258,,1,1.455107324901258,1.455107324901258,0.999974985916626
10. Metro interstate,ForestDiffusion,MIA_AUC,,,0,,,
10. Metro interstate,ForestDiffusion,Mahalanobis_Distance,,,0,,,
10. Metro interstate,ForestDiffusion,Max_Distance,6.083313832407932,,1,6.083313832407932,6.083313832407932,0.9999861749247895
10. Metro interstate,ForestDiffusion,Mean_Distance,1.816702233657161,,1,1.816702233657161,1.816702233657161,0.99997015792961
10. Metro interstate,ForestDiffusion,Median_Distance,1.654405815807491,,1,1.654405815807491,1.654405815807491,0.9999645956841677
10. Metro interstate,ForestDiffusion,Min_Distance,0.110700606241123,,1,0.110700606241123,0.110700606241123,0.9998855874557177
10. Metro interstate,ForestDiffusion,NNDR,,,0,,,
10. Metro interstate,ForestDiffusion,Num_Matches,1000.0,,1,1000.0,1000.0,0.033624711749879334
10. Metro interstate,ForestDiffusion,Std_Distance,0.9207155559561222,,1,0.9207155559561222,0.9207155559561222,0.9999902950955205
10. Metro interstate,GaussianCopula,MIA_AUC,,,0,,,
10. Metro interstate,GaussianCopula,Mahalanobis_Distance,,,0,,,
10. Metro interstate,GaussianCopula,Max_Distance,41.08458599787649,,1,41.08458599787649,41.08458599787649,0.9997347441472266
10. Metro interstate,GaussianCopula,Mean_Distance,27.79004060836873,,1,27.79004060836873,27.79004060836873,0.9994620433691348
10. Metro interstate,GaussianCopula,Median_Distance,32.75906280612629,,1,32.75906280612629,32.75906280612629,0.9992837747946316
10. Metro interstate,GaussianCopula,Min_Distance,0.1325027378798853,,1,0.1325027378798853,0.1325027378798853,0.9998630542697102
10. Metro interstate,GaussianCopula,NNDR,,,0,,,
10. Metro interstate,GaussianCopula,Num_Matches,2000.0,,1,2000.0,2000.0,0.08725264117552421
10. Metro interstate,GaussianCopula,Std_Distance,11.04759450345281,,1,11.04759450345281,11.04759450345281,0.9997001817171728
