Dataset,Generator,Metric,Mean_CV,Std_CV,N
1. Cancer,CTABGAN,Accuracy,0.026401073191723235,0.011446052400598785,20
1. Cancer,CTABGAN,F1,0.03987329494857379,0.015194424853913613,20
1. Cancer,CTABGAN,Precision,0.05586783505739305,0.025079309016897543,20
1. Cancer,CTABGAN,Recall,0.06458885778819992,0.012601414081243226,20
1. Cancer,CTGAN,Accuracy,0.052164269905421556,0.026130365891115392,20
1. Cancer,CTGAN,F1,0.05145922318706592,0.030645850552591825,20
1. Cancer,CTGAN,Precision,0.06597217208931554,0.028812777874696455,20
1. Cancer,CTGAN,Recall,0.07246650478383193,0.05212469650977347,20
1. Cancer,CopulaGAN,Accuracy,0.1795973403163192,0.050987393747459246,20
1. Cancer,CopulaGAN,F1,0.1717090394890456,0.07256755157183765,20
1. Cancer,CopulaGAN,Precision,0.16518142895945692,0.07032211424231567,20
1. Cancer,CopulaGAN,Recall,0.21351949693156497,0.08711056495135971,20
1. Cancer,ForestDiffusion,Accuracy,0.017545319216661585,0.005109265716844235,20
1. Cancer,ForestDiffusion,F1,0.02585284260695846,0.008114153456515963,20
1. Cancer,ForestDiffusion,Precision,0.01885598001118286,0.010170419566030398,20
1. Cancer,ForestDiffusion,Recall,0.045935651181122895,0.01298571567784383,20
1. Cancer,GaussianCopula,Accuracy,0.03660311415609858,0.01912224932156124,20
1. Cancer,GaussianCopula,F1,0.06110745819279771,0.023042616599665663,20
1. Cancer,GaussianCopula,Precision,0.05056081502233282,0.04340501173561549,20
1. Cancer,GaussianCopula,Recall,0.09044525149726601,0.01747621002020906,20
1. Cancer,TVAE,Accuracy,0.022081956098292506,0.00710942800233915,20
1. Cancer,TVAE,F1,0.02848225876810583,0.008341310461248782,20
1. Cancer,TVAE,Precision,0.04806679705395593,0.011827239299544445,20
1. Cancer,TVAE,Recall,0.03432439450381842,0.009436996633970868,20
1. Cancer,TabDDPM,Accuracy,0.17561986277035851,0.08866236777825774,20
1. Cancer,TabDDPM,F1,0.8250427310997767,0.6561365512462685,20
1. Cancer,TabDDPM,Precision,0.7053151974283745,0.5279548404301515,20
1. Cancer,TabDDPM,Recall,0.9875485876880438,0.6615897705822058,20
1. Cancer,WGAN_GP,Accuracy,0.02177008573902056,0.004822155992399824,20
1. Cancer,WGAN_GP,F1,0.034086018665830206,0.008137928776932266,20
1. Cancer,WGAN_GP,Precision,0.023717861091490634,0.00993484913749739,20
1. Cancer,WGAN_GP,Recall,0.05755326476140242,0.010973522726960887,20
10. Metro interstate,CTABGAN,MAE,0.0009433707254065664,0.0017273446877804517,20
10. Metro interstate,CTABGAN,MSE,0.0019062951469595746,0.00290768568670194,20
10. Metro interstate,CTABGAN,R2,0.018192451721495924,0.023496832173750384,20
10. Metro interstate,CTABGAN,RMSE,0.0009528452304478519,0.001453027596848155,20
10. Metro interstate,CTGAN,MAE,0.004527848296771817,0.008371383486049173,20
10. Metro interstate,CTGAN,MSE,0.009693594031479746,0.01546824901001921,20
10. Metro interstate,CTGAN,R2,0.052596174361941896,0.09409700258206076,20
10. Metro interstate,CTGAN,RMSE,0.004837527255685493,0.007711965221987959,20
10. Metro interstate,CopulaGAN,MAE,0.010370083446048051,0.023450440641088564,20
10. Metro interstate,CopulaGAN,MSE,0.021098544238075907,0.045812894577117416,20
10. Metro interstate,CopulaGAN,R2,0.09548626945932102,0.1636044007050131,20
10. Metro interstate,CopulaGAN,RMSE,0.010675773796995932,0.023331298262140924,20
10. Metro interstate,GaussianCopula,MAE,0.004090302430464691,0.006837513010131667,20
10. Metro interstate,GaussianCopula,MSE,0.008004458537543963,0.012731587086197446,20
10. Metro interstate,GaussianCopula,R2,0.02520040586900162,0.04435195261737494,20
10. Metro interstate,GaussianCopula,RMSE,0.004022540076762703,0.006404150078008004,20
10. Metro interstate,TVAE,MAE,0.0020970987994388493,0.00290334722706522,20
10. Metro interstate,TVAE,MSE,0.0044277466348093125,0.005758638472209666,20
10. Metro interstate,TVAE,R2,0.01233943562224917,0.016035549138655385,20
10. Metro interstate,TVAE,RMSE,0.0022104136999588748,0.00287338412553253,20
10. Metro interstate,WGAN_GP,MAE,7.433040353511162e-07,9.670159764123597e-07,20
10. Metro interstate,WGAN_GP,MSE,1.0092228245702342e-06,1.318253782351803e-06,20
10. Metro interstate,WGAN_GP,R2,1.5090321674157797e-06,1.9711089707214283e-06,20
10. Metro interstate,WGAN_GP,RMSE,5.04611431298173e-07,6.591268918617062e-07,20
11. online shopping,CTABGAN,MAE,0.011602581666662755,0.005709713272371043,20
11. online shopping,CTABGAN,MSE,0.024387382348406265,0.01275124549106899,20
11. online shopping,CTABGAN,R2,0.43109865193951824,0.21663892163305598,20
11. online shopping,CTABGAN,RMSE,0.01213430779677047,0.0063139423591406715,20
11. online shopping,CTGAN,MAE,0.10159651498412867,0.07442000878783951,20
11. online shopping,CTGAN,MSE,0.18878176826137166,0.13913215269155296,20
11. online shopping,CTGAN,R2,0.9991702782819653,0.36077865951356336,20
11. online shopping,CTGAN,RMSE,0.08915676128048602,0.06498669564193021,20
11. online shopping,CopulaGAN,MAE,0.14832782603705025,0.11556451877444864,20
11. online shopping,CopulaGAN,MSE,0.28525914133091473,0.19668068739317376,20
11. online shopping,CopulaGAN,R2,0.80268108935318,0.3248853916454285,20
11. online shopping,CopulaGAN,RMSE,0.14254002955672218,0.0987500001459938,20
11. online shopping,GaussianCopula,MAE,0.045514630157442656,0.01713226581522579,20
11. online shopping,GaussianCopula,MSE,0.09096549941390111,0.03824011932213211,20
11. online shopping,GaussianCopula,R2,0.8702923214202564,1.5734437755780557,20
11. online shopping,GaussianCopula,RMSE,0.0454381610002527,0.018659298915519165,20
11. online shopping,TVAE,MAE,0.06407896691130394,0.029642378234813468,20
11. online shopping,TVAE,MSE,0.11809686742980623,0.05630773836242927,20
11. online shopping,TVAE,R2,0.41366460233735214,0.17592542402885034,20
11. online shopping,TVAE,RMSE,0.057666104951295004,0.026669290332516367,20
11. online shopping,WGAN_GP,MAE,0.05484436438579281,0.06384707379203208,20
11. online shopping,WGAN_GP,MSE,0.09455392394968982,0.1211838098782578,20
11. online shopping,WGAN_GP,R2,0.14022820543212072,0.16735662664829495,20
11. online shopping,WGAN_GP,RMSE,0.04740624699310933,0.06076398867247777,20
12. Air Quality,CTABGAN,MAE,0.10109390732781134,0.03693349400662165,20
12. Air Quality,CTABGAN,MSE,0.30256773231171985,0.0749775608941286,20
12. Air Quality,CTABGAN,R2,1.041081265201017,1.3744004589063397,20
12. Air Quality,CTABGAN,RMSE,0.14681270295954438,0.03624406970762485,20
12. Air Quality,CTGAN,MAE,0.16883480517271401,0.013867677797541673,20
12. Air Quality,CTGAN,MSE,0.45964988998542894,0.058932610890390154,20
12. Air Quality,CTGAN,R2,1.4724256205145796,1.24946730228744,20
12. Air Quality,CTGAN,RMSE,0.21341156389840496,0.023653993349864955,20
12. Air Quality,CopulaGAN,MAE,0.16647079318580116,0.02874832681466954,20
12. Air Quality,CopulaGAN,MSE,0.44101566755192945,0.08355412482688696,20
12. Air Quality,CopulaGAN,R2,1.085406802721879,1.4985791709594596,20
12. Air Quality,CopulaGAN,RMSE,0.20691772145011617,0.036231047936558146,20
12. Air Quality,GaussianCopula,MAE,0.08143637713182739,0.011982262944465619,20
12. Air Quality,GaussianCopula,MSE,0.14490809733602028,0.04057360106141861,20
12. Air Quality,GaussianCopula,R2,0.1399021840866521,0.04941367319105716,20
