Dataset,Generator,Classifier,Metric,EvaluationType,Mean,Std,Count,CI_Low,CI_High
1. Cancer,CTABGAN,AdaBoost,Accuracy,TRTR,0.9666666666666666,0.01022974016639526,2,0.9593487513921694,0.9739845819411638
1. Cancer,CTABGAN,AdaBoost,Accuracy,TSTR,0.9017543859649122,0.01953601530817553,2,0.8877791624987149,0.9157296094311095
1. Cancer,CTABGAN,AdaBoost,F1,TRTR,0.9537824074424763,0.01443243582836966,2,0.9434580648024186,0.9641067500825341
1. Cancer,CTABGAN,AdaBoost,F1,TSTR,0.855874530926555,0.03178999432699447,2,0.8331333389434094,0.8786157229097006
1. Cancer,CTABGAN,AdaBoost,Precision,TRTR,0.9735489892977129,0.02210918228480495,2,0.9577330330645226,0.9893649455309033
1. Cancer,CTABGAN,AdaBoost,Precision,TSTR,0.9260588300235681,0.02213408798097265,2,0.9102250573286258,0.9418926027185105
1. Cancer,CTABGAN,AdaBoost,Recall,TRTR,0.9357142857142857,0.02827224306437598,2,0.9154895413904034,0.955939030038168
1. Cancer,CTABGAN,AdaBoost,Recall,TSTR,0.7976190476190477,0.05558389299966074,2,0.7578567259000234,0.837381369338072
1. Cancer,CTABGAN,Decision Tree,Accuracy,TRTR,0.9350877192982457,0.02045948033279054,2,0.9204518887492514,0.9497235498472401
1. Cancer,CTABGAN,Decision Tree,Accuracy,TSTR,0.7578947368421052,0.04336563892739744,2,0.7268728275527946,0.7889166461314158
1. Cancer,CTABGAN,Decision Tree,F1,TRTR,0.9122461606275634,0.02771502846045041,2,0.8924200236187168,0.93207229763641
1. Cancer,CTABGAN,Decision Tree,F1,TSTR,0.6693514026531157,0.05402161785621416,2,0.6307066652470098,0.7079961400592215
1. Cancer,CTABGAN,Decision Tree,Precision,TRTR,0.9096981560397401,0.03732307542896939,2,0.8829988362789032,0.9363974758005771
1. Cancer,CTABGAN,Decision Tree,Precision,TSTR,0.6794508269659855,0.07365746202200889,2,0.6267594528309676,0.7321422011010034
1. Cancer,CTABGAN,Decision Tree,Recall,TRTR,0.9166666666666666,0.04158154570612613,2,0.8869210207841195,0.9464123125492138
1. Cancer,CTABGAN,Decision Tree,Recall,TSTR,0.6642857142857144,0.0642857142857143,2,0.6182984846150353,0.7102729439563934
1. Cancer,CTABGAN,Extra Trees,Accuracy,TRTR,0.9701754385964912,0.01189882453179872,2,0.9616635322945255,0.978687344898457
1. Cancer,CTABGAN,Extra Trees,Accuracy,TSTR,0.9061403508771928,0.01180142460269623,2,0.8976981202871533,0.9145825814672323
1. Cancer,CTABGAN,Extra Trees,F1,TRTR,0.9589899381997989,0.01652286372603384,2,0.9471701935266764,0.9708096828729215
1. Cancer,CTABGAN,Extra Trees,F1,TSTR,0.8670785594154807,0.01825087246674648,2,0.8540226717560812,0.8801344470748803
1. Cancer,CTABGAN,Extra Trees,Precision,TRTR,0.971542217000243,0.02506278422086412,2,0.9536133812245523,0.9894710527759337
1. Cancer,CTABGAN,Extra Trees,Precision,TSTR,0.9070975390638433,0.03654131664813196,2,0.8809574558456954,0.9332376222819911
1. Cancer,CTABGAN,Extra Trees,Recall,TRTR,0.9476190476190476,0.02776643759450141,2,0.9277561347311267,0.9674819605069684
1. Cancer,CTABGAN,Extra Trees,Recall,TSTR,0.8333333333333334,0.04517539514526257,2,0.8010168024354176,0.8656498642312491
1. Cancer,CTABGAN,Gradient Boosting,Accuracy,TRTR,0.9631578947368421,0.0203084857943688,2,0.9486300791736743,0.97768571030001
1. Cancer,CTABGAN,Gradient Boosting,Accuracy,TSTR,0.8991228070175439,0.02609556979060266,2,0.8804551609521356,0.9177904530829522
1. Cancer,CTABGAN,Gradient Boosting,F1,TRTR,0.9494212600983015,0.02779434087071402,2,0.9295383864090423,0.9693041337875608
1. Cancer,CTABGAN,Gradient Boosting,F1,TSTR,0.8522313061703468,0.03857736646535725,2,0.8246347206545105,0.8798278916861831
1. Cancer,CTABGAN,Gradient Boosting,Precision,TRTR,0.9620305430373497,0.0358379580625646,2,0.9363936122407736,0.9876674738339258
1. Cancer,CTABGAN,Gradient Boosting,Precision,TSTR,0.9271201677683877,0.05313421170876241,2,0.889110242478278,0.9651300930584974
1. Cancer,CTABGAN,Gradient Boosting,Recall,TRTR,0.938095238095238,0.03400680204068023,2,0.913768237404859,0.962422238785617
1. Cancer,CTABGAN,Gradient Boosting,Recall,TSTR,0.7904761904761904,0.04738035414793427,2,0.7565823269282924,0.8243700540240885
1. Cancer,CTABGAN,KNN,Accuracy,TRTR,0.962280701754386,0.01883413206454726,2,0.9488075753137156,0.9757538281950563
1. Cancer,CTABGAN,KNN,Accuracy,TSTR,0.8938596491228072,0.01939767051534734,2,0.8799833915595672,0.9077359066860473
1. Cancer,CTABGAN,KNN,F1,TRTR,0.947074373024434,0.02672761688789936,2,0.9279545877030646,0.9661941583458034
1. Cancer,CTABGAN,KNN,F1,TSTR,0.8454105927840614,0.0277253445241511,2,0.8255770761078038,0.8652441094603189
1. Cancer,CTABGAN,KNN,Precision,TRTR,0.9751404010156286,0.02459125532957641,2,0.9575488766886936,0.9927319253425636
1. Cancer,CTABGAN,KNN,Precision,TSTR,0.9156654475332268,0.0527838012277689,2,0.8779061908006265,0.953424704265827
1. Cancer,CTABGAN,KNN,Recall,TRTR,0.9214285714285715,0.03991203479581002,2,0.8928772217053419,0.9499799211518011
1. Cancer,CTABGAN,KNN,Recall,TSTR,0.7880952380952381,0.04185332340773083,2,0.7581551741569543,0.8180353020335218
1. Cancer,CTABGAN,Logistic Regression,Accuracy,TRTR,0.9789473684210526,0.009768007654087744,2,0.971959756687954,0.9859349801541512
1. Cancer,CTABGAN,Logistic Regression,Accuracy,TSTR,0.9122807017543859,0.01881369349958528,2,0.8988221961823096,0.9257392073264622
1. Cancer,CTABGAN,Logistic Regression,F1,TRTR,0.9707868770215718,0.0137941861874265,2,0.9609191106699073,0.9806546433732364
1. Cancer,CTABGAN,Logistic Regression,F1,TSTR,0.8737410603599367,0.0285457022292561,2,0.8533206951339516,0.8941614255859218
1. Cancer,CTABGAN,Logistic Regression,Precision,TRTR,0.9901768962744573,0.01203823054760635,2,0.9815652649163472,0.9987885276325673
1. Cancer,CTABGAN,Logistic Regression,Precision,TSTR,0.9284494994169916,0.04161343129989816,2,0.8986810439547381,0.9582179548792451
1. Cancer,CTABGAN,Logistic Regression,Recall,TRTR,0.9523809523809523,0.02129588549999798,2,0.9371467936193918,0.9676151111425129
1. Cancer,CTABGAN,Logistic Regression,Recall,TSTR,0.8285714285714285,0.05614202915500762,2,0.788409840299195,0.868733016843662
1. Cancer,CTABGAN,MLP,Accuracy,TRTR,0.974561403508772,0.01327433855300136,2,0.9650655137524552,0.9840572932650887
1. Cancer,CTABGAN,MLP,Accuracy,TSTR,0.8640350877192982,0.02488817712124755,2,0.8462311583381528,0.8818390171004435
1. Cancer,CTABGAN,MLP,F1,TRTR,0.9646057122906845,0.01869298955577862,2,0.9512335531183903,0.9779778714629787
1. Cancer,CTABGAN,MLP,F1,TSTR,0.804117565368548,0.02963523974201991,2,0.7829177919584739,0.825317338778622
1. Cancer,CTABGAN,MLP,Precision,TRTR,0.985467661474468,0.0191919907367019,2,0.971738538361304,0.999196784587632
1. Cancer,CTABGAN,MLP,Precision,TSTR,0.8697537046623731,0.07912149066706596,2,0.8131535999015955,0.9263538094231507
1. Cancer,CTABGAN,MLP,Recall,TRTR,0.9452380952380952,0.03021089890583217,2,0.9236265200696926,0.9668496704064978
1. Cancer,CTABGAN,MLP,Recall,TSTR,0.7547619047619047,0.05112121560377116,2,0.7181919901372281,0.7913318193865814
1. Cancer,CTABGAN,Naive Bayes,Accuracy,TRTR,0.9324561403508772,0.02322491630679601,2,0.9158420360798095,0.9490702446219449
1. Cancer,CTABGAN,Naive Bayes,Accuracy,TSTR,0.8903508771929826,0.01931817153118003,2,0.8765314897770856,0.9041702646088795
1. Cancer,CTABGAN,Naive Bayes,F1,TRTR,0.9055642341410918,0.0327534076549362,2,0.8821338577804818,0.9289946105017017
1. Cancer,CTABGAN,Naive Bayes,F1,TSTR,0.8385081659348002,0.03058070449053411,2,0.816632047787508,0.8603842840820923
1. Cancer,CTABGAN,Naive Bayes,Precision,TRTR,0.931024002484766,0.03636585629143303,2,0.9050094360445099,0.9570385689250221
1. Cancer,CTABGAN,Naive Bayes,Precision,TSTR,0.9144546083013576,0.03389474826699133,2,0.890207766051829,0.9387014505508862
1. Cancer,CTABGAN,Naive Bayes,Recall,TRTR,0.8833333333333332,0.05156287578025646,2,0.8464474740513078,0.9202191926153586
1. Cancer,CTABGAN,Naive Bayes,Recall,TSTR,0.7761904761904763,0.04902681019517618,2,0.7411188089387775,0.8112621434421752
1. Cancer,CTABGAN,Random Forest,Accuracy,TRTR,0.962280701754386,0.0136176971019825,2,0.9525391880888254,0.9720222154199465
1. Cancer,CTABGAN,Random Forest,Accuracy,TSTR,0.9052631578947368,0.02280701754385965,2,0.8889480003897395,0.921578315399734
1. Cancer,CTABGAN,Random Forest,F1,TRTR,0.9482304799188631,0.01843776018375915,2,0.9350409008404541,0.9614200589972721
1. Cancer,CTABGAN,Random Forest,F1,TSTR,0.8640459619422799,0.03145715180130354,2,0.8415428711584939,0.8865490527260659
1. Cancer,CTABGAN,Random Forest,Precision,TRTR,0.9617923931806518,0.02967466301692189,2,0.9405644180586199,0.9830203683026837
1. Cancer,CTABGAN,Random Forest,Precision,TSTR,0.9206922625825065,0.05312039008380935,2,0.8826922246872589,0.958692300477754
1. Cancer,CTABGAN,Random Forest,Recall,TRTR,0.9357142857142857,0.0214285714285714,2,0.9203852091573927,0.9510433622711787
1. Cancer,CTABGAN,Random Forest,Recall,TSTR,0.8166666666666667,0.04265826873135455,2,0.7861507795321857,0.8471825538011476
1. Cancer,CTABGAN,SVM-RBF,Accuracy,TRTR,0.9701754385964912,0.01889531511275264,2,0.9566585444397578,0.9836923327532247
1. Cancer,CTABGAN,SVM-RBF,Accuracy,TSTR,0.8964912280701756,0.02246710258748367,2,0.8804192310766706,0.9125632250636805
1. Cancer,CTABGAN,SVM-RBF,F1,TRTR,0.9583987428081452,0.02694607072359247,2,0.9391226850267731,0.9776748005895173
1. Cancer,CTABGAN,SVM-RBF,F1,TSTR,0.8501734642388644,0.03347126121661525,2,0.826229566375419,0.8741173621023098
1. Cancer,CTABGAN,SVM-RBF,Precision,TRTR,0.975500670827118,0.01929000486040976,2,0.9617014326336752,0.9892999090205608
1. Cancer,CTABGAN,SVM-RBF,Precision,TSTR,0.9094824920739555,0.03690452500346305,2,0.8830825852505089,0.9358823988974021
1. Cancer,CTABGAN,SVM-RBF,Recall,TRTR,0.9428571428571428,0.04416008807378907,2,0.9112669188845045,0.9744473668297812
1. Cancer,CTABGAN,SVM-RBF,Recall,TSTR,0.8,0.04902681019517619,2,0.7649283327483012,0.8350716672516989
1. Cancer,CTGAN,AdaBoost,Accuracy,TRTR,0.9666666666666666,0.01022974016639526,2,0.9593487513921694,0.9739845819411638
1. Cancer,CTGAN,AdaBoost,Accuracy,TSTR,0.7254385964912281,0.02513429610858667,2,0.7074586041927948,0.7434185887896614
1. Cancer,CTGAN,AdaBoost,F1,TRTR,0.9537824074424763,0.01443243582836966,2,0.9434580648024186,0.9641067500825341
1. Cancer,CTGAN,AdaBoost,F1,TSTR,0.7066383070371282,0.02622587045779307,2,0.6878774494895903,0.725399164584666
1. Cancer,CTGAN,AdaBoost,Precision,TRTR,0.9735489892977129,0.02210918228480495,2,0.9577330330645226,0.9893649455309033
1. Cancer,CTGAN,AdaBoost,Precision,TSTR,0.5843282264066113,0.02594956660915364,2,0.5657650247253488,0.6028914280878738
1. Cancer,CTGAN,AdaBoost,Recall,TRTR,0.9357142857142857,0.02827224306437598,2,0.9154895413904034,0.955939030038168
1. Cancer,CTGAN,AdaBoost,Recall,TSTR,0.9,0.07438333024673004,2,0.8467893710175903,0.9532106289824097
1. Cancer,CTGAN,Decision Tree,Accuracy,TRTR,0.9350877192982457,0.02045948033279054,2,0.9204518887492514,0.9497235498472401
1. Cancer,CTGAN,Decision Tree,Accuracy,TSTR,0.6421052631578947,0.04671412966910297,2,0.6086879878918672,0.6755225384239223
1. Cancer,CTGAN,Decision Tree,F1,TRTR,0.9122461606275634,0.02771502846045041,2,0.8924200236187168,0.93207229763641
1. Cancer,CTGAN,Decision Tree,F1,TSTR,0.5725381460270876,0.07484603595573021,2,0.5189965173203044,0.6260797747338709
1. Cancer,CTGAN,Decision Tree,Precision,TRTR,0.9096981560397401,0.03732307542896939,2,0.8829988362789032,0.9363974758005771
1. Cancer,CTGAN,Decision Tree,Precision,TSTR,0.5140981364718435,0.05412269457356239,2,0.475381093137948,0.552815179805739
1. Cancer,CTGAN,Decision Tree,Recall,TRTR,0.9166666666666666,0.04158154570612613,2,0.8869210207841195,0.9464123125492138
1. Cancer,CTGAN,Decision Tree,Recall,TSTR,0.6666666666666667,0.1456084271563872,2,0.562504672730245,0.7708286606030885
1. Cancer,CTGAN,Extra Trees,Accuracy,TRTR,0.9701754385964912,0.01189882453179872,2,0.9616635322945255,0.978687344898457
1. Cancer,CTGAN,Extra Trees,Accuracy,TSTR,0.7035087719298245,0.02712214883112335,2,0.6841067554582368,0.7229107884014122
1. Cancer,CTGAN,Extra Trees,F1,TRTR,0.9589899381997989,0.01652286372603384,2,0.9471701935266764,0.9708096828729215
1. Cancer,CTGAN,Extra Trees,F1,TSTR,0.6863330842765026,0.02683187254311334,2,0.6671387189521876,0.7055274496008177
1. Cancer,CTGAN,Extra Trees,Precision,TRTR,0.971542217000243,0.02506278422086412,2,0.9536133812245523,0.9894710527759337
1. Cancer,CTGAN,Extra Trees,Precision,TSTR,0.5632094750718591,0.02550146867181092,2,0.5449668233446339,0.5814521267990844
1. Cancer,CTGAN,Extra Trees,Recall,TRTR,0.9476190476190476,0.02776643759450141,2,0.9277561347311267,0.9674819605069684
1. Cancer,CTGAN,Extra Trees,Recall,TSTR,0.880952380952381,0.05323971374999498,2,0.8428669840484797,0.9190377778562824
1. Cancer,CTGAN,Gradient Boosting,Accuracy,TRTR,0.9631578947368421,0.0203084857943688,2,0.9486300791736743,0.97768571030001
1. Cancer,CTGAN,Gradient Boosting,Accuracy,TSTR,0.6956140350877192,0.05100558512318116,2,0.6591268375258754,0.7321012326495631
1. Cancer,CTGAN,Gradient Boosting,F1,TRTR,0.9494212600983015,0.02779434087071402,2,0.9295383864090423,0.9693041337875608
1. Cancer,CTGAN,Gradient Boosting,F1,TSTR,0.6803525981791595,0.03538217252110418,2,0.6550417167173167,0.7056634796410023
1. Cancer,CTGAN,Gradient Boosting,Precision,TRTR,0.9620305430373497,0.0358379580625646,2,0.9363936122407736,0.9876674738339258
1. Cancer,CTGAN,Gradient Boosting,Precision,TSTR,0.5599249455528891,0.04552000035223773,2,0.5273618989403241,0.592487992165454
1. Cancer,CTGAN,Gradient Boosting,Recall,TRTR,0.938095238095238,0.03400680204068023,2,0.913768237404859,0.962422238785617
1. Cancer,CTGAN,Gradient Boosting,Recall,TSTR,0.8738095238095237,0.05639390134441432,2,0.8334677570271718,0.9141512905918756
1. Cancer,CTGAN,KNN,Accuracy,TRTR,0.962280701754386,0.01883413206454726,2,0.9488075753137156,0.9757538281950563
1. Cancer,CTGAN,KNN,Accuracy,TSTR,0.6140350877192982,0.05407380704358751,2,0.5753530164175868,0.6527171590210095
1. Cancer,CTGAN,KNN,F1,TRTR,0.947074373024434,0.02672761688789936,2,0.9279545877030646,0.9661941583458034
1. Cancer,CTGAN,KNN,F1,TSTR,0.6243262154795239,0.03597395730127182,2,0.5985919966883295,0.6500604342707184
1. Cancer,CTGAN,KNN,Precision,TRTR,0.9751404010156286,0.02459125532957641,2,0.9575488766886936,0.9927319253425636
1. Cancer,CTGAN,KNN,Precision,TSTR,0.490045443189898,0.04018018602689914,2,0.4613022696316595,0.5187886167481365
1. Cancer,CTGAN,KNN,Recall,TRTR,0.9214285714285715,0.03991203479581002,2,0.8928772217053419,0.9499799211518011
1. Cancer,CTGAN,KNN,Recall,TSTR,0.8666666666666666,0.06042179781166439,2,0.8234435163298612,0.9098898170034719
1. Cancer,CTGAN,Logistic Regression,Accuracy,TRTR,0.9789473684210526,0.009768007654087744,2,0.971959756687954,0.9859349801541512
