Dataset,Generator,RegressionModel,Metric,EvaluationType,Mean,Std,Count,CI_Low,CI_High
10. Metro interstate,CTABGAN,Decision Tree,MAE,TRTR,2310.0295,15.72897778782836,2,2298.7776671153397,2321.2813328846605
10. Metro interstate,CTABGAN,Decision Tree,MAE,TSTR,1953.899,11.05623168172592,2,1945.9898483122702,1961.8081516877296
10. Metro interstate,CTABGAN,Decision Tree,MSE,TRTR,8208006.922500001,59934.21790229055,2,8165132.565818587,8250881.279181415
10. Metro interstate,CTABGAN,Decision Tree,MSE,TSTR,4950307.804,43549.75252177661,2,4919154.187779464,4981461.420220535
10. Metro interstate,CTABGAN,Decision Tree,R2,TRTR,-0.9713685668840988,0.01439477748605155,2,-0.9816659703689112,-0.9610711633992863
10. Metro interstate,CTABGAN,Decision Tree,R2,TSTR,-0.188946512027829,0.01045961754511565,2,-0.1964288716727243,-0.1814641523829337
10. Metro interstate,CTABGAN,Decision Tree,RMSE,TRTR,2864.942789556814,10.47545065489349,2,2857.449103587496,2872.436475526132
10. Metro interstate,CTABGAN,Decision Tree,RMSE,TSTR,2224.90722759481,9.77919201032155,2,2217.9116150552404,2231.90284013438
10. Metro interstate,CTABGAN,ElasticNet,MAE,TRTR,1758.370734499451,2.273736754432321e-13,2,1758.3707344994507,1758.3707344994511
10. Metro interstate,CTABGAN,ElasticNet,MAE,TSTR,1940.122285194705,2.273736754432321e-13,2,1940.1222851947048,1940.1222851947052
10. Metro interstate,CTABGAN,ElasticNet,MSE,TRTR,3965376.037678151,4.656612873077393e-10,2,3965376.0376781505,3965376.0376781514
10. Metro interstate,CTABGAN,ElasticNet,MSE,TSTR,4598925.393138594,0.0,2,4598925.393138594,4598925.393138594
10. Metro interstate,CTABGAN,ElasticNet,R2,TRTR,0.04761073542404515,0.0,2,0.04761073542404515,0.04761073542404515
10. Metro interstate,CTABGAN,ElasticNet,R2,TSTR,-0.1045527918143054,0.0,2,-0.1045527918143054,-0.1045527918143054
10. Metro interstate,CTABGAN,ElasticNet,RMSE,TRTR,1991.325196365011,2.273736754432321e-13,2,1991.3251963650107,1991.3251963650112
10. Metro interstate,CTABGAN,ElasticNet,RMSE,TSTR,2144.510525303756,4.547473508864641e-13,2,2144.5105253037555,2144.5105253037564
10. Metro interstate,CTABGAN,Extra Trees,MAE,TRTR,2061.444175,5.576672910089378,2,2057.4548635213296,2065.4334864786706
10. Metro interstate,CTABGAN,Extra Trees,MAE,TSTR,1925.546025,3.388333042681205,2,1923.1221575581296,1927.9698924418706
10. Metro interstate,CTABGAN,Extra Trees,MSE,TRTR,6416983.235944,30384.24166944314,2,6395247.658832545,6438718.813055455
10. Metro interstate,CTABGAN,Extra Trees,MSE,TSTR,4609481.545782549,21301.4447769045,2,4594243.410153861,4624719.681411237
10. Metro interstate,CTABGAN,Extra Trees,R2,TRTR,-0.5412071608864082,0.007297574127472355,2,-0.5464275309354574,-0.535986790837359
10. Metro interstate,CTABGAN,Extra Trees,R2,TSTR,-0.1070881292849014,0.005116101760013686,2,-0.11074796801066629,-0.10342829055913651
10. Metro interstate,CTABGAN,Extra Trees,RMSE,TRTR,2533.169405018528,6.000118505373926,2,2528.8771788089603,2537.4616312280955
10. Metro interstate,CTABGAN,Extra Trees,RMSE,TSTR,2146.964585233166,4.961404753423688,2,2143.4154100794008,2150.513760386931
10. Metro interstate,CTABGAN,Gradient Boosting,MAE,TRTR,1763.437489811155,0.6369617895430053,2,1762.9818347961548,1763.8931448261553
10. Metro interstate,CTABGAN,Gradient Boosting,MAE,TSTR,1876.81919411789,1.475666041837853,2,1875.7635662239288,1877.8748220118512
10. Metro interstate,CTABGAN,Gradient Boosting,MSE,TRTR,4053008.861264782,4338.1754980025,2,4049905.5174628966,4056112.2050666674
10. Metro interstate,CTABGAN,Gradient Boosting,MSE,TSTR,4414112.079140367,8065.74640030407,2,4408342.191750959,4419881.966529775
10. Metro interstate,CTABGAN,Gradient Boosting,R2,TRTR,0.02656340987021049,0.001041926852052933,2,0.025818060301059733,0.027308759439361247
10. Metro interstate,CTABGAN,Gradient Boosting,R2,TSTR,-0.06016501760823621,0.001937200963906471,2,-0.06155080769605398,-0.05877922752041845
10. Metro interstate,CTABGAN,Gradient Boosting,RMSE,TRTR,2013.208310339395,1.077239612232584,2,2012.4376995433802,2013.9789211354098
10. Metro interstate,CTABGAN,Gradient Boosting,RMSE,TSTR,2100.977961266706,1.91974268170388,2,2099.604660081629,2102.3512624517834
10. Metro interstate,CTABGAN,KNN,MAE,TRTR,1939.979,2.273736754432321e-13,2,1939.9789999999998,1939.9790000000003
10. Metro interstate,CTABGAN,KNN,MAE,TSTR,1929.64,0.0,2,1929.64,1929.64
10. Metro interstate,CTABGAN,KNN,MSE,TRTR,4893854.9594,9.313225746154785e-10,2,4893854.959399999,4893854.959400001
10. Metro interstate,CTABGAN,KNN,MSE,TSTR,4586737.6492,0.0,2,4586737.6492,4586737.6492
10. Metro interstate,CTABGAN,KNN,R2,TRTR,-0.1753878778299749,0.0,2,-0.1753878778299749,-0.1753878778299749
10. Metro interstate,CTABGAN,KNN,R2,TSTR,-0.1016255848164758,0.0,2,-0.1016255848164758,-0.1016255848164758
10. Metro interstate,CTABGAN,KNN,RMSE,TRTR,2212.205903481862,4.547473508864641e-13,2,2212.2059034818617,2212.2059034818626
10. Metro interstate,CTABGAN,KNN,RMSE,TSTR,2141.667025753537,0.0,2,2141.667025753537,2141.667025753537
10. Metro interstate,CTABGAN,Lasso,MAE,TRTR,1768.235888101171,0.0,2,1768.235888101171,1768.235888101171
10. Metro interstate,CTABGAN,Lasso,MAE,TSTR,1933.057054418757,0.0,2,1933.057054418757,1933.057054418757
10. Metro interstate,CTABGAN,Lasso,MSE,TRTR,4071408.98231644,0.0,2,4071408.98231644,4071408.98231644
10. Metro interstate,CTABGAN,Lasso,MSE,TSTR,4604318.191357731,0.0,2,4604318.191357731,4604318.191357731
10. Metro interstate,CTABGAN,Lasso,R2,TRTR,0.02214413724890374,0.0,2,0.02214413724890374,0.02214413724890374
10. Metro interstate,CTABGAN,Lasso,R2,TSTR,-0.10584801402807,0.0,2,-0.10584801402807,-0.10584801402807
10. Metro interstate,CTABGAN,Lasso,RMSE,TRTR,2017.773273268441,2.273736754432321e-13,2,2017.7732732684408,2017.7732732684412
