,Dataset,Generator,LeakageLevel,UtilityScore,FidelityScore,PrivacyScore,OverallScore,OverallRank
3,1. Cancer,ForestDiffusion,0.0,0.968362898094103,0.26481773991418645,0.7458789484729241,0.6905541657537744,1.0
0,1. Cancer,CTABGAN,0.0,0.8534899925686222,0.5133862651733053,0.5363147907251201,0.6563063137969766,2.0
5,1. Cancer,TVAE,0.0,0.9230599709384475,0.41377407517736103,0.4877173849809624,0.639671426422876,3.0
4,1. Cancer,GaussianCopula,0.0,0.8200940787089187,0.3928241452145236,0.6147824256659962,0.6303196027477234,4.0
7,1. Cancer,WGAN_GP,0.0,0.9355254935904923,0.25572457800256904,0.5695028378343651,0.6217784221872772,5.0
1,1. Cancer,CTGAN,0.0,0.7038964675556111,0.4750360720991947,0.3123008246014149,0.5177596560324272,6.0
6,1. Cancer,TabDDPM,0.0,0.3220413157082996,0.5143939653183046,0.4597927818721145,0.42107255044044556,7.0
2,1. Cancer,CopulaGAN,0.0,0.37296538804801294,0.36828778723365513,0.3801171918778428,0.3737076489526545,8.0
8,10. Metro interstate,CTABGAN,0.0,0.9399597499014992,0.45858735906828496,0.7113235532065184,0.7269571736430407,1.0
9,10. Metro interstate,CTGAN,0.0,0.8773685893883063,0.3734824139057936,0.7786663687040103,0.6965920705382638,2.0
10,10. Metro interstate,CopulaGAN,0.0,0.8979505812048606,0.34355506972599437,0.7754566926994574,0.6948837612095797,3.0
11,10. Metro interstate,ForestDiffusion,0.0,0.7052483624403703,0.4383017086081278,0.7439649990770882,0.6367793572817129,4.0
13,10. Metro interstate,TVAE,0.0,0.6740887581642043,0.37838531755465316,0.7854913260309208,0.6187984963413539,5.0
14,10. Metro interstate,TabDDPM,0.0,0.7052483624403703,0.41730074439986403,0.642409758486254,0.6000124958419836,6.0
12,10. Metro interstate,GaussianCopula,0.0,0.8414270282303005,0.4580641007946412,0.29643199808375437,0.5629196409556388,7.0
15,10. Metro interstate,WGAN_GP,0.0,0.0006954677530511713,0.3949824318262284,0.6602574708378628,0.3168501579004478,8.0
21,11. online shopping,TVAE,0.0,0.9879809613176838,0.43247625616904317,0.6249361266393793,0.7124160993696003,1.0
16,11. online shopping,CTABGAN,0.0,0.9920558858425872,0.5329370922641098,0.5128019762847633,0.7105440749016968,2.0
17,11. online shopping,CTGAN,0.0,0.9900296390030804,0.44082724507563614,0.6028094656313264,0.709102868813321,3.0
20,11. online shopping,GaussianCopula,0.0,0.9969080151759588,0.3467946297249161,0.682902230931196,0.7076722642672172,4.0
18,11. online shopping,CopulaGAN,0.0,0.987674669512182,0.42914074811259334,0.6069439495966559,0.7058952771176475,5.0
19,11. online shopping,ForestDiffusion,0.0,0.9714738983744148,0.3331927261645126,0.7153167456715835,0.7031424009005948,6.0
23,11. online shopping,WGAN_GP,0.0,0.8741942193949968,0.35777802560303545,0.7034452062090623,0.6680446573016281,7.0
22,11. online shopping,TabDDPM,0.0,0.9714738983744148,0.6318636445285204,0.2301557735557487,0.6471953847750467,8.0
