Metric,Generator_A,Generator_B,Cohens_d,Cliffs_Delta
Accuracy,CTABGAN,CTGAN,2.835989754011951,0.96
Accuracy,CTABGAN,CopulaGAN,7.36715014045209,1.0
Accuracy,CTABGAN,ForestDiffusion,-2.2014535600157767,-1.0
Accuracy,CTABGAN,GaussianCopula,0.3956613490118471,0.24
Accuracy,CTABGAN,TVAE,-1.2377791940760523,-0.78
Accuracy,CTABGAN,TabDDPM,4.3738964396363045,1.0
Accuracy,CTABGAN,WGAN_GP,-1.6794807610987879,-0.94
Accuracy,CTGAN,CopulaGAN,4.547977436410412,1.0
Accuracy,CTGAN,ForestDiffusion,-4.838875313323761,-1.0
Accuracy,CTGAN,GaussianCopula,-2.1283777584263253,-0.86
Accuracy,CTGAN,TVAE,-4.168392718135426,-1.0
Accuracy,CTGAN,TabDDPM,2.2759298627934936,0.98
Accuracy,CTGAN,WGAN_GP,-4.529252217430606,-1.0
Accuracy,CopulaGAN,ForestDiffusion,-9.253177426509794,-1.0
Accuracy,CopulaGAN,GaussianCopula,-6.404445138440472,-1.0
Accuracy,CopulaGAN,TVAE,-8.753407018460162,-1.0
Accuracy,CopulaGAN,TabDDPM,-1.4856160007178212,-0.72
Accuracy,CopulaGAN,WGAN_GP,-9.070291437181373,-1.0
Accuracy,ForestDiffusion,GaussianCopula,2.0832564974153196,1.0
Accuracy,ForestDiffusion,TVAE,1.689649112411778,0.73
Accuracy,ForestDiffusion,TabDDPM,5.621263395212342,1.0
Accuracy,ForestDiffusion,WGAN_GP,1.2294321124063814,0.64
Accuracy,GaussianCopula,TVAE,-1.3693389828158262,-0.82
Accuracy,GaussianCopula,TabDDPM,3.8389849223151518,1.0
Accuracy,GaussianCopula,WGAN_GP,-1.678025582700917,-0.94
Accuracy,TVAE,TabDDPM,5.199115736935116,1.0
Accuracy,TVAE,WGAN_GP,-0.7650738817125796,-0.49
Accuracy,TabDDPM,WGAN_GP,-5.406279118336892,-1.0
