Metric,Generator_A,Generator_B,p_raw,p_holm,p_bh,Cohens_d
Accuracy,CTABGAN,CTGAN,2.2258923443954824e-05,0.00031162492821536756,4.154999042871567e-05,2.835989754011951
Accuracy,CTABGAN,CopulaGAN,1.639351827843666e-07,4.098379569609165e-06,1.1475462794905664e-06,7.36715014045209
Accuracy,CTABGAN,ForestDiffusion,3.985419846290601e-05,0.0005181045800177781,6.974484731008553e-05,-2.2014535600157767
Accuracy,CTABGAN,GaussianCopula,0.05829358745159827,0.05829358745159827,0.05829358745159827,0.3956613490118471
Accuracy,CTABGAN,TVAE,0.002736118271297562,0.01368059135648781,0.0031921379831804896,-1.2377791940760523
Accuracy,CTABGAN,TabDDPM,7.301366728240721e-06,0.00012412323438009226,1.7036522365895017e-05,4.3738964396363045
Accuracy,CTABGAN,WGAN_GP,0.0004873700046334088,0.0034115900324338615,0.0006202890968061566,-1.6794807610987879
Accuracy,CTGAN,CopulaGAN,1.022956756255077e-05,0.00016367308100081232,2.203291475010935e-05,4.547977436410412
Accuracy,CTGAN,ForestDiffusion,1.4521294754206966e-06,2.904258950841393e-05,4.517736145753278e-06,-4.838875313323761
Accuracy,CTGAN,GaussianCopula,5.422277707703474e-05,0.0006506733249244168,8.93081034209984e-05,-2.1283777584263253
Accuracy,CTGAN,TVAE,2.6406014464814964e-06,4.753082603666694e-05,6.721530954680173e-06,-4.168392718135426
Accuracy,CTGAN,TabDDPM,0.00012279200076147044,0.0012279200076147044,0.0001809566327011143,2.2759298627934936
Accuracy,CTGAN,WGAN_GP,2.025980634662165e-06,3.849363205858114e-05,5.672745777054062e-06,-4.529252217430606
Accuracy,CopulaGAN,ForestDiffusion,1.3910176949349672e-08,3.894849545817908e-07,1.7474358505977373e-07,-9.253177426509794
Accuracy,CopulaGAN,GaussianCopula,2.494732820414001e-07,5.987358768993602e-06,1.3970503794318403e-06,-6.404445138440472
Accuracy,CopulaGAN,TVAE,1.8722526970690043e-08,4.867857012379411e-07,1.7474358505977373e-07,-8.753407018460162
Accuracy,CopulaGAN,TabDDPM,0.013513547529707983,0.02831093940825941,0.014014049290067538,-1.4856160007178212
Accuracy,CopulaGAN,WGAN_GP,1.525346547969492e-08,4.118435679517628e-07,1.7474358505977373e-07,-9.070291437181373
Accuracy,ForestDiffusion,GaussianCopula,0.00033740203593838865,0.002699216287507109,0.00044986938125118485,2.0832564974153196
Accuracy,ForestDiffusion,TVAE,7.621988478605797e-05,0.0008384187326466378,0.00011856426522275684,1.689649112411778
Accuracy,ForestDiffusion,TabDDPM,3.699786986481448e-07,8.50951006890733e-06,1.7265672603580092e-06,5.621263395212342
Accuracy,ForestDiffusion,WGAN_GP,0.00016436232891576773,0.0014792609602419097,0.00023010726048207483,1.2294321124063814
Accuracy,GaussianCopula,TVAE,0.004850516511645744,0.019402066046582976,0.005432578493043233,-1.3693389828158262
Accuracy,GaussianCopula,TabDDPM,1.7776086862781928e-05,0.0002666413029417289,3.5552173725563856e-05,3.8389849223151518
Accuracy,GaussianCopula,WGAN_GP,0.0016914885441790513,0.010148931265074308,0.002059203445087541,-1.678025582700917
Accuracy,TVAE,TabDDPM,9.870325755186052e-07,2.0727684085890707e-05,3.4546140143151184e-06,5.199115736935116
Accuracy,TVAE,WGAN_GP,0.009436979802753136,0.02831093940825941,0.01016290132604184,-0.7650738817125796
Accuracy,TabDDPM,WGAN_GP,7.201035735272989e-07,1.5842278617600577e-05,2.8804142941091956e-06,-5.406279118336892
