Metric,Generator_A,Generator_B,p_raw,p_holm,p_bh,Cliffs_Delta
Accuracy,CTABGAN,CTGAN,0.001953125,0.0546875,0.0022786458333333335,0.96
Accuracy,CTABGAN,CopulaGAN,0.001953125,0.0546875,0.0022786458333333335,1.0
Accuracy,CTABGAN,ForestDiffusion,0.001953125,0.0546875,0.0022786458333333335,-1.0
Accuracy,CTABGAN,GaussianCopula,0.048828125,0.0546875,0.048828125,0.24
Accuracy,CTABGAN,TVAE,0.001953125,0.0546875,0.0022786458333333335,-0.78
Accuracy,CTABGAN,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,1.0
Accuracy,CTABGAN,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-0.94
Accuracy,CTGAN,CopulaGAN,0.001953125,0.0546875,0.0022786458333333335,1.0
Accuracy,CTGAN,ForestDiffusion,0.001953125,0.0546875,0.0022786458333333335,-1.0
Accuracy,CTGAN,GaussianCopula,0.001953125,0.0546875,0.0022786458333333335,-0.86
Accuracy,CTGAN,TVAE,0.001953125,0.0546875,0.0022786458333333335,-1.0
Accuracy,CTGAN,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,0.98
Accuracy,CTGAN,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-1.0
Accuracy,CopulaGAN,ForestDiffusion,0.001953125,0.0546875,0.0022786458333333335,-1.0
Accuracy,CopulaGAN,GaussianCopula,0.001953125,0.0546875,0.0022786458333333335,-1.0
Accuracy,CopulaGAN,TVAE,0.001953125,0.0546875,0.0022786458333333335,-1.0
Accuracy,CopulaGAN,TabDDPM,0.01953125,0.0546875,0.02025462962962963,-0.72
Accuracy,CopulaGAN,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-1.0
Accuracy,ForestDiffusion,GaussianCopula,0.001953125,0.0546875,0.0022786458333333335,1.0
Accuracy,ForestDiffusion,TVAE,0.001953125,0.0546875,0.0022786458333333335,0.73
Accuracy,ForestDiffusion,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,1.0
Accuracy,ForestDiffusion,WGAN_GP,0.00390625,0.0546875,0.004206730769230769,0.64
Accuracy,GaussianCopula,TVAE,0.001953125,0.0546875,0.0022786458333333335,-0.82
Accuracy,GaussianCopula,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,1.0
Accuracy,GaussianCopula,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-0.94
Accuracy,TVAE,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,1.0
Accuracy,TVAE,WGAN_GP,0.00390625,0.0546875,0.004206730769230769,-0.49
Accuracy,TabDDPM,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-1.0
