,Metric,Generator_A,Generator_B,Cohens_d,Cliffs_Delta
0,Accuracy,CTABGAN,CTGAN,2.835989754011951,0.96
1,Accuracy,CTABGAN,CopulaGAN,7.36715014045209,1.0
2,Accuracy,CTABGAN,ForestDiffusion,-2.2014535600157767,-1.0
3,Accuracy,CTABGAN,GaussianCopula,0.3956613490118471,0.24
4,Accuracy,CTABGAN,TVAE,-1.2377791940760523,-0.78
5,Accuracy,CTABGAN,TabDDPM,4.3738964396363045,1.0
6,Accuracy,CTABGAN,WGAN_GP,-1.6794807610987879,-0.94
7,Accuracy,CTGAN,CopulaGAN,4.547977436410412,1.0
8,Accuracy,CTGAN,ForestDiffusion,-4.838875313323761,-1.0
9,Accuracy,CTGAN,GaussianCopula,-2.1283777584263253,-0.86
10,Accuracy,CTGAN,TVAE,-4.168392718135426,-1.0
11,Accuracy,CTGAN,TabDDPM,2.2759298627934936,0.98
12,Accuracy,CTGAN,WGAN_GP,-4.529252217430606,-1.0
13,Accuracy,CopulaGAN,ForestDiffusion,-9.253177426509794,-1.0
14,Accuracy,CopulaGAN,GaussianCopula,-6.404445138440472,-1.0
15,Accuracy,CopulaGAN,TVAE,-8.753407018460162,-1.0
16,Accuracy,CopulaGAN,TabDDPM,-1.4856160007178212,-0.72
17,Accuracy,CopulaGAN,WGAN_GP,-9.070291437181373,-1.0
18,Accuracy,ForestDiffusion,GaussianCopula,2.0832564974153196,1.0
19,Accuracy,ForestDiffusion,TVAE,1.689649112411778,0.73
20,Accuracy,ForestDiffusion,TabDDPM,5.621263395212342,1.0
21,Accuracy,ForestDiffusion,WGAN_GP,1.2294321124063814,0.64
22,Accuracy,GaussianCopula,TVAE,-1.3693389828158262,-0.82
23,Accuracy,GaussianCopula,TabDDPM,3.8389849223151518,1.0
24,Accuracy,GaussianCopula,WGAN_GP,-1.678025582700917,-0.94
25,Accuracy,TVAE,TabDDPM,5.199115736935116,1.0
26,Accuracy,TVAE,WGAN_GP,-0.7650738817125796,-0.49
27,Accuracy,TabDDPM,WGAN_GP,-5.406279118336892,-1.0
