n,pearson_r,pearson_p,spearman_rho,spearman_p,r2,slope,intercept,interpretation,Figure,X,Y,Level
8,0.48347675138506163,0.22484056582774423,0.04761904761904763,0.9108491685195836,0.2337497691298527,0.45126685534872807,0.3190000918670097,No statistically significant relationship (p ≥ 0.05).,Accuracy/MIA/Figure01_fidelity_vs_utility_Accuracy,Fidelity,Utility,primary
8,-0.19231048676215945,0.6482095500386741,-0.4047619047619048,0.3198886412288162,0.036983323318698705,-0.20654635290719217,0.8049874615461604,No statistically significant relationship (p ≥ 0.05).,Accuracy/MIA/Figure02_privacy_vs_utility_Accuracy,Privacy,Utility,primary
8,0.6510655727282053,0.08035562103916914,0.5952380952380953,0.11952980613879259,0.423886379991906,0.749171855316536,0.3173866192345749,No statistically significant relationship (p ≥ 0.05).,Accuracy/MIA/Figure03_fidelity_vs_privacy_Accuracy,Privacy,Fidelity,primary
160,0.45479534336775906,1.526892133966574e-09,0.5336415815844076,3.708130505003968e-13,0.20683880434899787,0.48193084125713864,0.2948098253356109,Moderate positive correlation.,Accuracy/MIA/FigureS01_fidelity_vs_utility_Accuracy,Fidelity,Utility,supplementary
160,0.16471440475408278,0.0373979532773529,0.20166929671961317,0.010549834904722818,0.027130835133491807,0.15257047554447237,0.5789753328623506,Very weak positive correlation.,Accuracy/MIA/FigureS02_privacy_vs_utility_Accuracy,Privacy,Utility,supplementary
160,0.25901740276157864,0.0009420725971359556,0.1309786962394204,0.0987602831792562,0.06709001493335384,0.2264118495016178,0.6463884714017253,Weak positive correlation.,Accuracy/MIA/FigureS03_fidelity_vs_privacy_Accuracy,Privacy,Fidelity,supplementary
8,0.48347675138506163,0.22484056582774423,0.04761904761904763,0.9108491685195836,0.2337497691298527,0.45126685534872807,0.3190000918670097,No statistically significant relationship (p ≥ 0.05).,Accuracy/NNDR/Figure01_fidelity_vs_utility_Accuracy,Fidelity,Utility,primary
8,-0.3395075947549594,0.4106485849203673,0.023809523809523815,0.9553740118158807,0.11526540689629773,-0.007348574115366538,0.7287274708741657,No statistically significant relationship (p ≥ 0.05).,Accuracy/NNDR/Figure02_privacy_vs_utility_Accuracy,Privacy,Utility,primary
8,-0.9370405603922872,0.0005948210526397558,-0.9047619047619048,0.0020082755054294677,0.8780450118202917,-0.021729720164717723,0.9477647037858106,Strong negative correlation.,Accuracy/NNDR/Figure03_fidelity_vs_privacy_Accuracy,Privacy,Fidelity,primary
160,0.45479534336775906,1.526892133966574e-09,0.5336415815844076,3.708130505003968e-13,0.20683880434899787,0.48193084125713864,0.2948098253356109,Moderate positive correlation.,Accuracy/NNDR/FigureS01_fidelity_vs_utility_Accuracy,Fidelity,Utility,supplementary
160,-0.3664546613646278,1.8807766754719003e-06,-0.2240654707208198,0.004395156699218635,0.13428901883586403,-0.00885639902416997,0.7397523389594558,Weak negative correlation.,Accuracy/NNDR/FigureS02_privacy_vs_utility_Accuracy,Privacy,Utility,supplementary
160,-0.8933229758707777,9.302157854602794e-57,-0.6882352941176471,8.724794095644686e-24,0.7980259392186221,-0.02037401954291283,0.9378521334128979,Strong negative correlation.,Accuracy/NNDR/FigureS03_fidelity_vs_privacy_Accuracy,Privacy,Fidelity,supplementary
8,0.7051119703980784,0.05076561109448207,0.07142857142857144,0.8665262706759088,0.49718289079866057,0.698402595111687,0.1279818550884786,No statistically significant relationship (p ≥ 0.05).,F1/MIA/Figure01_fidelity_vs_utility_F1,Fidelity,Utility,primary
8,0.06722349964154586,0.8743351520256021,-0.261904761904762,0.530922861565801,0.004518998904056917,0.07661708016572728,0.6307197151177026,No statistically significant relationship (p ≥ 0.05).,F1/MIA/Figure02_privacy_vs_utility_F1,Privacy,Utility,primary
8,0.6510655727282053,0.08035562103916914,0.5952380952380953,0.11952980613879259,0.423886379991906,0.749171855316536,0.3173866192345749,No statistically significant relationship (p ≥ 0.05).,F1/MIA/Figure03_fidelity_vs_privacy_F1,Privacy,Fidelity,primary
160,0.6365347686066429,1.4820551880739917e-19,0.544620290617499,9.728613465300704e-14,0.4051765116451125,0.6455474554495653,0.16967832337541255,Moderate positive correlation.,F1/MIA/FigureS01_fidelity_vs_utility_F1,Fidelity,Utility,supplementary
160,0.19747712571179518,0.012313726534283826,0.23423308629189155,0.0028712449937647127,0.038997215179392156,0.17506246872693548,0.568762574529906,Very weak positive correlation.,F1/MIA/FigureS02_privacy_vs_utility_F1,Privacy,Utility,supplementary
160,0.25901740276157864,0.0009420725971359556,0.1309786962394204,0.0987602831792562,0.06709001493335384,0.2264118495016178,0.6463884714017253,Weak positive correlation.,F1/MIA/FigureS03_fidelity_vs_privacy_F1,Privacy,Fidelity,supplementary
8,0.7051119703980784,0.05076561109448207,0.07142857142857144,0.8665262706759088,0.49718289079866057,0.698402595111687,0.1279818550884786,No statistically significant relationship (p ≥ 0.05).,F1/NNDR/Figure01_fidelity_vs_utility_F1,Fidelity,Utility,primary
8,-0.5626264606524811,0.14655729623414973,0.023809523809523815,0.9553740118158807,0.3165485342263379,-0.01292300920900591,0.7734291549003169,No statistically significant relationship (p ≥ 0.05).,F1/NNDR/Figure02_privacy_vs_utility_F1,Privacy,Utility,primary
8,-0.9370405603922872,0.0005948210526397558,-0.9047619047619048,0.0020082755054294677,0.8780450118202917,-0.021729720164717723,0.9477647037858106,Strong negative correlation.,F1/NNDR/Figure03_fidelity_vs_privacy_F1,Privacy,Fidelity,primary
160,0.6365347686066429,1.4820551880739917e-19,0.544620290617499,9.728613465300704e-14,0.4051765116451125,0.6455474554495653,0.16967832337541255,Moderate positive correlation.,F1/NNDR/FigureS01_fidelity_vs_utility_F1,Fidelity,Utility,supplementary
160,-0.502869777548139,1.2322963653130354e-11,-0.1787416024130842,0.023732131106847545,0.2528780131713148,-0.011631341121337088,0.7639847756535061,Moderate negative correlation.,F1/NNDR/FigureS02_privacy_vs_utility_F1,Privacy,Utility,supplementary
160,-0.8933229758707777,9.302157854602794e-57,-0.6882352941176471,8.724794095644686e-24,0.7980259392186221,-0.02037401954291283,0.9378521334128979,Strong negative correlation.,F1/NNDR/FigureS03_fidelity_vs_privacy_F1,Privacy,Fidelity,supplementary
