Dataset,Generator,Seed,LeakageLevel,Metric,MetricValue,Classifier,Regressor,Category,EvaluationType,Mean,Std,TaskType,SourceFile,Experiment,Value,RegressionModel,Leakage,TrainingPercentage
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.999983352755119,Extra Trees,,Utility,TRTR,0.999983352755119,3.329448976194804e-05,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.999983352755119,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.5475944731146996,Extra Trees,,Utility,TSTR,0.5475944731146996,0.01791938081175807,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5475944731146996,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy_Gap,0.5475944731146996,Extra Trees,,Utility,Gap,0.4523888796404194,0.01791938081175807,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4523888796404194,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.9999849996249907,Extra Trees,,Utility,TRTR,0.9999849996249907,3.000075001873271e-05,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9999849996249907,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.5760815266021424,Extra Trees,,Utility,TSTR,0.5760815266021424,0.02386115287197774,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5760815266021424,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1_Gap,0.5760815266021424,Extra Trees,,Utility,Gap,0.42390347302284825,0.02386115287197774,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.42390347302284825,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,1.0,Extra Trees,,Utility,TRTR,1.0,0.0,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,1.0,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.5995620578015465,Extra Trees,,Utility,TSTR,0.5995620578015465,0.01518085796580589,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5995620578015465,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision_Gap,0.5995620578015465,Extra Trees,,Utility,Gap,0.4004379421984535,0.01518085796580589,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4004379421984535,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.9999700014999249,Extra Trees,,Utility,TRTR,0.9999700014999249,5.999700014998055e-05,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9999700014999249,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.5549272536373182,Extra Trees,,Utility,TSTR,0.5549272536373182,0.03375611462570669,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5549272536373182,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall_Gap,0.5549272536373182,Extra Trees,,Utility,Gap,0.44504274786260667,0.03375611462570669,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.44504274786260667,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Accuracy_Drop,,Extra Trees,,,Gap,0.4523888796404194,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4523888796404194,,0.0,100.0
8. Mushroom dataset,CTGAN,,,F1_Drop,,Extra Trees,,,Gap,0.4239034730228483,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4239034730228483,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Precision_Drop,,Extra Trees,,,Gap,0.4004379421984535,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4004379421984535,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Recall_Drop,,Extra Trees,,,Gap,0.4450427478626067,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4450427478626067,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.9998917929082738,Random Forest,,Utility,TRTR,0.9998917929082738,3.814362988976479e-05,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9998917929082738,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.5432911603129682,Random Forest,,Utility,TSTR,0.5432911603129682,0.01761107976033547,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5432911603129682,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy_Gap,0.5432911603129682,Random Forest,,Utility,Gap,0.4566006325953056,0.01761107976033547,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4566006325953056,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.9999025054365672,Random Forest,,Utility,TRTR,0.9999025054365672,3.436305920243479e-05,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9999025054365672,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.5748216316688086,Random Forest,,Utility,TSTR,0.5748216316688086,0.01635878328577746,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5748216316688086,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1_Gap,0.5748216316688086,Random Forest,,Utility,Gap,0.4250808737677586,0.01635878328577746,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4250808737677586,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.9999100179950515,Random Forest,,Utility,TRTR,0.9999100179950515,9.947206977344203e-05,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9999100179950515,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.5950798244380691,Random Forest,,Utility,TSTR,0.5950798244380691,0.01929846096640843,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5950798244380691,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision_Gap,0.5950798244380691,Random Forest,,Utility,Gap,0.40483019355698246,0.01929846096640843,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.40483019355698246,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.9998950052497374,Random Forest,,Utility,TRTR,0.9998950052497374,6.873519866439068e-05,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9998950052497374,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.5566371681415929,Random Forest,,Utility,TSTR,0.5566371681415929,0.02456055173284603,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5566371681415929,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall_Gap,0.5566371681415929,Random Forest,,Utility,Gap,0.4432578371081445,0.02456055173284603,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4432578371081445,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Accuracy_Drop,,Random Forest,,,Gap,0.4566006325953056,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4566006325953056,,0.0,100.0
8. Mushroom dataset,CTGAN,,,F1_Drop,,Random Forest,,,Gap,0.4250808737677586,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4250808737677586,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Precision_Drop,,Random Forest,,,Gap,0.4048301935569825,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4048301935569825,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Recall_Drop,,Random Forest,,,Gap,0.4432578371081445,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4432578371081445,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.9998002330614282,MLP,,Utility,TRTR,0.9998002330614282,0.0001498252039287662,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9998002330614282,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.518012318961212,MLP,,Utility,TSTR,0.518012318961212,0.01971884250899525,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.518012318961212,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy_Gap,0.518012318961212,MLP,,Utility,Gap,0.48178791410021615,0.01971884250899525,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.48178791410021615,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.9998200033725814,MLP,,Utility,TRTR,0.9998200033725814,0.0001350057549300141,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9998200033725814,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.5201856790580831,MLP,,Utility,TSTR,0.5201856790580831,0.02011701273547059,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5201856790580831,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1_Gap,0.5201856790580831,MLP,,Utility,Gap,0.47963432431449826,0.02011701273547059,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.47963432431449826,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.999835012740364,MLP,,Utility,TRTR,0.999835012740364,0.0001414792911934868,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.999835012740364,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.5815312717482077,MLP,,Utility,TSTR,0.5815312717482077,0.02354529083611761,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5815312717482077,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision_Gap,0.5815312717482077,MLP,,Utility,Gap,0.4183037409921563,0.02354529083611761,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4183037409921563,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.9998050097495124,MLP,,Utility,TRTR,0.9998050097495124,0.0001781062259942747,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9998050097495124,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.4710814459277036,MLP,,Utility,TSTR,0.4710814459277036,0.02396428164758531,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4710814459277036,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall_Gap,0.4710814459277036,MLP,,Utility,Gap,0.5287235638218087,0.02396428164758531,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5287235638218087,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Accuracy_Drop,,MLP,,,Gap,0.4817879141002162,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4817879141002162,,0.0,100.0
8. Mushroom dataset,CTGAN,,,F1_Drop,,MLP,,,Gap,0.4796343243144983,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4796343243144983,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Precision_Drop,,MLP,,,Gap,0.4183037409921563,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4183037409921563,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Recall_Drop,,MLP,,,Gap,0.5287235638218087,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5287235638218087,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.9993757283169635,KNN,,Utility,TRTR,0.9993757283169635,0.0001870501502766885,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9993757283169635,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.4929332445480273,KNN,,Utility,TSTR,0.4929332445480273,0.01249255942265013,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4929332445480273,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy_Gap,0.4929332445480273,KNN,,Utility,Gap,0.5064424837689363,0.01249255942265013,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5064424837689363,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.999437537679781,KNN,,Utility,TRTR,0.999437537679781,0.0001685162263673175,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.999437537679781,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.4851080740167791,KNN,,Utility,TSTR,0.4851080740167791,0.01698037211260896,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4851080740167791,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1_Gap,0.4851080740167791,KNN,,Utility,Gap,0.514329463663002,0.01698037211260896,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.514329463663002,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.9994300667201221,KNN,,Utility,TRTR,0.9994300667201221,0.0002203628791389911,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9994300667201221,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.5558627259934086,KNN,,Utility,TSTR,0.5558627259934086,0.01516009181935729,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5558627259934086,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision_Gap,0.5558627259934086,KNN,,Utility,Gap,0.44356734072671355,0.01516009181935729,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.44356734072671355,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.9994450277486123,KNN,,Utility,TRTR,0.9994450277486123,0.0001649917504124697,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9994450277486123,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.4309284535773211,KNN,,Utility,TSTR,0.4309284535773211,0.02373002712121285,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4309284535773211,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall_Gap,0.4309284535773211,KNN,,Utility,Gap,0.5685165741712912,0.02373002712121285,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5685165741712912,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Accuracy_Drop,,KNN,,,Gap,0.5064424837689363,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5064424837689363,,0.0,100.0
8. Mushroom dataset,CTGAN,,,F1_Drop,,KNN,,,Gap,0.514329463663002,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.514329463663002,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Precision_Drop,,KNN,,,Gap,0.4435673407267136,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4435673407267136,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Recall_Drop,,KNN,,,Gap,0.5685165741712912,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5685165741712912,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.9430830697519561,Decision Tree,,Utility,TRTR,0.9430830697519561,0.003054622010995107,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9430830697519561,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy,0.5327950724155153,Decision Tree,,Utility,TSTR,0.5327950724155153,0.02746041131158687,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5327950724155153,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Accuracy_Gap,0.5327950724155153,Decision Tree,,Utility,Gap,0.41028799733644084,0.02746041131158687,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.41028799733644084,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.9486269064274188,Decision Tree,,Utility,TRTR,0.9486269064274188,0.002733229331666377,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9486269064274188,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1,0.568184891946037,Decision Tree,,Utility,TSTR,0.568184891946037,0.04262160243926748,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.568184891946037,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,F1_Gap,0.568184891946037,Decision Tree,,Utility,Gap,0.3804420144813817,0.04262160243926748,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.3804420144813817,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.9503557108620792,Decision Tree,,Utility,TRTR,0.9503557108620792,0.004797011192999022,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9503557108620792,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision,0.5820049922204459,Decision Tree,,Utility,TSTR,0.5820049922204459,0.02215235072434856,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5820049922204459,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Precision_Gap,0.5820049922204459,Decision Tree,,Utility,Gap,0.36835071864163327,0.02215235072434856,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.36835071864163327,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.9469326533673316,Decision Tree,,Utility,TRTR,0.9469326533673316,0.004340358980694475,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.9469326533673316,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall,0.5584370781460927,Decision Tree,,Utility,TSTR,0.5584370781460927,0.0692517973186782,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.5584370781460927,,0.0,100.0
8. Mushroom dataset,CTGAN,,0.0,Recall_Gap,0.5584370781460927,Decision Tree,,Utility,Gap,0.3884955752212389,0.0692517973186782,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.3884955752212389,,0.0,100.0
8. Mushroom dataset,CTGAN,,,Accuracy_Drop,,Decision Tree,,,Gap,0.4102879973364408,,classification,Generators/Experiment with utility data leak/utility results/8. Mushroom dataset/TRTR_TSTR_results_merged.xlsx,utility,0.4102879973364408,,0.0,100.0
